"","bird.spp","x","y","jan.temp","jul.temp","rng.temp","ann.ppt","min.elev","rng.elev","max.slope"
"24390",159,296933,433214,-15,23,22.5,739,429,1581,20
"24391",160,299625,406160,-21,23,23.1,1295,496,1554,24
"24516",155,269059,471573,-11,24,22.2,613,357,1288,15
"24517",157,271796,444507,-11,22,21.8,524,698,907,15
"24518",162,274509,417455,-12,20,22.2,766,758,977,16
"24519",160,277199,390415,-20,19,22.8,1167,1133,1516,17
"24520",158,279865,363388,-14,24,24.2,619,557,1547,16
"24643",157,246639,455788,-10,20,21.7,613,662,894,15
"24644",159,249374,428737,-10,18,21.6,589,915,563,6
"24645",162,252085,401699,-22,16,21.5,2030,1159,1625,25
"24646",161,254772,374674,-20,18,22,1252,1120,1601,21
"24647",160,257435,347660,-11,23,23.9,562,619,1107,12
"24648",151,260074,320657,-15,23,25.1,502,616,1394,18
"24649",134,262690,293665,-10,23,25.9,328,632,795,17
"24650",117,265282,266683,-6,24,26.2,274,661,331,4
"24651",108,267851,239710,-6,24,26.2,256,648,445,5
"24652",112,270396,212745,-9,24,25.5,277,671,791,10
"24653",111,272918,185788,-9,22,24.8,362,813,1047,10
"24654",110,275417,158839,-11,19,23.8,375,1274,531,6
"24655",107,277893,131896,-11,20,23.5,640,1305,448,5
"24656",107,280346,104959,-11,20,23.6,760,1220,394,6
"24657",103,282777,78028,-11,20,23.7,545,1255,417,5
"24658",103,285185,51101,-7,20,23.7,502,1586,140,1
"24768",158,221460,467056,-11,22,21.8,825,558,1056,14
"24769",159,224218,440007,-9,19,21.7,664,732,645,11
"24770",161,226951,412970,-17,18,21.1,1261,951,1480,21
"24771",161,229660,385947,-19,17,20.7,1156,1038,1523,20
"24772",165,232344,358936,-12,21,22.6,534,803,1035,8
"24773",158,235004,331936,-13,21,23.5,407,793,1112,12
"24774",154,237639,304946,-12,22,24.5,458,741,1066,15
"24775",129,240251,277967,-13,23,25.8,290,733,1190,11
"24776",114,242839,250997,-8,24,26.3,252,689,596,6
"24777",111,245404,224036,-10,23,25.7,324,793,847,7
"24778",110,247944,197083,-9,23,25,294,811,713,8
"24779",110,250462,170137,-11,23,24,336,812,1138,12
"24780",109,252955,143199,-5,21,23.5,304,1159,305,3
"24781",107,255426,116266,-7,22,23.5,444,1073,571,7
"24782",107,257873,89339,-7,20,23.4,497,1223,365,6
"24783",107,260298,62418,-9,19,23.4,434,1463,450,2
"24784",105,262699,35500,-11,19,23.5,563,1599,353,7
"24893",158,199042,451263,-12,20,21.7,923,733,974,14
"24894",162,201797,424229,-10,19,21.3,634,793,900,15
"24895",167,204528,397208,-13,19,20.4,573,809,1265,17
"24896",166,207233,370199,-9,19,21.3,444,946,658,11
"24897",162,209914,343201,-14,19,23,402,986,1179,14
"24898",160,212570,316215,-12,19,23.4,382,1005,873,12
"24899",151,215202,289239,-13,20,24.5,370,1000,797,8
"24900",131,217810,262272,-14,21,25.6,275,904,1011,8
"24901",113,220394,235314,-11,23,25.5,339,765,943,11
"24902",104,222953,208365,-10,21,24.7,373,1015,605,6
"24903",108,225489,181423,-9,22,24.1,299,1008,637,7
"24904",105,228001,154489,-6,23,23.8,241,923,480,10
"24905",107,230489,127561,-4,22,23.8,233,1027,233,3
"24906",105,232954,100639,-6,21,23.7,263,1159,451,5
"24907",105,235395,73722,-9,20,23.3,394,1284,668,6
"24908",105,237813,46810,-9,21,23.3,447,1342,701,9
"25016",144,173845,462507,-10,24,22.4,938,267,1245,15
"25017",155,176623,435475,-11,21,21.5,989,552,1166,13
"25018",159,179375,408456,-11,19,20.8,639,824,960,17
"25019",157,182103,381449,-13,17,20.5,809,1109,958,11
"25020",159,184805,354454,-18,19,21.4,807,1019,1505,20
"25021",157,187482,327471,-16,18,22.5,453,1193,1130,14
"25022",156,190135,300498,-15,18,23.6,449,1108,1001,13
"25023",160,192763,273534,-16,18,24.1,404,1162,1049,14
"25024",137,195366,246580,-12,21,24.6,316,980,896,12
"25025",114,197945,219635,-10,22,24.5,313,867,794,9
"25026",110,200499,192697,-10,20,23.9,360,1043,747,7
"25027",107,203029,165767,-10,19,23.8,265,1223,530,8
"25028",101,205535,138844,-9,21,23.6,276,1151,624,6
"25029",77,208018,111926,-8,21,23.8,228,1159,512,6
"25030",78,210476,85015,-8,20,23.6,284,1211,677,6
