"","x1","x2","x3"
"1",0,0,0
"2",4,1,0
"3",1,2,0
"4",5,3,0
"5",2,4,0
"6",6,5,0
"7",3,6,0
"8",6,0,1
"9",3,1,1
"10",0,2,1
"11",4,3,1
"12",1,4,1
"13",5,5,1
"14",2,6,1
"15",5,0,2
"16",2,1,2
"17",6,2,2
"18",3,3,2
"19",0,4,2
"20",4,5,2
"21",1,6,2
"22",4,0,3
"23",1,1,3
"24",5,2,3
"25",2,3,3
"26",6,4,3
"27",3,5,3
"28",0,6,3
"29",3,0,4
"30",0,1,4
"31",4,2,4
"32",1,3,4
"33",5,4,4
"34",2,5,4
"35",6,6,4
"36",2,0,5
"37",6,1,5
"38",3,2,5
"39",0,3,5
"40",4,4,5
"41",1,5,5
"42",5,6,5
"43",1,0,6
"44",5,1,6
"45",2,2,6
"46",6,3,6
"47",3,4,6
"48",0,5,6
"49",4,6,6
