"","Chrom","Read","Strand"
"1",8,583,1
"2",8,873,1
"3",8,876,1
"4",8,1397,1
"5",8,2207,0
"6",8,2640,0
"7",8,3064,1
"8",8,3580,1
"9",8,4084,0
"10",8,4550,1
"11",8,4637,0
"12",8,4798,1
"13",8,5239,1
"14",8,5363,1
"15",8,5532,0
"16",8,6854,0
"17",8,7179,0
"18",8,7342,0
"19",8,7393,1
"20",8,7887,0
"21",8,10575,0
"22",8,11180,1
"23",8,11335,1
"24",8,11704,0
"25",8,12412,0
"26",8,12604,0
"27",8,12797,1
"28",8,12803,1
"29",8,14142,1
"30",8,14444,0
"31",8,14842,1
"32",8,15652,1
"33",8,15699,1
"34",8,15865,0
"35",8,16545,1
"36",8,16951,0
"37",8,17222,1
"38",8,18038,0
"39",8,18121,1
"40",8,19166,1
"41",8,19414,1
"42",8,20851,1
"43",8,23493,0
"44",8,23758,1
"45",8,24568,1
"46",8,24652,1
"47",8,25222,0
"48",8,25475,0
"49",8,25817,1
"50",8,26134,1
"51",8,26560,1
"52",8,27214,1
"53",8,27761,0
"54",8,28000,1
"55",8,28192,0
"56",8,28315,1
"57",8,29031,0
"58",8,29947,0
"59",8,30449,1
"60",8,30956,0
"61",8,31827,1
"62",8,32339,1
"63",8,32697,0
"64",8,32718,0
"65",8,33129,1
"66",8,34314,1
"67",8,34552,0
"68",8,34554,1
"69",8,34616,1
"70",8,34647,1
"71",8,35144,1
"72",8,36797,1
"73",8,38638,0
"74",8,38688,1
"75",8,39652,0
"76",8,41005,1
"77",8,41410,1
"78",8,42453,1
"79",8,42645,1
"80",8,42788,1
"81",8,43122,1
"82",8,43653,1
"83",8,45754,0
"84",8,46329,1
"85",8,47864,0
"86",8,50508,1
"87",8,50548,0
"88",8,51042,1
"89",8,51086,1
"90",8,51289,0
"91",8,51809,1
"92",8,52330,1
"93",8,53676,1
"94",8,54226,0
"95",8,54430,0
"96",8,54553,1
"97",8,54683,0
"98",8,55160,0
"99",8,55195,0
"100",8,55474,1
"101",8,56548,1
"102",8,56919,0
"103",8,57658,1
"104",8,58046,0
"105",8,58194,1
"106",8,58254,1
"107",8,58739,1
"108",8,59014,0
"109",8,59282,1
"110",8,59821,0
"111",8,60409,1
"112",8,60743,0
"113",8,60878,0
"114",8,60924,0
"115",8,61134,1
"116",8,61837,1
"117",8,62056,0
"118",8,62263,0
"119",8,64095,1
"120",8,64468,1
"121",8,64823,0
"122",8,65034,0
"123",8,66045,1
"124",8,66127,1
"125",8,68374,0
"126",8,68975,1
"127",8,69210,1
"128",8,69651,0
"129",8,69888,0
"130",8,69969,0
"131",8,70042,1
"132",8,70732,0
"133",8,70910,0
"134",8,71065,0
"135",8,71608,0
"136",8,71616,0
"137",8,71766,0
"138",8,71815,1
"139",8,72019,0
"140",8,72105,1
"141",8,72450,0
"142",8,72706,1
"143",8,72880,0
"144",8,75115,1
