"","Chrom","Read","Strand"
"1",8,226,0
"2",8,1187,0
"3",8,1224,1
"4",8,1970,1
"5",8,2953,1
"6",8,3042,1
"7",8,3252,1
"8",8,3338,0
"9",8,3439,0
"10",8,3560,1
"11",8,4872,1
"12",8,5175,0
"13",8,5284,1
"14",8,5856,0
"15",8,5917,1
"16",8,7137,0
"17",8,7262,1
"18",8,7444,1
"19",8,7453,1
"20",8,8115,0
"21",8,8244,1
"22",8,8819,1
"23",8,9320,1
"24",8,9672,0
"25",8,10076,0
"26",8,10168,1
"27",8,11142,0
"28",8,11182,1
"29",8,11206,0
"30",8,11270,0
"31",8,11719,0
"32",8,11778,0
"33",8,13036,1
"34",8,13173,0
"35",8,13352,0
"36",8,13623,1
"37",8,14911,1
"38",8,15733,0
"39",8,15744,1
"40",8,16489,1
"41",8,16885,0
"42",8,16926,1
"43",8,18068,0
"44",8,18612,0
"45",8,18835,0
"46",8,19625,1
"47",8,20209,0
"48",8,20981,1
"49",8,21700,0
"50",8,21834,0
"51",8,22252,1
"52",8,22500,0
"53",8,23618,0
"54",8,23858,1
"55",8,24197,1
"56",8,24735,1
"57",8,25176,0
"58",8,25462,1
"59",8,25973,1
"60",8,27067,1
"61",8,28989,1
"62",8,29733,1
"63",8,29976,1
"64",8,29977,0
"65",8,31034,0
"66",8,31374,0
"67",8,31672,0
"68",8,31894,1
"69",8,32363,1
"70",8,32533,0
"71",8,33614,1
"72",8,34359,1
"73",8,35033,1
"74",8,35284,0
"75",8,35419,0
"76",8,35420,0
"77",8,35774,1
"78",8,37116,1
"79",8,37313,0
"80",8,38331,0
"81",8,38508,0
"82",8,38620,1
"83",8,39929,1
"84",8,41587,1
"85",8,42097,1
"86",8,42544,0
"87",8,43291,0
"88",8,43613,1
"89",8,43842,0
"90",8,44135,0
"91",8,44350,0
"92",8,44515,0
"93",8,45159,1
"94",8,45457,0
"95",8,45620,1
"96",8,45810,1
"97",8,46208,1
"98",8,46338,1
"99",8,47359,1
"100",8,47551,0
"101",8,47648,1
"102",8,48107,1
"103",8,48341,1
"104",8,48374,0
"105",8,48727,1
"106",8,49001,1
"107",8,49757,0
"108",8,49850,1
"109",8,50254,1
"110",8,50605,1
"111",8,50632,0
"112",8,53154,1
"113",8,53245,1
"114",8,53543,0
"115",8,53808,0
"116",8,54457,1
"117",8,54973,0
"118",8,55025,0
"119",8,55203,1
"120",8,55284,0
"121",8,55514,1
"122",8,56495,1
"123",8,56789,0
"124",8,58893,0
"125",8,60688,1
"126",8,61421,0
"127",8,62096,1
"128",8,62957,0
"129",8,63332,1
"130",8,63785,0
"131",8,63808,1
"132",8,63809,0
"133",8,64323,0
"134",8,65101,0
"135",8,65420,0
"136",8,65544,1
"137",8,65717,1
"138",8,65746,0
"139",8,65752,1
"140",8,65905,0
"141",8,66367,1
"142",8,67211,0
"143",8,67572,0
"144",8,67575,1
"145",8,69004,1
"146",8,69773,1
"147",8,70081,0
"148",8,70475,0
"149",8,70691,0
"150",8,70764,0
"151",8,71073,0
"152",8,71159,1
"153",8,71552,0
"154",8,71915,1
"155",8,73257,1
"156",8,73840,1
"157",8,74215,1
"158",8,75649,0
"159",8,75719,0
"160",8,75732,0
"161",8,76212,0
"162",8,76447,1
"163",8,80790,1
"164",8,81143,1
"165",8,82376,1
"166",8,82387,0
"167",8,82422,0
"168",8,83056,0
"169",8,83607,0
"170",8,84387,1
"171",8,84573,0
"172",8,85419,0
"173",8,85616,0
"174",8,86059,1
"175",8,87359,0
"176",8,87486,0
"177",8,87522,0
"178",8,87550,0
"179",8,87625,0
"180",8,88193,1
"181",8,91158,0
"182",8,91228,1
"183",8,92338,1
"184",8,94414,1
"185",8,94703,1
"186",8,94832,0
"187",8,95699,1
"188",8,95781,1
"189",8,96227,0
"190",8,96317,0
"191",8,96352,1
"192",8,98713,0
"193",8,98742,1
"194",8,99220,1
"195",8,99635,1
"196",8,99918,1
"197",8,100442,1
"198",8,101156,1
"199",8,102690,0
"200",8,103616,1
"201",8,105378,0
"202",8,105569,1
"203",8,105795,1
"204",8,106906,1
"205",8,106954,0
"206",8,107063,1
"207",8,107937,0
"208",8,108109,0
"209",8,109550,0
"210",8,109626,0
"211",8,110641,0
"212",8,110720,0
"213",8,111710,0
"214",8,111943,0
"215",8,112236,1
"216",8,112347,1
"217",8,112731,0
"218",8,113276,1
"219",8,114055,0
"220",8,114105,0
"221",8,115313,1
"222",8,115861,1
"223",8,116537,0
"224",8,117489,1
"225",8,117787,0
"226",8,118242,1
"227",8,118437,1
"228",8,118489,1
"229",8,118636,1
"230",8,119746,0
"231",8,120000,0
"232",8,120303,0
"233",8,120444,1
"234",8,120537,0
"235",8,120581,0
