"","Chrom","Read","Strand"
"1",8,444,0
"2",8,516,0
"3",8,628,1
"4",8,1345,1
"5",8,2954,1
"6",8,3677,0
"7",8,4002,0
"8",8,4525,0
"9",8,5928,1
"10",8,6862,0
"11",8,7096,1
"12",8,7316,0
"13",8,7631,1
"14",8,7791,0
"15",8,7795,0
"16",8,8472,0
"17",8,9074,1
"18",8,9138,0
"19",8,9486,1
"20",8,10212,1
"21",8,10663,0
"22",8,11451,0
"23",8,11458,1
"24",8,12124,0
"25",8,12232,0
"26",8,12335,0
"27",8,13295,1
"28",8,14004,0
"29",8,14069,0
"30",8,14177,1
"31",8,14541,0
"32",8,14962,0
"33",8,15339,0
"34",8,15582,0
"35",8,16136,1
"36",8,16912,0
"37",8,17352,1
"38",8,17766,1
"39",8,17785,1
"40",8,18971,1
"41",8,19719,0
"42",8,19814,1
"43",8,19930,1
"44",8,20280,0
"45",8,20746,0
"46",8,21289,0
"47",8,22146,1
"48",8,22378,1
"49",8,22478,1
"50",8,22867,1
"51",8,23178,1
"52",8,24199,0
"53",8,24220,1
"54",8,24265,0
"55",8,24511,0
"56",8,24685,1
"57",8,25070,0
"58",8,25134,0
"59",8,25808,0
"60",8,25903,0
"61",8,26226,0
"62",8,26934,0
"63",8,27475,0
"64",8,27617,0
"65",8,27621,0
"66",8,29760,0
"67",8,31385,0
"68",8,32314,0
"69",8,32365,1
"70",8,33401,0
"71",8,33605,1
"72",8,33818,0
"73",8,34437,0
"74",8,34756,1
"75",8,34868,0
"76",8,36058,0
"77",8,36518,0
"78",8,36803,0
"79",8,36928,0
"80",8,37122,1
"81",8,38699,0
"82",8,38838,1
"83",8,38882,0
"84",8,39075,0
"85",8,39302,0
"86",8,39707,1
"87",8,41605,1
"88",8,42633,1
"89",8,42937,0
"90",8,43398,0
"91",8,43989,0
"92",8,44429,0
"93",8,45362,1
"94",8,45425,0
"95",8,45792,1
"96",8,46187,1
"97",8,46975,0
"98",8,48130,1
"99",8,48280,1
"100",8,48281,1
"101",8,49156,0
"102",8,50910,0
"103",8,50971,1
"104",8,51270,0
"105",8,51567,1
"106",8,51612,1
"107",8,52815,1
"108",8,53020,0
"109",8,53515,1
"110",8,53657,1
"111",8,55775,0
"112",8,56542,1
"113",8,56634,0
"114",8,57037,0
"115",8,57291,1
"116",8,58020,1
"117",8,58625,0
"118",8,61700,0
"119",8,62829,1
"120",8,63213,1
"121",8,64556,1
"122",8,64683,0
"123",8,65131,0
"124",8,65239,0
"125",8,65271,0
"126",8,66491,0
"127",8,66870,0
"128",8,67967,0
"129",8,68938,0
"130",8,69194,0
"131",8,69708,1
"132",8,70939,1
"133",8,71034,1
"134",8,71109,1
"135",8,72263,1
"136",8,72533,1
"137",8,72876,0
"138",8,73259,0
"139",8,74213,1
"140",8,74263,0
"141",8,74871,0
"142",8,75914,1
"143",8,76074,0
"144",8,76907,0
"145",8,77126,0
"146",8,77257,1
"147",8,79266,1
"148",8,79341,0
"149",8,79529,1
"150",8,80328,0
"151",8,80603,1
"152",8,81010,0
"153",8,82060,1
"154",8,83447,0
"155",8,84522,0
"156",8,84912,0
"157",8,85004,1
"158",8,85239,1
"159",8,85474,0
"160",8,85505,0
"161",8,85638,0
"162",8,86635,1
"163",8,87504,1
"164",8,87535,0
"165",8,87769,1
"166",8,87879,0
"167",8,88528,1
"168",8,88582,0
"169",8,88721,0
"170",8,89306,0
"171",8,89580,0
"172",8,89988,1
"173",8,91207,1
"174",8,92215,0
"175",8,92321,1
"176",8,92345,1
"177",8,92749,0
"178",8,93118,1
"179",8,93474,1
"180",8,93503,1
"181",8,93808,0
"182",8,94128,1
"183",8,94710,1
"184",8,94991,1
"185",8,96137,0
"186",8,96497,0
"187",8,96526,1
"188",8,96812,1
"189",8,96926,1
"190",8,96949,0
"191",8,97366,1
"192",8,97903,1
"193",8,98182,0
"194",8,98742,0
"195",8,98828,1
"196",8,99366,0
"197",8,100288,1
"198",8,100724,1
"199",8,100894,1
"200",8,101557,0
"201",8,102042,0
"202",8,102322,0
"203",8,102620,0
"204",8,102805,0
"205",8,103150,0
"206",8,103765,1
"207",8,103866,1
"208",8,104184,1
"209",8,106068,1
"210",8,106838,0
"211",8,107595,1
"212",8,108041,0
"213",8,108747,1
"214",8,109906,1
