"","id","enter","exit","event","birthdate","sex","parish","ses","immigrant"
"29",1,50,59.242,1,1781.454,"male","1","lower","no"
"66",2,50,53.539,0,1821.35,"male","1","lower","yes"
"70",3,50,62.155,1,1788.936,"male","1","lower","yes"
"83",4,50,65.142,1,1796.219,"female","1","lower","yes"
"100",5,50,51.28,0,1822.713,"male","1","lower","yes"
"132",6,50,70.776,1,1813.547,"female","1","lower","yes"
"184",7,50,80,0,1800.72,"female","1","lower","no"
"220",8,50,57.676,0,1791.151,"female","1","lower","no"
"242",9,50,59.535,0,1807.296,"female","1","lower","no"
"270",10,50,68.156,1,1801.673,"female","1","lower","yes"
"289",11,50,80,0,1791.422,"female","1","lower","yes"
"323",12,50,53.265,0,1820.728,"male","1","lower","no"
"328",13,50,68.616,0,1826.215,"female","1","lower","no"
"359",14,50,53.284,1,1792.783,"male","1","lower","yes"
"388",15,50,60.816,0,1807.992,"male","1","lower","yes"
"412",16,50,65.884,1,1807.452,"male","1","lower","yes"
"433",17,50,69.32,1,1797.257,"male","1","lower","yes"
"467",18,50,66.22,1,1797.988,"female","1","lower","yes"
"511",19,50,54.768,1,1799.513,"female","1","upper","yes"
"527",20,50,76.422,1,1781.311,"male","1","lower","yes"
"559",21,50,58.976,1,1785.268,"female","1","lower","yes"
"595",22,50,80,0,1783.682,"male","1","lower","yes"
"635",23,50,80,0,1781.123,"male","1","lower","yes"
"718",24,50,80,0,1800.126,"male","1","lower","no"
"760",25,50,76.966,1,1787.102,"male","1","lower","no"
"794",26,50,67.622,0,1803.242,"male","1","upper","yes"
"828",27,50,51.272,0,1819.592,"female","1","upper","yes"
"845",28,50,58.971,1,1781.251,"female","1","lower","yes"
"859",29,50,58.951,0,1807.88,"male","1","lower","yes"
"861",30,50,70.316,1,1816.728,"male","1","lower","yes"
"885",31,50,57.133,0,1816.86,"male","1","lower","yes"
"894",32,50,68.465,1,1814.839,"female","1","lower","yes"
"932",33,50,72.723,1,1800.036,"male","1","lower","no"
"968",34,50,75.042,1,1804.931,"male","1","lower","yes"
"989",35,50,59.127,1,1801.06,"female","1","lower","yes"
"1052",36,50,55.121,0,1839.71,"female","1","lower","yes"
"1058",37,50,67.962,1,1802.253,"male","1","lower","yes"
"1097",38,50,71.704,1,1801.484,"female","1","lower","no"
"1133",39,50,73.514,1,1808.838,"male","1","lower","no"
"1158",40,50,63.45,1,1793.095,"male","1","lower","yes"
"1173",41,50,73.944,1,1800.942,"female","1","lower","yes"
"1205",42,50,65.5,0,1786.324,"female","1","upper","no"
"1233",43,50,57.361,0,1816.632,"female","1","lower","yes"
"1276",44,50,80,0,1803.22,"female","1","lower","no"
"1317",45,50,60.559,0,1813.273,"male","1","lower","yes"
"1328",46,50,73.424,1,1813.969,"male","1","lower","yes"
"1361",47,50,71.097,1,1798.155,"male","1","lower","no"
"1384",48,50,54.051,1,1822.251,"male","1","lower","yes"
"1391",49,50,80,0,1799.885,"male","1","lower","no"
"1437",50,50,79.379,1,1779.745,"female","1","lower","yes"
"1471",51,50,75.767,0,1807.959,"male","1","lower","yes"
