"","pop","deaths","sex","age","log.pop"
"1",63483,286,"female",61,11.0585274325029
"2",63770,309,"female",62,11.0630381393093
"3",64182,317,"female",63,11.0694780765342
"4",63097,366,"female",64,11.0524285038175
"5",61671,387,"female",65,11.0295690831938
"6",57793,419,"female",66,10.96462294006
"7",52357,451,"female",67,10.8658409227368
"8",46490,402,"female",68,10.7469925146846
"9",44136,445,"female",69,10.6950310549523
"10",44458,436,"female",70,10.7023002022509
"11",42548,488,"female",71,10.6583881293716
"12",40310,488,"female",72,10.6043548561112
"13",39174,535,"female",73,10.5757685404147
"14",36747,599,"female",74,10.5118118686558
"15",35904,624,"female",75,10.4886039888824
"16",34836,659,"female",76,10.4584066138126
"17",35716,796,"female",77,10.4833540466371
"18",35157,906,"female",78,10.4675790239267
"19",35258,998,"female",79,10.4704477328457
"20",33415,1075,"female",80,10.4167601799452
"21",63257,445,"male",61,11.0549610724028
"22",63758,457,"male",62,11.0628499453435
"23",64522,552,"male",63,11.0747615298988
"24",63785,606,"male",64,11.0632733319724
"25",62464,645,"male",65,11.0423456697728
"26",57661,665,"male",66,10.9623363140874
"27",52790,669,"male",67,10.8740770578177
"28",45798,596,"male",68,10.7319957010265
"29",43215,690,"male",69,10.6739429361867
"30",42631,697,"male",70,10.6603369671431
"31",40063,715,"male",71,10.5982084940844
"32",37397,758,"male",72,10.5293457662816
"33",35379,773,"male",73,10.4738737027581
"34",33295,828,"male",74,10.4131625145447
"35",31074,884,"male",75,10.3441267356519
"36",29718,904,"male",76,10.2995082018163
"37",29722,1062,"male",77,10.2996427913185
"38",28296,1112,"male",78,10.2504757308853
"39",27550,1219,"male",79,10.2237578145811
"40",25448,1365,"male",80,10.144392433429
