"","id","parity","age","year","next.ivl","event","prev.ivl","ses","parish"
"1",1,0,24,1825,0.411,1,NA,"farmer","SKL"
"2",1,1,25,1826,22.348,0,0.411,"farmer","SKL"
"3",2,0,18,1821,0.304,1,NA,"unknown","SKL"
"4",2,1,19,1821,1.837,1,0.304,"unknown","SKL"
"5",2,2,21,1823,2.546,1,1.837,"unknown","SKL"
"6",2,3,23,1826,2.541,1,2.546,"unknown","SKL"
"7",2,4,26,1828,2.431,1,2.541,"unknown","SKL"
"8",2,5,28,1831,2.472,1,2.431,"unknown","SKL"
"9",2,6,31,1833,3.173,0,2.472,"unknown","SKL"
"10",3,0,23,1826,0.772,1,NA,"farmer","SKL"
"11",3,1,24,1827,2.051,1,0.772,"farmer","SKL"
"12",3,2,26,1829,1.755,1,2.051,"farmer","SKL"
"13",3,3,27,1831,2.256,1,1.755,"farmer","SKL"
"14",3,4,30,1833,1.166,1,2.256,"farmer","SKL"
"15",3,5,31,1834,2.297,1,1.166,"farmer","SKL"
"16",3,6,33,1836,2.286,1,2.297,"farmer","SKL"
"17",3,7,35,1839,3.151,1,2.286,"farmer","SKL"
"18",3,8,39,1842,2.204,1,3.151,"farmer","SKL"
"19",3,9,41,1844,2.732,0,2.204,"farmer","SKL"
"20",4,0,28,1831,6.787,1,NA,"unknown","SKL"
"21",4,1,35,1838,1.782,0,6.787,"unknown","SKL"
"22",5,0,25,1829,3.031,1,NA,"farmer","SKL"
"23",5,1,28,1832,1.629,1,3.031,"farmer","SKL"
"24",5,2,30,1833,3.882,1,1.629,"farmer","SKL"
"25",5,3,34,1837,6.67,1,3.882,"farmer","SKL"
"26",5,4,40,1844,6.775,0,6.67,"farmer","SKL"
"27",6,0,24,1828,0.819,1,NA,"lower","SKL"
"28",6,1,25,1829,1.73,1,0.819,"lower","SKL"
"29",6,2,27,1831,2.927,1,1.73,"lower","SKL"
"30",6,3,30,1834,2.823,1,2.927,"lower","SKL"
"31",6,4,33,1837,2.5,1,2.823,"lower","SKL"
"32",6,5,35,1839,2.902,1,2.5,"lower","SKL"
"33",6,6,38,1842,2.65,1,2.902,"lower","SKL"
"34",6,7,41,1845,4.003,1,2.65,"lower","SKL"
"35",6,8,45,1849,2.339,0,4.003,"lower","SKL"
"36",7,0,22,1826,0.465,1,NA,"farmer","SKL"
"37",7,1,22,1826,0.988,1,0.465,"farmer","SKL"
"38",7,2,23,1827,2.231,1,0.988,"farmer","SKL"
"39",7,3,25,1829,1.566,0,2.231,"farmer","SKL"
"40",8,0,22,1826,1.172,1,NA,"farmer","SKL"
"41",8,1,23,1828,2.418,1,1.172,"farmer","SKL"
"42",8,2,26,1830,1.04,1,2.418,"farmer","SKL"
"43",8,3,27,1831,1.29,1,1.04,"farmer","SKL"
"44",8,4,28,1832,2.36,1,1.29,"farmer","SKL"
"45",8,6,30,1835,1.262,1,0,"farmer","SKL"
"46",8,7,32,1836,1.09,1,1.262,"farmer","SKL"
"47",8,8,33,1837,4.95,1,1.09,"farmer","SKL"
"48",8,9,38,1842,9.233,0,4.95,"farmer","SKL"
"49",9,0,22,1826,0.882,1,NA,"farmer","SKL"
"50",9,1,22,1827,1.125,1,0.882,"farmer","SKL"
"51",9,2,24,1828,1.15,1,1.125,"farmer","SKL"
"52",9,3,25,1829,1.418,1,1.15,"farmer","SKL"
"53",9,4,26,1831,1.796,1,1.418,"farmer","SKL"
"54",9,5,28,1832,1.38,1,1.796,"farmer","SKL"
"55",9,6,29,1834,1.76,1,1.38,"farmer","SKL"
"56",9,7,31,1836,2.188,1,1.76,"farmer","SKL"
"57",9,8,33,1838,1.9,1,2.188,"farmer","SKL"
"58",9,9,35,1840,1.265,1,1.9,"farmer","SKL"
"59",9,10,36,1841,1.437,1,1.265,"farmer","SKL"
"60",9,11,38,1842,1.243,1,1.437,"farmer","SKL"
"61",9,12,39,1844,2.042,1,1.243,"farmer","SKL"
"62",9,13,41,1846,3.214,1,2.042,"farmer","SKL"
"63",9,14,44,1849,2.698,0,3.214,"farmer","SKL"
"64",10,0,18,1823,1.35,1,NA,"farmer","SKL"
"65",10,1,19,1824,1.218,1,1.35,"farmer","SKL"
"66",10,2,20,1825,1.032,1,1.218,"farmer","SKL"
"67",10,3,21,1826,2.702,1,1.032,"farmer","SKL"
"68",10,4,24,1829,3.644,1,2.702,"farmer","SKL"
"69",10,5,28,1833,3.455,1,3.644,"farmer","SKL"
"70",10,7,31,1836,4,1,0,"farmer","SKL"
"71",10,8,35,1840,11.815,0,4,"farmer","SKL"
"72",11,0,24,1829,1.736,1,NA,"farmer","SKL"
"73",11,1,26,1831,0.928,1,1.736,"farmer","SKL"
"74",11,2,27,1832,0.969,1,0.928,"farmer","SKL"
"75",11,3,28,1833,1.205,1,0.969,"farmer","SKL"
"76",11,4,29,1834,2.163,0,1.205,"farmer","SKL"
"77",12,0,22,1827,0.211,1,NA,"lower","SKL"
"78",12,1,22,1828,1.213,0,0.211,"lower","SKL"
"79",13,0,18,1824,1.005,1,NA,"farmer","SKL"
"80",13,1,19,1825,2.059,1,1.005,"farmer","SKL"
"81",13,2,21,1827,2.746,1,2.059,"farmer","SKL"
"82",13,3,24,1830,4.304,1,2.746,"farmer","SKL"
"83",13,4,28,1834,3.641,1,4.304,"farmer","SKL"
"84",13,5,32,1838,4.063,1,3.641,"farmer","SKL"
"85",13,6,36,1842,2.385,1,4.063,"farmer","SKL"
"86",13,7,38,1844,3.989,1,2.385,"farmer","SKL"
"87",13,8,42,1848,4.773,0,3.989,"farmer","SKL"
"88",14,0,21,1827,0.605,1,NA,"farmer","SKL"
"89",14,1,22,1828,1.027,1,0.605,"farmer","SKL"
"90",14,2,23,1829,2.281,1,1.027,"farmer","SKL"
"91",14,3,25,1831,2.346,1,2.281,"farmer","SKL"
"92",14,4,28,1834,2.921,1,2.346,"farmer","SKL"
"93",14,5,30,1837,2.385,1,2.921,"farmer","SKL"
"94",14,6,33,1839,4.03,1,2.385,"farmer","SKL"
"95",14,7,37,1843,3.036,1,4.03,"farmer","SKL"
"96",14,8,40,1846,7.057,0,3.036,"farmer","SKL"
"97",15,0,22,1828,0.873,1,NA,"lower","SKL"
"98",15,1,23,1829,1.892,1,0.873,"lower","SKL"
"99",15,2,25,1831,1.845,1,1.892,"lower","SKL"
"100",15,3,27,1833,3.006,1,1.845,"lower","SKL"
"101",15,4,30,1836,3.058,1,3.006,"lower","SKL"
"102",15,5,33,1839,3.379,1,3.058,"lower","SKL"
"103",15,6,36,1843,5.04,0,3.379,"lower","SKL"
"104",16,0,31,1837,0.381,1,NA,"unknown","SKL"
"105",16,1,32,1838,1.533,1,0.381,"unknown","SKL"
"106",16,2,33,1839,3.65,1,1.533,"unknown","SKL"
"107",16,3,37,1843,2.412,1,3.65,"unknown","SKL"
"108",16,4,39,1845,3.036,0,2.412,"unknown","SKL"
"109",17,0,20,1826,0.972,1,NA,"farmer","SKL"
"110",17,1,21,1827,1.172,1,0.972,"farmer","SKL"
"111",17,2,22,1829,1.476,1,1.172,"farmer","SKL"
"112",17,3,24,1830,1.771,1,1.476,"farmer","SKL"
"113",17,4,26,1832,3.195,1,1.771,"farmer","SKL"
"114",17,5,29,1835,2.626,1,3.195,"farmer","SKL"
"115",17,6,32,1838,2.56,1,2.626,"farmer","SKL"
"116",17,7,34,1840,1.793,0,2.56,"farmer","SKL"
"117",18,0,21,1827,0.266,1,NA,"unknown","SKL"
"118",18,1,21,1827,1.952,1,0.266,"unknown","SKL"
"119",18,2,23,1829,2.675,1,1.952,"unknown","SKL"
"120",18,3,26,1832,3.266,1,2.675,"unknown","SKL"
"121",18,4,29,1835,3.212,1,3.266,"unknown","SKL"
"122",18,5,32,1838,1.9,1,3.212,"unknown","SKL"
"123",18,6,34,1840,3.685,1,1.9,"unknown","SKL"
"124",18,7,38,1844,3.181,1,3.685,"unknown","SKL"
"125",18,8,41,1847,3.321,1,3.181,"unknown","SKL"
"126",18,9,44,1850,2.739,0,3.321,"unknown","SKL"
"127",19,0,23,1829,1.123,1,NA,"farmer","SKL"
"128",19,1,24,1830,1.374,1,1.123,"farmer","SKL"
"129",19,2,26,1832,1.944,1,1.374,"farmer","SKL"
"130",19,3,28,1834,2.199,1,1.944,"farmer","SKL"
"131",19,4,30,1836,3.277,1,2.199,"farmer","SKL"
"132",19,5,33,1839,2.377,1,3.277,"farmer","SKL"
"133",19,6,35,1842,2.615,1,2.377,"farmer","SKL"
