"","stratum","enter","exit","event","mother","age","sex","parish","civst","ses","year"
"1",1,55,365,0,"dead",26,"boy","Nedertornea","married","farmer",1877
"2",1,55,365,0,"alive",26,"boy","Nedertornea","married","farmer",1870
"3",1,55,365,0,"alive",26,"boy","Nedertornea","married","farmer",1882
"4",2,13,76,1,"dead",23,"girl","Nedertornea","married","other",1847
"5",2,13,365,0,"alive",23,"girl","Nedertornea","married","other",1847
"6",2,13,365,0,"alive",23,"girl","Nedertornea","married","other",1848
"7",3,361,365,0,"dead",24,"boy","Nedertornea","married","other",1879
"8",3,361,365,0,"alive",24,"boy","Nedertornea","married","other",1878
"9",3,361,365,0,"alive",24,"boy","Nedertornea","married","other",1879
"10",4,2,16,1,"dead",28,"girl","Nedertornea","married","other",1840
"11",4,2,365,0,"alive",28,"girl","Nedertornea","married","other",1839
"12",4,2,365,0,"alive",28,"girl","Nedertornea","married","other",1842
"13",5,9,53,1,"dead",28,"boy","Nedertornea","married","other",1875
"14",5,9,87,1,"alive",28,"boy","Nedertornea","married","other",1874
"15",5,9,365,0,"alive",28,"boy","Nedertornea","married","other",1875
"16",6,7,78,1,"dead",29,"boy","Nedertornea","married","other",1874
"17",6,7,365,0,"alive",29,"boy","Nedertornea","married","other",1866
"18",6,7,28,1,"alive",29,"boy","Nedertornea","married","other",1875
"19",7,13,39,1,"dead",20,"boy","Nedertornea","unmarried","other",1866
"20",7,13,254,1,"alive",20,"boy","Nedertornea","unmarried","other",1864
"21",7,13,365,0,"alive",20,"boy","Nedertornea","unmarried","other",1865
"22",8,30,31,1,"dead",21,"boy","Nedertornea","unmarried","other",1875
"23",8,30,365,0,"alive",21,"boy","Nedertornea","unmarried","other",1875
"24",8,30,365,0,"alive",21,"boy","Nedertornea","unmarried","other",1876
"25",9,8,22,1,"dead",27,"boy","Nedertornea","unmarried","other",1883
"26",9,8,365,0,"alive",27,"boy","Nedertornea","unmarried","other",1879
"27",9,8,84,1,"alive",27,"boy","Nedertornea","unmarried","other",1883
"28",10,3,5,0,"dead",31,"girl","Nedertornea","unmarried","other",1832
"29",10,3,8,1,"alive",31,"girl","Nedertornea","unmarried","other",1830
"30",10,3,365,0,"alive",31,"girl","Nedertornea","unmarried","other",1841
"31",11,8,22,1,"dead",36,"girl","Nedertornea","unmarried","other",1825
