"","invest","value","capital","firm","year"
"1",317.6,3078.5,2.8,"General Motors",1935
"2",391.8,4661.7,52.6,"General Motors",1936
"3",410.6,5387.1,156.9,"General Motors",1937
"4",257.7,2792.2,209.2,"General Motors",1938
"5",330.8,4313.2,203.4,"General Motors",1939
"6",461.2,4643.9,207.2,"General Motors",1940
"7",512,4551.2,255.2,"General Motors",1941
"8",448,3244.1,303.7,"General Motors",1942
"9",499.6,4053.7,264.1,"General Motors",1943
"10",547.5,4379.3,201.6,"General Motors",1944
"11",561.2,4840.9,265,"General Motors",1945
"12",688.1,4900.9,402.2,"General Motors",1946
"13",568.9,3526.5,761.5,"General Motors",1947
"14",529.2,3254.7,922.4,"General Motors",1948
"15",555.1,3700.2,1020.1,"General Motors",1949
"16",642.9,3755.6,1099,"General Motors",1950
"17",755.9,4833,1207.7,"General Motors",1951
"18",891.2,4924.9,1430.5,"General Motors",1952
"19",1304.4,6241.7,1777.3,"General Motors",1953
"20",1486.7,5593.6,2226.3,"General Motors",1954
"21",40.29,417.5,10.5,"Chrysler",1935
"22",72.76,837.8,10.2,"Chrysler",1936
"23",66.26,883.9,34.7,"Chrysler",1937
"24",51.6,437.9,51.8,"Chrysler",1938
"25",52.41,679.7,64.3,"Chrysler",1939
"26",69.41,727.8,67.1,"Chrysler",1940
"27",68.35,643.6,75.2,"Chrysler",1941
"28",46.8,410.9,71.4,"Chrysler",1942
"29",47.4,588.4,67.1,"Chrysler",1943
"30",59.57,698.4,60.5,"Chrysler",1944
"31",88.78,846.4,54.6,"Chrysler",1945
"32",74.12,893.8,84.8,"Chrysler",1946
"33",62.68,579,96.8,"Chrysler",1947
"34",89.36,694.6,110.2,"Chrysler",1948
"35",78.98,590.3,147.4,"Chrysler",1949
"36",100.66,693.5,163.2,"Chrysler",1950
"37",160.62,809,203.5,"Chrysler",1951
"38",145,727,290.6,"Chrysler",1952
"39",174.93,1001.5,346.1,"Chrysler",1953
"40",172.49,703.2,414.9,"Chrysler",1954
"41",33.1,1170.6,97.8,"General Electric",1935
"42",45,2015.8,104.4,"General Electric",1936
"43",77.2,2803.3,118,"General Electric",1937
"44",44.6,2039.7,156.2,"General Electric",1938
"45",48.1,2256.2,172.6,"General Electric",1939
"46",74.4,2132.2,186.6,"General Electric",1940
"47",113,1834.1,220.9,"General Electric",1941
"48",91.9,1588,287.8,"General Electric",1942
"49",61.3,1749.4,319.9,"General Electric",1943
"50",56.8,1687.2,321.3,"General Electric",1944
"51",93.6,2007.7,319.6,"General Electric",1945
"52",159.9,2208.3,346,"General Electric",1946
"53",147.2,1656.7,456.4,"General Electric",1947
"54",146.3,1604.4,543.4,"General Electric",1948
"55",98.3,1431.8,618.3,"General Electric",1949
"56",93.5,1610.5,647.4,"General Electric",1950
"57",135.2,1819.4,671.3,"General Electric",1951
"58",157.3,2079.7,726.1,"General Electric",1952
"59",179.5,2371.6,800.3,"General Electric",1953
"60",189.6,2759.9,888.9,"General Electric",1954
"61",12.93,191.5,1.8,"Westinghouse",1935
"62",25.9,516,0.8,"Westinghouse",1936
"63",35.05,729,7.4,"Westinghouse",1937
"64",22.89,560.4,18.1,"Westinghouse",1938
"65",18.84,519.9,23.5,"Westinghouse",1939
"66",28.57,628.5,26.5,"Westinghouse",1940
"67",48.51,537.1,36.2,"Westinghouse",1941
"68",43.34,561.2,60.8,"Westinghouse",1942
"69",37.02,617.2,84.4,"Westinghouse",1943
"70",37.81,626.7,91.2,"Westinghouse",1944
"71",39.27,737.2,92.4,"Westinghouse",1945
"72",53.46,760.5,86,"Westinghouse",1946
"73",55.56,581.4,111.1,"Westinghouse",1947
"74",49.56,662.3,130.6,"Westinghouse",1948
"75",32.04,583.8,141.8,"Westinghouse",1949
"76",32.24,635.2,136.7,"Westinghouse",1950
"77",54.38,723.8,129.7,"Westinghouse",1951
"78",71.78,864.1,145.5,"Westinghouse",1952
"79",90.08,1193.5,174.8,"Westinghouse",1953
"80",68.6,1188.9,213.5,"Westinghouse",1954
"81",209.9,1362.4,53.8,"US Steel",1935
"82",355.3,1807.1,50.5,"US Steel",1936
"83",469.9,2676.3,118.1,"US Steel",1937
"84",262.3,1801.9,260.2,"US Steel",1938
"85",230.4,1957.3,312.7,"US Steel",1939
"86",261.6,2202.9,254.2,"US Steel",1940
"87",472.8,2380.5,261.4,"US Steel",1941
"88",445.6,2168.6,298.7,"US Steel",1942
"89",361.6,1985.1,301.8,"US Steel",1943
"90",288.2,1813.9,279.1,"US Steel",1944
"91",258.7,1850.2,213.8,"US Steel",1945
"92",420.3,2067.7,232.6,"US Steel",1946
"93",420.5,1796.7,264.8,"US Steel",1947
"94",494.5,1625.8,306.9,"US Steel",1948
"95",405.1,1667,351.1,"US Steel",1949
"96",418.8,1677.4,357.8,"US Steel",1950
"97",588.2,2289.5,342.1,"US Steel",1951
"98",645.2,2159.4,444.2,"US Steel",1952
"99",641,2031.3,623.6,"US Steel",1953
"100",459.3,2115.5,669.7,"US Steel",1954
