"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.66,0.085,0.048,0.006,0.104,0.014,0.018,0.099,0.008,0.01,0.039,0.012
"2",0.068,0.652,0.026,0.003,0.007,0.003,0.009,0.056,0.096,0.044,0.109,0.037
"3",0.058,0.041,0.723,0.053,0.037,0.015,0.027,0.023,0.028,0.017,0.018,0.079
"4",0.005,0,0.042,0.675,0.058,0.109,0.035,0,0,0,0.011,0.041
"5",0.098,0.008,0.035,0.042,0.594,0.151,0.022,0.013,0.016,0,0,0.022
"6",0.015,0.006,0.029,0.119,0.163,0.69,0.004,0.013,0.008,0.003,0,0.012
"7",0.005,0.004,0,0.025,0.007,0.002,0.708,0,0.004,0,0,0.075
"8",0.053,0.033,0.019,0.003,0.008,0.005,0.004,0.72,0.052,0.007,0.014,0.012
"9",0.002,0.051,0.01,0,0.005,0.002,0.009,0.033,0.62,0.017,0.102,0
"10",0.008,0.03,0.003,0,0,0,0.009,0.007,0.032,0.751,0.074,0.045
"11",0.017,0.063,0.006,0.008,0.002,0,0,0.02,0.132,0.081,0.616,0.01
"12",0.012,0.026,0.058,0.067,0.016,0.009,0.155,0.016,0.004,0.071,0.018,0.655
