"","s","pA","Z"
"20903",27.0001,1544.04,17.852
"20904",27.0002,1543.58,17.8551
"20905",27.0003,1543.43,17.8574
"20906",27.0004,1543.58,17.8581
"20907",27.0005,1544.34,17.8589
"20908",27.0006,1544.8,17.8596
"20909",27.0007,1544.95,17.8596
"20910",27.0008,1544.95,17.8589
"20911",27.0009,1544.95,17.8596
"20912",27.001,1544.95,17.8596
"20913",27.0011,1545.26,17.8596
"20914",27.0012,1545.1,17.8596
"20915",27.0013,1544.19,17.8581
"20916",27.0014,1543.73,17.8589
"20917",27.0015,1543.27,17.8589
"20918",27.0016,1543.58,17.8581
"20919",27.0017,1543.88,17.8581
"20920",27.0018,1544.34,17.8574
"20921",27.0019,1544.34,17.8581
"20922",27.002,1544.34,17.8566
"20923",27.0021,1544.19,17.8566
"20924",27.0022,1543.43,17.8566
"20925",27.0023,1543.12,17.8566
"20926",27.0024,1542.97,17.8574
"20927",27.0025,1542.97,17.8574
"20928",27.0026,1543.27,17.8574
"20929",27.0027,1543.58,17.8566
"20930",27.0028,1543.43,17.8558
"20931",27.0029,1543.58,17.8551
"20932",27.003,1543.27,17.8543
"20933",27.0031,1543.58,17.8551
"20934",27.0032,1543.88,17.8551
"20935",27.0033,1543.58,17.8543
"20936",27.0034,1543.27,17.8551
"20937",27.0035,1543.58,17.8535
"20938",27.0036,1543.27,17.8543
"20939",27.0037,1542.97,17.8535
"20940",27.0038,1542.97,17.8543
"20941",27.0039,1543.27,17.8528
"20942",27.004,1543.73,17.8505
"20943",27.0041,1543.88,17.8497
"20944",27.0042,1543.88,17.8459
"20945",27.0043,1543.88,17.8421
"20946",27.0044,1543.58,17.8375
"20947",27.0045,1543.58,17.8322
"20948",27.0046,1543.73,17.8253
"20949",27.0047,1543.73,17.8177
"20950",27.0048,1543.88,17.8085
"20951",27.0049,1543.43,17.7994
"20952",27.005,1544.04,17.7895
"20953",27.0051,1544.19,17.7795
"20954",27.0052,1544.34,17.7689
"20955",27.0053,1544.49,17.7567
"20956",27.0054,1544.65,17.7452
"20957",27.0055,1544.34,17.7322
"20958",27.0056,1544.34,17.7193
"20959",27.0057,1544.19,17.7071
"20960",27.0058,1544.04,17.6926
"20961",27.0059,1544.34,17.6804
"20962",27.006,1544.19,17.6643
"20963",27.0061,1544.34,17.6491
"20964",27.0062,1544.65,17.6353
"20965",27.0063,1544.34,17.6208
"20966",27.0064,1544.34,17.6071
"20967",27.0065,1544.04,17.5926
"20968",27.0066,1543.88,17.5774
"20969",27.0067,1543.73,17.5636
"20970",27.0068,1543.43,17.5484
"20971",27.0069,1543.73,17.5323
"20972",27.007,1543.12,17.5171
"20973",27.0071,1543.27,17.5026
"20974",27.0072,1543.58,17.4873
"20975",27.0073,1543.73,17.4721
"20976",27.0074,1543.73,17.4576
"20977",27.0075,1543.73,17.44
"20978",27.0076,1543.88,17.4255
"20979",27.0077,1544.04,17.4095
"20980",27.0078,1544.04,17.3958
"20981",27.0079,1544.34,17.3798
"20982",27.008,1544.49,17.3645
"20983",27.0081,1544.65,17.3492
"20984",27.0082,1544.49,17.334
"20985",27.0083,1544.34,17.3187
"20986",27.0084,1544.49,17.3019
"20987",27.0085,1544.04,17.2867
"20988",27.0086,1543.88,17.2707
"20989",27.0087,1543.43,17.2562
"20990",27.0088,1543.12,17.2401
"20991",27.0089,1543.27,17.2256
"20992",27.009,1543.58,17.2096
"20993",27.0091,1544.04,17.1944
"20994",27.0092,1544.95,17.1791
"20995",27.0093,1544.95,17.1631
"20996",27.0094,1545.1,17.1486
"20997",27.0095,1544.8,17.1326
"20998",27.0096,1544.8,17.1181
"20999",27.0097,1544.49,17.1028
"21000",27.0098,1544.49,17.0876
"21001",27.0099,1544.19,17.0715
"21002",27.01,1544.04,17.0555
"21003",27.0101,1544.19,17.0395
"21004",27.0102,1544.34,17.025
"21005",27.0103,1544.04,17.009
"21006",27.0104,1544.19,16.9937
"21007",27.0105,1544.19,16.9785
"21008",27.0106,1544.04,16.9624
"21009",27.0107,1544.34,16.9479
"21010",27.0108,1544.04,16.9327
"21011",27.0109,1543.73,16.9167
"21012",27.011,1543.73,16.9006
"21013",27.0111,1543.88,16.8854
"21014",27.0112,1543.73,16.8701
"21015",27.0113,1543.43,16.8541
"21016",27.0114,1543.43,16.8396
"21017",27.0115,1543.12,16.8251
