"","year","x","y","depth","coast","fulmar"
"1",1998,614192.3,5875490,6,3.445307,0
"4",1998,613150.8,5872947,6,3.445307,0
"5",1998,619644.7,5888800,9,3.042531,0
"6",1998,608858.6,5839623,16,3.845921,0
"7",1998,556583,5738519,1,2.701462,0
"8",1998,553423.7,5735916,3,1.807041,0
"9",1998,550264.5,5733313,3,1.807041,0
"10",1998,559457.4,5741525,3,1.9501,0
"11",1998,567870.2,5757828,15,3.284921,0
"12",1998,608280.6,5835492,14,3.405116,0
"13",1998,607664.1,5831086,11,2.915526,0
"14",1998,607047.5,5826680,11,2.915526,0
"15",1998,606430.8,5822274,10,2.426425,0
"16",1998,605814.1,5817867,8,1.863375,0
"17",1998,581900.8,5769050,8,1.579744,0
"18",1998,578709.3,5765650,8,1.979242,0
"19",1998,575517.7,5762250,8,1.979242,0
"20",1998,565800.9,5753769,8,2.180154,0
"21",1998,563781.4,5749553,8,6.00871,0
"22",1998,561761.9,5745337,3,1.9501,0
"23",1998,585107.2,5772499,7,1.246999,0
"25",1998,588358,5776091,7,1.246999,0
"26",1998,594697.4,5783646,11,2.527998,0
"27",1998,604862.7,5813252,14,4.825283,0
"28",1998,532703,5704890,6,2.694993,0
"29",1998,603409.5,5808322,11,3.826701,0
"30",1998,601788.9,5803288,9,2.267942,0
"31",1998,600168.3,5798254,6,1.290662,0
"32",1998,598547.6,5793220,12,2.823908,0
"33",1998,596926.8,5788187,8,1.382721,0
"34",1998,546841.6,5729823,1,1.669261,0
"35",1998,531902.7,5711561,6,2.34307,0
"36",1998,543123,5725339,8,5.63524,0
"37",1998,539372.4,5720747,7,2.397407,0
"38",1998,535621.8,5716155,8,3.615258,0
"39",1998,536726.9,5700917,13,1.39073,0
"40",1998,689371.4,5929967,5,1.622607,0
"41",1998,685159.3,5929803,6,1.912908,0
"42",1998,680947.3,5929640,6,2.156942,0
"43",1998,676735.4,5929476,4,1.743802,0
"44",1998,536183.5,5697407,13,1.39073,0
"45",1998,531997.1,5696263,9,1.134365,0
"46",1998,527810.8,5695119,9,2.113283,0
"47",1998,672457.5,5929013,6,2.321271,0
"48",1998,693685.8,5930350,5,1.622607,0
"49",1998,622114.9,5896374,5,1.618846,0
"50",1998,609101.3,5844281,16,4.337755,0
"51",1998,645851.2,5920734,4,1.10434,0
"52",1998,668047.3,5927950,9,3.445027,0
"53",1998,663571,5926588,14,4.741007,0
"54",1998,659094.8,5925226,6,1.19907,0
"55",1998,654618.6,5923864,8,2.165481,0
"56",1998,650142.5,5922502,10,3.433212,0
"57",1998,642052.8,5917886,8,3.826529,0
