"","sample","x","y","cadmium","copper","lead","zinc","elev","dist.m","om","ffreq","soil","lime","landuse","in.pit","in.meuse155","in.BMcD"
"1",1,181072,333611,11.7,85,299,1022,7.909,50,13.6,1,1,1,"Ah",FALSE,TRUE,FALSE
"2",2,181025,333558,8.6,81,277,1141,6.983,30,14,1,1,1,"Ah",FALSE,TRUE,FALSE
"3",3,181165,333537,6.5,68,199,640,7.8,150,13,1,1,1,"Ah",FALSE,TRUE,FALSE
"4",4,181298,333484,2.6,81,116,257,7.655,270,8,1,2,0,"Ga",FALSE,TRUE,FALSE
"5",5,181307,333330,2.8,48,117,269,7.48,380,8.7,1,2,0,"Ah",FALSE,TRUE,FALSE
"6",6,181390,333260,3,61,137,281,7.791,470,7.8,1,2,0,"Ga",FALSE,TRUE,FALSE
"7",7,181165,333370,3.2,31,132,346,8.217,240,9.2,1,2,0,"Ah",FALSE,TRUE,FALSE
"8",8,181027,333363,2.8,29,150,406,8.49,120,9.5,1,1,0,"Ab",FALSE,TRUE,FALSE
"9",9,181060,333231,2.4,37,133,347,8.668,240,10.6,1,1,0,"Ab",FALSE,TRUE,FALSE
"10",10,181232,333168,1.6,24,80,183,9.049,420,6.3,1,2,0,"W",FALSE,TRUE,FALSE
"11",11,181191,333115,1.4,25,86,189,9.015,400,6.4,1,2,0,"Fh",FALSE,TRUE,FALSE
"12",12,181032,333031,1.8,25,97,251,9.073,300,9,1,1,0,"Ag",FALSE,TRUE,FALSE
"13",13,180874,333339,11.2,93,285,1096,7.32,20,15.4,1,1,1,"W",FALSE,TRUE,FALSE
"14",14,180969,333252,2.5,31,183,504,8.815,130,8.4,1,1,0,"Ah",FALSE,TRUE,FALSE
"15",15,181011,333161,2,27,130,326,8.937,220,9.1,1,1,0,"Ah",FALSE,TRUE,FALSE
"16",16,180830,333246,9.5,86,240,1032,7.702,10,16.2,1,1,1,"W",FALSE,TRUE,FALSE
"17",17,180763,333104,7,74,133,606,7.16,10,16,1,1,1,"W",FALSE,TRUE,FALSE
"18",18,180694,332972,7.1,69,148,711,7.1,10,16,1,1,1,"W",FALSE,TRUE,FALSE
"19",19,180625,332847,8.7,69,207,735,7.02,10,13.7,1,1,1,"W",FALSE,TRUE,FALSE
"20",20,180555,332707,12.9,95,284,1052,6.86,10,14.8,1,1,1,NA,FALSE,TRUE,FALSE
"21",21,180642,332708,5.5,53,194,673,8.908,80,10.2,1,1,1,"Am",FALSE,TRUE,FALSE
"22",22,180704,332717,2.8,35,123,402,8.99,140,7.2,1,1,1,"Am",FALSE,TRUE,FALSE
"23",23,180704,332664,2.9,35,110,343,8.83,160,7.2,1,1,1,"Ag",FALSE,TRUE,FALSE
"24",24,181153,332925,1.7,24,85,218,9.02,440,7,1,2,0,"Ah",FALSE,TRUE,FALSE
"25",25,181147,332823,1.4,26,75,200,8.976,490,6.9,1,2,0,"W",FALSE,TRUE,FALSE
"26",26,181167,332778,1.5,22,76,194,8.973,530,6.3,1,2,0,"W",FALSE,TRUE,FALSE
"27",27,181008,332777,1.3,27,73,207,8.507,400,5.6,1,2,0,"Ab",FALSE,TRUE,FALSE
"28",28,180973,332687,1.3,24,67,180,8.743,400,4.4,1,2,0,"Ag",FALSE,TRUE,FALSE
"29",29,180916,332753,1.8,22,87,240,8.973,330,5.3,1,2,0,"Ah",FALSE,TRUE,FALSE
"30",30,181352,332946,1.5,21,65,180,9.043,630,4.8,1,2,0,"Ag",FALSE,TRUE,FALSE
"31",31,181133,332570,1.3,29,78,208,8.688,570,2.6,1,2,0,"B",FALSE,TRUE,FALSE
"32",32,180878,332489,1.3,21,64,198,8.727,390,1,1,2,0,"Ag",FALSE,TRUE,FALSE
"33",33,180829,332450,2.1,27,77,250,8.328,360,2.4,1,2,0,"Ah",FALSE,TRUE,FALSE
"34",34,180954,332399,1.2,26,80,192,7.971,500,1.9,1,2,0,"B",FALSE,TRUE,FALSE
"35",35,180956,332318,1.6,27,82,213,7.809,550,3.1,1,2,0,"B",FALSE,TRUE,TRUE
"36",36,180891,332231,1.2,21,72,188,0,550,2.9,1,2,0,"B",TRUE,FALSE,FALSE
"37",37,180710,332330,3,32,97,321,6.986,340,1.6,1,2,0,"Ab",FALSE,TRUE,TRUE
"38",38,180632,332445,5.8,50,166,569,7.756,210,3.5,1,2,0,"Ab",FALSE,TRUE,FALSE
"39",39,180530,332538,7.9,67,217,833,7.784,60,8.1,1,1,1,"Am",FALSE,TRUE,FALSE
"40",40,180478,332578,8.1,77,219,906,7,10,7.9,1,1,1,"W",FALSE,TRUE,FALSE
"41",41,180383,332476,14.1,108,405,1454,6.92,20,9.5,1,1,1,"W",FALSE,TRUE,FALSE
"42",42,180494,332330,2.4,32,102,298,7.516,170,1.4,1,2,0,"Am",FALSE,TRUE,TRUE
"43",43,180561,332193,1.2,21,48,167,8.18,320,NA,1,2,0,"Ga",FALSE,TRUE,TRUE
"44",44,180451,332175,1.7,22,65,176,8.694,260,NA,1,2,0,"W",FALSE,TRUE,TRUE
"45",45,180410,332031,1.3,21,62,258,9.28,360,2,1,2,0,"Ah",FALSE,TRUE,TRUE
"46",46,180355,332299,4.2,51,281,746,7.94,100,5.1,1,2,0,"Ah",FALSE,TRUE,TRUE
"47",47,180292,332157,4.3,50,294,746,6.36,200,5.3,1,2,0,"Am",FALSE,TRUE,TRUE
"48",48,180283,332014,3.1,38,211,464,7.78,320,4.5,1,2,0,"Ah",FALSE,TRUE,TRUE
"49",49,180282,331861,1.7,26,135,365,8.18,480,4.9,1,2,0,"Ah",FALSE,TRUE,TRUE
"50",50,180270,331707,1.7,24,112,282,9.42,660,4.5,1,2,0,"Bw",FALSE,TRUE,TRUE
"51",51,180199,331591,2.1,32,162,375,8.867,690,5.5,1,2,0,"Bw",FALSE,TRUE,TRUE
"52",52,180135,331552,1.7,24,94,222,8.292,710,3.4,1,2,0,"Ab",FALSE,TRUE,TRUE
"53",53,180237,332351,8.2,47,191,812,8.06,10,11.1,1,1,1,"Ah",FALSE,TRUE,TRUE
"54",54,180103,332297,17,128,405,1548,7.98,10,12.3,1,1,1,"W",FALSE,TRUE,TRUE
"55",55,179973,332255,12,117,654,1839,7.9,10,16.5,1,1,1,"W",FALSE,TRUE,TRUE
