"","PROFILE","XCOORD","YCOORD","ELEV","PROFCLASS","MAPCLASS","VAL1","CHR1","LIME1","VAL2","CHR2","LIME2","DEPTHCM","DEP2LIME","PCLAY1","PCLAY2","MG1","OM1","CEC1","PH1","PHOS1","POT1"
"1",1,100,2100,598,"Ct","Ct",3,3,4,4,4,4,61,20,15,10,63,5.7,20,7.7,13,196
"2",2,100,2000,597,"Ct","Ia",3,3,4,4,4,4,91,20,25,10,58,5.6,22,7.7,9.2,157
"3",3,100,1900,610,"Ct","Ia",4,3,4,5,4,4,46,20,20,20,55,5.8,17,7.5,10.5,115
"4",4,100,1800,615,"Ia","Ia",4,3,4,8,2,5,20,20,20,10,60,6.2,23,7.6,8.8,172
"5",5,100,1700,610,"Ia","Ia",3,3,4,8,2,5,20,20,18,10,88,8.4,27,7.6,13,238
"6",6,100,1600,595,"Ct","Ct",3,2,0,4,4,4,91,20,25,20,168,6.4,27,7,9.3,164
"7",7,100,1500,580,"Ia","Ct",4,2,2,8,2,5,30,20,25,10,99,7.1,21,7.5,10,312
"8",8,100,1400,590,"Ct","Ia",4,3,1,4,4,4,61,20,35,20,59,3.8,14,7.6,9,184
"9",9,100,1300,598,"Ia","Ia",4,3,0,8,2,5,38,40,35,10,233,5,27,6.6,15,123
"10",10,100,1200,588,"Ia","Ia",3,3,4,8,2,5,25,20,12,10,87,9.2,20,7.5,12.6,282
"11",11,100,1100,575,"Ct","Ia",3,2,0,4,4,4,71,40,20,20,205,7.2,16,6.4,4.5,140
"12",12,100,1000,572,"Ct","Ct",4,2,2,4,4,3,91,20,18,10,129,5.4,13,6.4,5.5,123
"13",13,100,900,574,"Ct","Cr",4,2,0,4,4,4,61,40,25,20,153,6,14,6.1,8.3,164
"14",14,100,800,580,"Ia","Cr",3,2,4,8,2,5,20,20,18,10,110,9.2,27,7.5,9.3,127
"15",15,100,700,588,"Ia","Ia",2,2,4,8,2,5,25,20,20,10,118,13.1,38,7.5,9.3,177
"16",16,100,600,579,"Ct","Ia",3,3,0,4,4,4,91,40,15,10,149,9.9,40,7.4,9.1,83
"17",17,100,500,579,"Ct","Ia",3,2,1,4,4,4,61,20,22,10,170,9.1,23,7.3,10.5,113
"18",18,100,400,578,"Ct","Ia",3,2,4,4,3,4,61,20,24,10,163,12.8,33,7.4,9.3,123
"19",19,100,300,583,"Ia","Ia",3,2,4,8,2,5,25,20,16,10,79,8.1,27,7.5,9,184
"20",20,100,200,600,"Ia","Ia",4,2,4,8,2,5,25,20,27,10,59,6.9,19,7.6,7.1,101
"21",21,100,100,615,"Ia","Ia",3,2,4,8,2,5,25,20,24,10,53,7.2,33,7.5,25,108
"22",22,200,2100,600,"Ia","Ia",3,2,4,8,2,5,15,20,30,10,19,3.9,11,7.6,9.2,312
"23",23,200,2000,583,"Ct","Ct",4,4,3,5,4,4,38,20,35,10,42,4.3,15,7.7,9.3,189
"24",24,200,1900,593,"Ia","Ia",4,3,4,5,4,4,30,20,33,20,44,4.2,13,7.6,9.7,184
"25",25,200,1800,600,"Ia","Ia",4,3,4,8,2,5,15,20,25,10,38,4.1,11,7.6,8.5,209
"26",26,200,1700,602,"Ia","Ia",3,3,4,8,2,5,25,20,15,10,47,6.3,21,7.6,11.5,410
"27",27,200,1600,586,"Ct","Ia",4,2,4,5,4,4,91,20,23,20,128,7.2,18,7.4,10.5,847
"28",28,200,1500,577,"Ia","Ct",4,2,4,8,2,5,25,20,30,10,32,4.3,11,7.6,7,191
"29",29,200,1400,576,"Ct","Cr",4,3,0,4,4,4,81,40,35,20,72,3.1,12,7.2,3.8,127
"30",30,200,1300,580,"Ia","Ia",4,3,4,8,2,5,20,20,34,10,75,4.7,17,7.4,7.9,172
"31",31,200,1200,577,"Ia","Ia",4,2,4,8,2,5,20,20,25,10,58,5.4,19,7.5,5.3,164
"32",32,200,1100,569,"Ia","Ia",4,2,4,8,2,5,20,20,30,10,55,5.1,16,7.5,5,208
"33",33,200,1000,562,"Cr","Ct",3,3,1,4,3,0,86,80,12,10,80,6.2,13,5.6,5.1,140
"34",34,200,900,568,"Cr","Cr",3,2,0,4,4,0,91,60,24,30,215,5.7,17,5.5,4.8,164
"35",35,200,800,577,"Ia","Cr",3,2,1,8,2,5,20,20,22,10,179,7.5,23,7.4,11.5,150
"36",36,200,700,580,"Ia","Ia",3,2,4,8,2,5,13,20,27,10,77,7,14,7.6,8.1,177
"37",37,200,600,570,"Cr","Ia",3,3,0,4,4,0,61,40,22,20,95,3.8,32,7.3,11.7,127
"38",38,200,500,578,"Cr","Ia",4,2,0,4,4,0,61,60,26,30,143,5.4,11,6.9,6.6,214
"39",39,200,400,579,"Ia","Ia",3,2,3,8,2,5,25,20,18,10,151,12.4,32,7.4,12,113
"40",40,200,300,578,"Ia","Ia",3,2,4,8,2,5,30,20,25,10,127,10.3,36,7.6,17,93
"41",41,200,200,587,"Ia","Ia",3,2,3,8,2,5,30,20,24,10,120,12.2,34,7.5,14,172
"42",42,200,100,590,"Ia","Ia",3,2,4,8,2,5,30,20,23,10,60,7.8,39,7.5,9.1,123
"43",43,300,2100,585,"Ia","Ct",4,2,4,8,2,5,23,20,35,10,44,2.9,12,7.6,12.5,282
"44",44,300,2000,579,"Ia","Ct",4,2,4,8,2,5,38,20,34,10,54,4.4,12,7.7,10,214
"45",45,300,1900,580,"Ia","Ct",4,3,4,5,4,4,36,20,30,20,45,3.8,14,7.6,9.7,172
"46",46,300,1800,582,"Ct","Ia",4,3,4,5,4,4,46,20,35,20,38,3.2,19,7.7,8.5,164
"47",47,300,1700,583,"Ia","Ia",3,3,4,8,2,5,25,20,35,10,32,3.7,12,7.6,7.3,177
"48",48,300,1600,577,"Ia","Ia",4,3,4,8,2,5,25,20,32,10,24,4.5,7,7.6,6.2,329
"49",49,300,1500,569,"Ia","Ct",4,2,4,8,2,5,41,20,30,10,36,4.2,13,7.6,5.5,157
"50",50,300,1400,570,"Ct","Cr",4,3,0,5,6,4,91,20,35,20,75,3.4,10,6.8,5.3,157
"51",51,300,1300,571,"Ia","Ia",4,3,1,8,2,5,20,20,33,10,72,4.6,15,7.5,6.4,208
"52",52,300,1200,569,"Ia","Ia",4,2,4,8,2,5,20,20,30,10,62,4.8,13,7.7,5.5,184
"53",53,300,1100,563,"Ia","Ia",4,2,4,8,2,5,25,20,22,10,67,5.7,19,7.5,7.8,250
"54",54,300,1000,558,"Ct","Ia",4,2,3,7,4,4,61,20,15,10,44,4,13,7.3,12.6,101
"55",55,300,900,552,"Cr","Cr",4,3,0,4,4,0,66,60,34,30,78,3,9,5.4,3.3,157
"56",56,300,800,572,"Cr","Cr",4,3,0,4,4,0,76,80,28,40,276,3.7,18,5.9,4.6,263
"57",57,300,700,572,"Ia","Ia",3,2,4,8,2,5,25,20,23,10,119,9.8,32,7.6,8.3,108
"58",58,300,600,558,"Ct","Cr",3,3,0,4,4,4,61,40,23,20,205,13.1,18,6.1,6.9,101
"59",59,300,500,575,"Cr","Cr",3,3,0,4,4,0,91,80,26,40,226,5.9,11,4.9,6.6,233
"60",60,300,400,576,"Ia","Cr",3,2,0,4,4,4,38,40,25,20,154,8.4,30,5.9,9.3,164
"61",61,300,300,571,"Ia","Ct",3,3,4,8,2,5,25,20,24,10,93,9.9,30,7.6,9.7,101
"62",62,300,200,575,"Ia","Ia",3,3,4,5,4,4,36,20,23,10,105,10.6,37,7.5,10,113
"63",63,300,100,580,"Ia","Ia",3,2,4,8,2,5,15,20,22,10,68,9.9,37,7.5,13.3,250
"64",64,400,2100,589,"Ct","Ct",4,3,4,7,2,5,61,20,30,10,44,4.3,10,7.7,17,128
"65",65,400,2000,586,"Ia","Ct",4,2,4,8,2,5,36,20,33,10,48,3.8,10,7.7,6.5,164
"66",66,400,1900,578,"Ct","Ct",4,2,4,5,3,4,91,20,22,10,54,4.5,15,7.7,10,214
"67",67,400,1800,573,"Ia","Ct",4,3,4,8,2,5,25,20,28,10,32,3.5,12,7.6,7,184
"68",68,400,1700,572,"Ia","Ct",4,3,4,4,4,4,41,20,25,20,32,3.2,14,7.6,6.2,172
"69",69,400,1600,570,"Ia","Ct",4,2,4,8,2,5,36,20,28,10,24,4.8,14,7.6,5,150
