"","x","y","depth","coast","area"
"1",511500,6129000,30,248,1
"2",516500,6129000,30,247,1
"3",521500,6129000,30,244,1
"4",526500,6129000,30,242,1
"5",531500,6129000,30,239,1
"6",536500,6129000,30,237,1
"7",541500,6129000,30,234,1
"8",546500,6129000,30,232,1
"9",551500,6129000,30,230,1
"10",556500,6129000,31,228,1
"11",561500,6129000,33,226,1
"12",566500,6129000,37,224,1
"13",571500,6129000,40,223,1
"14",576500,6129000,38,221,1
"15",581500,6129000,36,220,1
"16",586500,6129000,38,218,1
"17",511500,6124000,30,245,1
"18",516500,6124000,30,242,1
"19",521500,6124000,30,240,1
"20",526500,6124000,30,237,1
"21",531500,6124000,30,235,1
"22",536500,6124000,30,232,1
"23",541500,6124000,30,230,1
"24",546500,6124000,30,228,1
"25",551500,6124000,33,226,1
"26",556500,6124000,36,224,1
"27",561500,6124000,37,222,1
"28",566500,6124000,39,220,1
"29",571500,6124000,40,218,1
"30",576500,6124000,40,216,1
"31",581500,6124000,39,215,1
"32",586500,6124000,39,213,1
"33",591500,6124000,40,212,1
"34",511500,6119000,29,241,1
"35",516500,6119000,30,238,1
"36",521500,6119000,30,236,1
"37",526500,6119000,30,233,1
"38",531500,6119000,30,230,1
"39",536500,6119000,30,228,1
"40",541500,6119000,30,226,1
"41",546500,6119000,32,223,1
"42",551500,6119000,38,221,1
"43",556500,6119000,40,219,1
"44",561500,6119000,42,217,1
"45",566500,6119000,40,215,1
"46",571500,6119000,42,213,1
"47",576500,6119000,44,212,1
"48",581500,6119000,42,210,1
"49",586500,6119000,41,208,1
"50",591500,6119000,42,207,1
"51",596500,6119000,44,205,1
"52",511500,6114000,28,237,1
"53",516500,6114000,30,234,1
"54",521500,6114000,30,231,1
"55",526500,6114000,30,229,1
"56",531500,6114000,30,226,1
"57",536500,6114000,30,224,1
"58",541500,6114000,30,221,1
"59",546500,6114000,37,219,1
"60",551500,6114000,41,217,1
"61",556500,6114000,44,214,1
"62",561500,6114000,44,212,1
"63",566500,6114000,45,210,1
"64",571500,6114000,45,209,1
"65",576500,6114000,45,207,1
"66",581500,6114000,45,205,1
"67",586500,6114000,45,204,1
"68",591500,6114000,45,202,1
"69",596500,6114000,45,201,1
"70",601500,6114000,45,199,1
"71",606500,6114000,45,197,1
"72",511500,6109000,26,233,1
"73",516500,6109000,29,230,1
"74",521500,6109000,30,227,1
"75",526500,6109000,30,224,1
"76",531500,6109000,30,222,1
"77",536500,6109000,31,219,1
"78",541500,6109000,31,217,1
"79",546500,6109000,39,214,1
"80",551500,6109000,45,212,1
"81",556500,6109000,45,210,1
"82",561500,6109000,45,208,1
"83",566500,6109000,45,206,1
"84",571500,6109000,45,204,1
"85",576500,6109000,45,202,1
"86",581500,6109000,45,200,1
"87",586500,6109000,45,199,1
"88",591500,6109000,45,197,1
"89",596500,6109000,45,196,1
"90",601500,6109000,45,194,1
"91",606500,6109000,44,193,1
"92",611500,6109000,43,191,1
"93",506500,6104000,25,231,1
"94",511500,6104000,25,229,1
"95",516500,6104000,27,226,1
"96",521500,6104000,29,223,1
"97",526500,6104000,30,220,1
"98",531500,6104000,31,217,1
"99",536500,6104000,34,215,1
"100",541500,6104000,37,212,1
"101",546500,6104000,42,210,1
"102",551500,6104000,45,208,1
"103",556500,6104000,45,205,1
"104",561500,6104000,45,203,1
"105",566500,6104000,45,201,1
"106",571500,6104000,45,199,1
"107",576500,6104000,45,197,1
"108",581500,6104000,45,196,1
"109",586500,6104000,45,194,1
"110",591500,6104000,45,193,1
"111",596500,6104000,45,191,1
"112",601500,6104000,45,190,1
"113",606500,6104000,44,188,1
"114",611500,6104000,43,187,1
"115",616500,6104000,42,185,1
"116",506500,6099000,25,227,1
