"","R","G","B","opt"
"1",0.00146159096,0.000466127766,0.01386552,"A"
"2",0.00225764007,0.00129495431,0.0183311461,"A"
"3",0.00327943222,0.00230452991,0.0237083291,"A"
"4",0.00451230222,0.00349037666,0.0299647059,"A"
"5",0.00594976987,0.00484285,0.0371296695,"A"
"6",0.0075879855,0.00635613622,0.0449730774,"A"
"7",0.0094260439,0.00802185006,0.0528443561,"A"
"8",0.0114654337,0.00982831486,0.060749638,"A"
"9",0.0137075706,0.0117705913,0.0686665843,"A"
"10",0.0161557566,0.0138404966,0.076602666,"A"
"11",0.018815367,0.0160262753,0.0845844897,"A"
"12",0.021691934,0.0183201254,0.092610105,"A"
"13",0.0247917814,0.0207147875,0.100675555,"A"
"14",0.0281228154,0.0232009284,0.108786954,"A"
"15",0.0316955304,0.0257651161,0.116964722,"A"
"16",0.0355204468,0.028397457,0.125209396,"A"
"17",0.0396084872,0.0310895652,0.133515085,"A"
"18",0.043829535,0.0338299885,0.141886249,"A"
"19",0.0480616391,0.0366066101,0.150326989,"A"
"20",0.0523204388,0.039406602,0.158841025,"A"
"21",0.0566148978,0.0421598925,0.167445592,"A"
"22",0.060949393,0.0447944924,0.176128834,"A"
"23",0.0653301801,0.0473177796,0.184891506,"A"
"24",0.0697637296,0.0497264666,0.193735088,"A"
"25",0.0742565152,0.0520167766,0.202660374,"A"
"26",0.0788150034,0.0541844801,0.211667355,"A"
"27",0.0834456313,0.0562249365,0.220755099,"A"
"28",0.088154773,0.0581331465,0.229921611,"A"
"29",0.0929486914,0.0599038167,0.239163669,"A"
"30",0.097833477,0.0615314414,0.248476662,"A"
"31",0.102814972,0.0630104053,0.2578544,"A"
"32",0.107898679,0.0643351102,0.267288933,"A"
"33",0.113094451,0.0654920358,0.276783978,"A"
"34",0.118405035,0.0664791593,0.286320656,"A"
"35",0.123832651,0.0672946449,0.295879431,"A"
"36",0.129380192,0.0679349264,0.305442931,"A"
"37",0.135053322,0.0683912798,0.31499989,"A"
"38",0.140857952,0.068654071,0.32453764,"A"
"39",0.146785234,0.0687382323,0.334011109,"A"
"40",0.152839217,0.0686368599,0.34340445,"A"
"41",0.159017511,0.0683540225,0.352688028,"A"
"42",0.165308131,0.0679108689,0.361816426,"A"
"43",0.171713033,0.067305326,0.370770827,"A"
"44",0.17821173,0.0665758073,0.379497161,"A"
"45",0.184800877,0.0657324381,0.387972507,"A"
"46",0.191459745,0.0648183312,0.396151969,"A"
"47",0.198176877,0.0638624166,0.404008953,"A"
"48",0.204934882,0.0629066192,0.411514273,"A"
"49",0.211718061,0.0619917876,0.418646741,"A"
"50",0.21851159,0.0611584918,0.425391816,"A"
"51",0.225302032,0.0604451843,0.431741767,"A"
"52",0.232076515,0.0598886855,0.437694665,"A"
"53",0.238825991,0.0595170384,0.443255999,"A"
"54",0.245543175,0.0593524384,0.448435938,"A"
"55",0.252220252,0.0594147119,0.453247729,"A"
"56",0.258857304,0.0597055998,0.457709924,"A"
"57",0.265446744,0.0602368754,0.461840297,"A"
"58",0.271994089,0.0609935552,0.465660375,"A"
"59",0.2784933,0.0619778136,0.469190328,"A"
"60",0.284951097,0.0631676261,0.472450879,"A"
"61",0.291365817,0.0645534486,0.475462193,"A"
"62",0.297740413,0.0661170432,0.478243482,"A"
"63",0.304080941,0.0678353452,0.480811572,"A"
"64",0.310382027,0.0697024767,0.48318634,"A"
"65",0.316654235,0.0716895272,0.485380429,"A"
"66",0.322899126,0.0737819504,0.487408399,"A"
"67",0.329114038,0.0759715081,0.489286796,"A"
"68",0.335307503,0.0782361045,0.491024144,"A"
"69",0.341481725,0.0805635079,0.492631321,"A"
"70",0.347635742,0.0829463512,0.494120923,"A"
"71",0.353773161,0.0853726329,0.495501096,"A"
"72",0.359897941,0.0878311772,0.496778331,"A"
"73",0.366011928,0.0903143031,0.497959963,"A"
"74",0.372116205,0.0928159917,0.499053326,"A"
"75",0.378210547,0.0953322947,0.500066568,"A"
"76",0.384299445,0.0978549106,0.501001964,"A"
"77",0.390384361,0.100379466,0.501864236,"A"
"78",0.39646667,0.102902194,0.50265759,"A"
"79",0.402547663,0.105419865,0.503385761,"A"
"80",0.408628505,0.107929771,0.504052118,"A"
"81",0.414708664,0.110431177,0.504661843,"A"
"82",0.420791157,0.11292021,0.505214935,"A"
"83",0.426876965,0.115395258,0.505713602,"A"
"84",0.432967001,0.117854987,0.506159754,"A"
"85",0.439062114,0.120298314,0.506555026,"A"
"86",0.445163096,0.122724371,0.506900806,"A"
"87",0.451270678,0.125132484,0.507198258,"A"
"88",0.457385535,0.127522145,0.507448336,"A"
"89",0.463508291,0.129892998,0.507651812,"A"
"90",0.469639514,0.132244819,0.507809282,"A"
"91",0.475779723,0.1345775,0.507921193,"A"
"92",0.481928997,0.13689139,0.507988509,"A"
"93",0.488088169,0.139186217,0.508010737,"A"
"94",0.494257673,0.141462106,0.507987836,"A"
"95",0.500437834,0.143719323,0.507919772,"A"
"96",0.506628929,0.145958202,0.50780642,"A"
"97",0.512831195,0.148179144,0.50764757,"A"
"98",0.519044825,0.150382611,0.507442938,"A"
"99",0.525269968,0.152569121,0.507192172,"A"
"100",0.531506735,0.154739247,0.50689486,"A"
"101",0.537755194,0.156893613,0.506550538,"A"
"102",0.544015371,0.159032895,0.506158696,"A"
"103",0.550287252,0.161157816,0.505718782,"A"
"104",0.556570783,0.163269149,0.50523021,"A"
"105",0.562865867,0.165367714,0.504692365,"A"
"106",0.569172368,0.167454379,0.504104606,"A"
"107",0.575490107,0.169530062,0.503466273,"A"
"108",0.581818864,0.171595728,0.50277669,"A"
"109",0.588158375,0.173652392,0.502035167,"A"
"110",0.594508337,0.175701122,0.501241011,"A"
"111",0.600868399,0.177743036,0.500393522,"A"
"112",0.607238169,0.179779309,0.499491999,"A"
"113",0.613617209,0.18181117,0.498535746,"A"
"114",0.620005032,0.183839907,0.497524075,"A"
"115",0.626401108,0.185866869,0.496456304,"A"
"116",0.632804854,0.187893468,0.495331769,"A"
"117",0.639215638,0.189921182,0.494149821,"A"
"118",0.645632778,0.191951556,0.492909832,"A"
"119",0.652055535,0.19398621,0.491611196,"A"
"120",0.658483116,0.196026835,0.490253338,"A"
"121",0.664914668,0.198075202,0.488835712,"A"
"122",0.671349279,0.200133166,0.487357807,"A"
"123",0.677785975,0.202202663,0.485819154,"A"
"124",0.684223712,0.204285721,0.484219325,"A"
"125",0.69066138,0.206384461,0.482557941,"A"
"126",0.697097796,0.2085011,0.480834678,"A"
"127",0.7035317,0.210637956,0.47904927,"A"
"128",0.709961888,0.212797337,0.477201121,"A"
"129",0.716387038,0.214981693,0.47528978,"A"
"130",0.722805451,0.217193831,0.473315708,"A"
"131",0.729215521,0.219436516,0.471278924,"A"
"132",0.735615545,0.221712634,0.469179541,"A"
"133",0.742003713,0.224025196,0.467017774,"A"
"134",0.748378107,0.226377345,0.464793954,"A"
"135",0.754736692,0.228772352,0.462508534,"A"
"136",0.761077312,0.231213625,0.460162106,"A"
"137",0.767397681,0.233704708,0.457755411,"A"
"138",0.77369538,0.236249283,0.455289354,"A"
"139",0.779967847,0.23885117,0.452765022,"A"
"140",0.786212372,0.241514325,0.450183695,"A"
"141",0.792426972,0.24424225,0.447543155,"A"
"142",0.79860776,0.247039798,0.444848441,"A"
"143",0.804751511,0.24991135,0.442101615,"A"
"144",0.810854841,0.252861399,0.439304963,"A"
"145",0.816914186,0.25589455,0.436461074,"A"
"146",0.822925797,0.259015505,0.433572874,"A"
"147",0.82888574,0.262229049,0.430643647,"A"
"148",0.834790818,0.265539703,0.427671352,"A"
"149",0.84063568,0.268952874,0.42466562,"A"
"150",0.846415804,0.272473491,0.421631064,"A"
"151",0.85212649,0.276106469,0.418572767,"A"
"152",0.85776287,0.279856666,0.415496319,"A"
"153",0.863320397,0.283729003,0.412402889,"A"
"154",0.868793368,0.287728205,0.409303002,"A"
"155",0.874176342,0.291858679,0.406205397,"A"
"156",0.879463944,0.296124596,0.403118034,"A"
"157",0.884650824,0.30053009,0.40004706,"A"
"158",0.889731418,0.305078817,0.397001559,"A"
"159",0.894700194,0.309773445,0.393994634,"A"
"160",0.899551884,0.314616425,0.391036674,"A"
"161",0.904281297,0.319609981,0.388136889,"A"
"162",0.908883524,0.324755126,0.385308008,"A"
"163",0.913354091,0.330051947,0.382563414,"A"
"164",0.917688852,0.335500068,0.379915138,"A"
"165",0.921884187,0.341098112,0.377375977,"A"
"166",0.925937102,0.346843685,0.374959077,"A"
"167",0.92984509,0.352733817,0.372676513,"A"
"168",0.933606454,0.358764377,0.370540883,"A"
"169",0.937220874,0.364929312,0.368566525,"A"
"170",0.940687443,0.371224168,0.366761699,"A"
"171",0.944006448,0.377642889,0.365136328,"A"
"172",0.947179528,0.384177874,0.36370113,"A"
"173",0.95021015,0.390819546,0.362467694,"A"
"174",0.953099077,0.397562894,0.361438431,"A"
"175",0.955849237,0.404400213,0.360619076,"A"
"176",0.958464079,0.411323666,0.360014232,"A"
"177",0.960949221,0.418323245,0.359629789,"A"
"178",0.963310281,0.425389724,0.35946902,"A"
"179",0.965549351,0.432518707,0.359529151,"A"
"180",0.967671128,0.439702976,0.359810172,"A"
"181",0.969680441,0.446935635,0.36031112,"A"
"182",0.971582181,0.45421017,0.361030156,"A"
"183",0.973381238,0.461520484,0.361964652,"A"
"184",0.975082439,0.468860936,0.363111292,"A"
"185",0.976690494,0.47622635,0.364466162,"A"
"186",0.978209957,0.483612031,0.366024854,"A"
"187",0.979645181,0.491013764,0.367782559,"A"
"188",0.981000291,0.4984278,0.369734157,"A"
"189",0.982279159,0.505850848,0.371874301,"A"
"190",0.983485387,0.513280054,0.374197501,"A"
"191",0.984622298,0.520712972,0.376698186,"A"
"192",0.985692925,0.528147545,0.379370774,"A"
"193",0.986700017,0.53558207,0.382209724,"A"
"194",0.987646038,0.543015173,0.385209578,"A"
"195",0.988533173,0.550445778,0.388365009,"A"
"196",0.989363341,0.557873075,0.391670846,"A"
"197",0.990138201,0.565296495,0.395122099,"A"
"198",0.990871208,0.572706259,0.398713971,"A"
"199",0.991558165,0.580106828,0.402441058,"A"
"200",0.992195728,0.587501706,0.406298792,"A"
"201",0.992784669,0.594891088,0.410282976,"A"
"202",0.993325561,0.602275297,0.414389658,"A"
"203",0.993834412,0.60964354,0.418613221,"A"
"204",0.994308514,0.616998953,0.422949672,"A"
"205",0.994737698,0.624349657,0.427396771,"A"
"206",0.995121854,0.631696376,0.431951492,"A"
"207",0.995480469,0.639026596,0.436607159,"A"
"208",0.995809924,0.646343897,0.441360951,"A"
"209",0.996095703,0.653658756,0.446213021,"A"
"210",0.996341406,0.660969379,0.451160201,"A"
"211",0.996579803,0.668255621,0.456191814,"A"
"212",0.996774784,0.675541484,0.461314158,"A"
"213",0.996925427,0.682827953,0.466525689,"A"
"214",0.997077185,0.690087897,0.471811461,"A"
"215",0.997186253,0.697348991,0.477181727,"A"
"216",0.997253982,0.704610791,0.482634651,"A"
"217",0.99732518,0.711847714,0.488154375,"A"
"218",0.997350983,0.719089119,0.493754665,"A"
"219",0.997350583,0.726324415,0.499427972,"A"
"220",0.997341259,0.733544671,0.505166839,"A"
"221",0.997284689,0.740771893,0.510983331,"A"
"222",0.997228367,0.747980563,0.516859378,"A"
"223",0.99713848,0.755189852,0.522805996,"A"
"224",0.997019342,0.762397883,0.528820775,"A"
"225",0.996898254,0.769590975,0.534892341,"A"
"226",0.996726862,0.77679486,0.541038571,"A"
"227",0.996570645,0.783976508,0.547232992,"A"
"228",0.996369065,0.791167346,0.553498939,"A"
"229",0.996162309,0.798347709,0.559819643,"A"
"230",0.995932448,0.805527126,0.566201824,"A"
"231",0.995680107,0.812705773,0.572644795,"A"
"232",0.995423973,0.819875302,0.57914013,"A"
"233",0.995131288,0.827051773,0.585701463,"A"
"234",0.994851089,0.834212826,0.592307093,"A"
"235",0.994523666,0.841386618,0.598982818,"A"
"236",0.9942219,0.848540474,0.605695903,"A"
"237",0.993865767,0.855711038,0.612481798,"A"
"238",0.993545285,0.862858846,0.6192993,"A"
"239",0.993169558,0.870024467,0.626189463,"A"
"240",0.992830963,0.877168404,0.633109148,"A"
"241",0.992439881,0.884329694,0.640099465,"A"
"242",0.992089454,0.891469549,0.647116021,"A"
"243",0.991687744,0.89862705,0.654201544,"A"
"244",0.991331929,0.905762748,0.661308839,"A"
"245",0.990929685,0.91291501,0.668481201,"A"
"246",0.990569914,0.920048699,0.675674592,"A"
"247",0.990174637,0.927195612,0.682925602,"A"
"248",0.989814839,0.93432854,0.690198194,"A"
"249",0.989433736,0.941470354,0.697518628,"A"
"250",0.989077438,0.948604077,0.704862519,"A"
"251",0.988717064,0.95574152,0.712242232,"A"
"252",0.988367028,0.962878026,0.719648627,"A"
"253",0.988032885,0.970012413,0.727076773,"A"
"254",0.987690702,0.977154231,0.734536205,"A"
"255",0.987386827,0.984287561,0.742001547,"A"
