"","from","to","fact","description"
"1","Wh","J",3600,"1 Wh = 1 Wh * 3600 s/h = 3600 Ws = 3600 MJ"
"2","toe","J",3.5e+10,"1 toe = 1000 kgoe = 1000 kg * 35 MJ/kg = 35000 MJ (energy as tons of oil equivalent)"
"3","cal","J",4.1868,"calorie"
"4","eV","J",1.602176565e-19,"electronvolt"
"5","ton","g",1e+06,"metric ton"
"6","tn","g",1e+06,"metric ton"
"7","lb","g",453.59237,"international avoirdupois pound"
"8","min","s",60,"minute"
"9","h","s",3600,"hour"
"10","d","s",86400,"day"
"11","a","s",31557600,"year (assuming 365.25 days per year)"
"12","in","m",0.0254,"inch (strangely, some people still use these)"
"13","ft","m",0.3048,"foot = 12 inches"
"14","mi","m",1609.344,"mile = 5280 feet"
"15","AA","m",1e-10,"1 angstrom = 100 pm"
"16","l","m3",0.001,"litre"
"17","hp","W",735.49875,"horsepower (metric)"
"18","psi","Pa",6894.757,"pound-force per square inch"
"19","bar","Pa",1e+05,"bar"
"20","atm","Pa",101325,"atmosphere (standard)"
"21","gal","l",3.785411784,"U.S. Gallon"
"22","yd","m",0.914,"yard (basic unit of length)"
"23","oz","g",28.35,"ounce"
"24","J","Wh",0.000277777777777778,"1 Wh = 1 Wh * 3600 s/h = 3600 Ws = 3600 MJ"
"25","J","toe",2.85714285714286e-11,"1 toe = 1000 kgoe = 1000 kg * 35 MJ/kg = 35000 MJ (energy as tons of oil equivalent)"
"26","J","cal",0.238845896627496,"calorie"
"27","J","eV",6241509343260179456,"electronvolt"
"28","g","ton",1e-06,"metric ton"
"29","g","tn",1e-06,"metric ton"
"30","g","lb",0.00220462262184878,"international avoirdupois pound"
"31","s","min",0.0166666666666667,"minute"
"32","s","h",0.000277777777777778,"hour"
"33","s","d",1.15740740740741e-05,"day"
"34","s","a",3.16880878140289e-08,"year (assuming 365.25 days per year)"
"35","m","in",39.3700787401575,"inch (strangely, some people still use these)"
"36","m","ft",3.28083989501312,"foot = 12 inches"
"37","m","mi",0.000621371192237334,"mile = 5280 feet"
"38","m","AA",1e+10,"1 angstrom = 100 pm"
"39","m3","l",1000,"litre"
"40","W","hp",0.0013596216173039,"horsepower (metric)"
"41","Pa","psi",0.000145037743897283,"pound-force per square inch"
"42","Pa","bar",1e-05,"bar"
"43","Pa","atm",9.86923266716013e-06,"atmosphere (standard)"
"44","l","gal",0.26417205235815,"U.S. Gallon"
"45","m","yd",1.09409190371991,"yard (basic unit of length)"
"46","g","oz",0.0352733686067019,"ounce"
