"","index","carat","colour","clarity","cut","certification","polish","symmetry","price","wholesaler"
"1",1,0.92,"I","SI2","G","AGS","V","V",3000,"A"
"2",2,0.92,"I","SI2","V","AGS","G","G",3000,"A"
"3",3,0.82,"F","SI2","I","GIA","X","X",3004,"A"
"4",4,0.81,"G","SI1","I","GIA","X","V",3004,"A"
"5",5,0.9,"J","VS2","V","GIA","V","V",3006,"A"
"6",6,0.87,"F","SI2","I","AGS","G","V",3007,"A"
"7",7,0.8,"D","SI2","I","GIA","V","V",3008,"A"
"8",8,0.84,"F","SI1","G","GIA","V","V",3010,"A"
"9",9,0.8,"D","SI2","V","GIA","V","V",3012,"A"
"10",10,0.8,"D","SI2","V","GIA","V","X",3012,"A"
"11",11,0.85,"G","SI2","I","GIA","V","V",3014,"A"
"12",12,0.83,"G","SI2","I","GIA","X","X",3014,"A"
"13",13,0.82,"H","VS1","G","AGS","G","V",3015,"A"
"14",14,0.82,"G","SI1","I","GIA","X","X",3015,"A"
"15",15,0.8,"F","SI1","V","GIA","V","V",3022,"A"
"16",16,0.91,"J","SI1","V","GIA","V","V",3023,"A"
"17",17,0.81,"F","SI1","V","AGS","V","V",3027,"A"
"18",18,0.9,"I","SI1","V","GIA","X","V",3028,"A"
"19",19,0.81,"E","SI2","I","GIA","V","X",3029,"A"
"20",20,0.81,"E","SI2","I","GIA","X","X",3029,"A"
"21",21,0.81,"E","SI2","I","GIA","G","G",3031,"A"
"22",22,0.8,"I","VS1","I","AGS","I","I",3031,"A"
"23",23,0.8,"I","VS1","I","AGS","I","I",3031,"A"
"24",24,0.8,"G","SI1","I","GIA","X","V",3035,"A"
"25",25,0.81,"H","SI1","V","GIA","G","V",3036,"A"
"26",26,0.91,"H","SI2","G","GIA","V","G",3038,"A"
"27",27,0.83,"D","SI2","G","GIA","G","G",3041,"A"
"28",28,0.83,"I","VS2","V","GIA","G","G",3041,"A"
"29",29,0.88,"I","SI1","I","AGS","I","I",3042,"A"
"30",30,0.9,"G","SI2","F","GIA","V","V",3043,"A"
"31",31,0.9,"H","SI2","V","GIA","V","G",3043,"A"
"32",32,0.9,"G","SI2","F","GIA","G","V",3043,"A"
"33",33,0.91,"I","SI2","I","GIA","V","V",3044,"A"
"34",34,0.81,"D","SI2","V","GIA","G","G",3044,"A"
"35",35,0.81,"F","SI1","V","GIA","X","X",3049,"A"
"36",36,0.85,"E","SI2","I","GIA","V","X",3051,"A"
"37",37,0.85,"F","SI2","V","AGS","G","G",3051,"A"
"38",38,0.81,"E","SI2","V","GIA","V","G",3051,"A"
"39",39,0.81,"I","VS1","I","AGS","I","I",3053,"A"
