"","num","col"
"1","0","white"
"2","26","black"
"3","3","red"
"4","35","black"
"5","12","red"
"6","28","black"
"7","7","red"
"8","29","black"
"9","18","red"
"10","22","black"
"11","9","red"
"12","31","black"
"13","14","red"
"14","20","black"
"15","1","red"
"16","33","black"
"17","16","red"
"18","24","black"
"19","5","red"
"20","10","black"
"21","23","red"
"22","8","black"
"23","30","red"
"24","11","black"
"25","36","red"
"26","13","black"
"27","27","red"
"28","6","black"
"29","34","red"
"30","17","black"
"31","25","red"
"32","2","black"
"33","21","red"
"34","4","black"
"35","19","red"
"36","15","black"
"37","32","red"
