"","rank","suit"
"1","2","club"
"2","3","club"
"3","4","club"
"4","5","club"
"5","6","club"
"6","7","club"
"7","8","club"
"8","9","club"
"9","10","club"
"10","J","club"
"11","Q","club"
"12","K","club"
"13","A","club"
"14","2","diamond"
"15","3","diamond"
"16","4","diamond"
"17","5","diamond"
"18","6","diamond"
"19","7","diamond"
"20","8","diamond"
"21","9","diamond"
"22","10","diamond"
"23","J","diamond"
"24","Q","diamond"
"25","K","diamond"
"26","A","diamond"
"27","2","heart"
"28","3","heart"
"29","4","heart"
"30","5","heart"
"31","6","heart"
"32","7","heart"
"33","8","heart"
"34","9","heart"
"35","10","heart"
"36","J","heart"
"37","Q","heart"
"38","K","heart"
"39","A","heart"
"40","2","spade"
"41","3","spade"
"42","4","spade"
"43","5","spade"
"44","6","spade"
"45","7","spade"
"46","8","spade"
"47","9","spade"
"48","10","spade"
"49","J","spade"
"50","Q","spade"
"51","K","spade"
"52","A","spade"
