"","Saison","Spieltag","Datum","Anpfiff","Heim","Gast","Tore.Heim","Tore.Gast","Tore.Heim.Halbzeit","Tore.Gast.Halbzeit"
"1","1963/1964",1,1963-08-24,"17:00","Hertha BSC Berlin","1. FC Nuernberg",1,1,0,1
"2","1963/1964",1,1963-08-24,"17:00","SV Werder Bremen","Borussia Dortmund",3,2,1,1
"3","1963/1964",1,1963-08-24,"17:00","Eintracht Frankfurt","1. FC Kaiserslautern",1,1,1,1
"4","1963/1964",1,1963-08-24,"17:00","Karlsruher SC","Meidericher SV",1,4,0,3
"5","1963/1964",1,1963-08-24,"17:00","TSV 1860 Muenchen","Eintracht Braunschweig",1,1,1,0
"6","1963/1964",1,1963-08-24,"17:00","Preussen Muenster","Hamburger SV",1,1,0,0
"7","1963/1964",1,1963-08-24,"17:00","1. FC Saarbruecken","1. FC Koeln",0,2,0,2
"8","1963/1964",1,1963-08-24,"17:00","FC Schalke 04","VfB Stuttgart",2,0,2,0
"9","1963/1964",2,1963-08-31,"17:00","Eintracht Braunschweig","Preussen Muenster",1,0,1,0
"10","1963/1964",2,1963-08-31,"17:00","Borussia Dortmund","TSV 1860 Muenchen",3,3,2,1
"11","1963/1964",2,1963-08-31,"17:00","Meidericher SV","Eintracht Frankfurt",3,1,2,0
"12","1963/1964",2,1963-08-31,"17:00","Hamburger SV","1. FC Saarbruecken",4,2,1,2
"13","1963/1964",2,1963-08-31,"17:00","1. FC Kaiserslautern","FC Schalke 04",2,3,1,1
"14","1963/1964",2,1963-08-31,"17:00","1. FC Koeln","Karlsruher SC",4,0,2,0
"15","1963/1964",2,1963-08-31,"17:00","1. FC Nuernberg","SV Werder Bremen",3,0,2,0
"16","1963/1964",2,1963-08-31,"17:00","VfB Stuttgart","Hertha BSC Berlin",2,0,2,0
"17","1963/1964",3,1963-09-07,"16:30","Hertha BSC Berlin","1. FC Kaiserslautern",2,2,0,2
"18","1963/1964",3,1963-09-07,"16:30","SV Werder Bremen","VfB Stuttgart",2,2,1,2
"19","1963/1964",3,1963-09-07,"16:30","Eintracht Frankfurt","1. FC Nuernberg",2,3,1,1
"20","1963/1964",3,1963-09-07,"16:30","Karlsruher SC","Hamburger SV",0,4,0,3
"21","1963/1964",3,1963-09-07,"16:30","TSV 1860 Muenchen","1. FC Koeln",1,3,0,0
"22","1963/1964",3,1963-09-07,"16:30","Preussen Muenster","Meidericher SV",4,2,2,0
"23","1963/1964",3,1963-09-07,"16:30","1. FC Saarbruecken","Eintracht Braunschweig",2,2,0,1
"24","1963/1964",3,1963-09-07,"16:30","FC Schalke 04","Borussia Dortmund",3,1,1,1
"25","1963/1964",4,1963-09-14,"16:30","Eintracht Braunschweig","Karlsruher SC",2,0,1,0
"26","1963/1964",4,1963-09-14,"16:30","Borussia Dortmund","1. FC Saarbruecken",2,1,0,1
"27","1963/1964",4,1963-09-14,"16:30","Meidericher SV","Hertha BSC Berlin",1,3,0,1
"28","1963/1964",4,1963-09-14,"16:30","Hamburger SV","Eintracht Frankfurt",3,0,1,0
"29","1963/1964",4,1963-09-14,"16:30","1. FC Kaiserslautern","SV Werder Bremen",3,0,1,0
"30","1963/1964",4,1963-09-14,"16:30","1. FC Koeln","FC Schalke 04",2,2,1,2
"31","1963/1964",4,1963-09-14,"16:30","1. FC Nuernberg","Preussen Muenster",2,2,1,2
"32","1963/1964",4,1963-09-14,"16:30","VfB Stuttgart","TSV 1860 Muenchen",1,1,1,1
"33","1963/1964",5,1963-09-21,"16:30","Hertha BSC Berlin","1. FC Koeln",0,3,0,1
"34","1963/1964",5,1963-09-21,"16:30","SV Werder Bremen","Meidericher SV",1,1,0,1
"35","1963/1964",5,1963-09-21,"16:30","Eintracht Frankfurt","Eintracht Braunschweig",3,0,2,0
"36","1963/1964",5,1963-09-21,"16:30","Karlsruher SC","Borussia Dortmund",1,3,0,2
"37","1963/1964",5,1963-09-21,"16:30","TSV 1860 Muenchen","1. FC Kaiserslautern",3,0,0,0
"38","1963/1964",5,1963-09-21,"16:30","Preussen Muenster","VfB Stuttgart",4,2,1,2
"39","1963/1964",5,1963-09-21,"16:30","1. FC Saarbruecken","1. FC Nuernberg",3,5,2,2
"40","1963/1964",5,1963-09-21,"16:30","FC Schalke 04","Hamburger SV",1,0,1,0
"41","1963/1964",6,1963-10-05,"15:30","Meidericher SV","TSV 1860 Muenchen",3,0,1,0
"42","1963/1964",6,1963-10-05,"15:30","1. FC Kaiserslautern","Preussen Muenster",0,0,0,0
"43","1963/1964",6,1963-10-05,"15:30","1. FC Koeln","SV Werder Bremen",4,3,0,1
"44","1963/1964",6,1963-10-05,"15:30","VfB Stuttgart","1. FC Saarbruecken",3,1,1,0
"45","1963/1964",6,1963-10-05,"18:30","1. FC Nuernberg","Karlsruher SC",2,4,2,1
"46","1963/1964",6,1963-10-05,"19:00","Hamburger SV","Hertha BSC Berlin",5,1,1,1
"47","1963/1964",6,1963-10-05,"20:00","Eintracht Braunschweig","FC Schalke 04",4,3,2,1
"48","1963/1964",6,1963-10-05,"20:00","Borussia Dortmund","Eintracht Frankfurt",3,0,3,0
"49","1963/1964",7,1963-10-12,"15:30","Hertha BSC Berlin","Eintracht Braunschweig",1,2,1,2
"50","1963/1964",7,1963-10-12,"15:30","Eintracht Frankfurt","1. FC Koeln",2,1,2,1
"51","1963/1964",7,1963-10-12,"15:30","Karlsruher SC","VfB Stuttgart",0,3,0,2
"52","1963/1964",7,1963-10-12,"15:30","TSV 1860 Muenchen","1. FC Nuernberg",5,0,3,0
"53","1963/1964",7,1963-10-12,"15:30","1. FC Saarbruecken","1. FC Kaiserslautern",2,4,2,1
"54","1963/1964",7,1963-10-12,"15:30","FC Schalke 04","Meidericher SV",2,2,2,1
"55","1963/1964",7,1963-10-12,"17:00","SV Werder Bremen","Hamburger SV",4,2,2,1
"56","1963/1964",7,1963-10-12,"18:00","Preussen Muenster","Borussia Dortmund",1,2,1,0
"57","1963/1964",8,1963-10-19,"15:30","Eintracht Braunschweig","SV Werder Bremen",1,1,1,1
"58","1963/1964",8,1963-10-19,"15:30","Meidericher SV","1. FC Saarbruecken",3,1,1,1
"59","1963/1964",8,1963-10-19,"15:30","Hamburger SV","TSV 1860 Muenchen",5,0,3,0
"60","1963/1964",8,1963-10-19,"15:30","1. FC Kaiserslautern","Karlsruher SC",1,0,0,0
"61","1963/1964",8,1963-10-19,"15:30","1. FC Koeln","Preussen Muenster",3,0,1,0
"62","1963/1964",8,1963-10-19,"15:30","1. FC Nuernberg","FC Schalke 04",0,2,0,1
"63","1963/1964",8,1963-10-19,"15:30","VfB Stuttgart","Eintracht Frankfurt",0,0,0,0
"64","1963/1964",8,1963-10-19,"20:00","Borussia Dortmund","Hertha BSC Berlin",7,2,4,1
"65","1963/1964",9,1963-10-26,"15:30","Hertha BSC Berlin","Eintracht Frankfurt",1,3,1,0
"66","1963/1964",9,1963-10-26,"15:30","Hamburger SV","Eintracht Braunschweig",2,1,1,1
"67","1963/1964",9,1963-10-26,"15:30","1. FC Koeln","Meidericher SV",3,3,1,2
"68","1963/1964",9,1963-10-26,"15:30","Preussen Muenster","TSV 1860 Muenchen",0,0,0,0
"69","1963/1964",9,1963-10-26,"15:30","1. FC Nuernberg","1. FC Kaiserslautern",0,5,0,3
"70","1963/1964",9,1963-10-26,"15:30","1. FC Saarbruecken","Karlsruher SC",1,3,0,1
"71","1963/1964",9,1963-10-26,"15:30","FC Schalke 04","SV Werder Bremen",2,3,1,1
"72","1963/1964",9,1963-10-26,"15:30","VfB Stuttgart","Borussia Dortmund",2,1,1,0
"73","1963/1964",10,1963-11-08,"20:00","Eintracht Braunschweig","1. FC Koeln",1,1,1,1
"74","1963/1964",10,1963-11-09,"14:30","Meidericher SV","Hamburger SV",4,0,0,0
"75","1963/1964",10,1963-11-09,"14:30","Eintracht Frankfurt","FC Schalke 04",4,2,1,1
"76","1963/1964",10,1963-11-09,"14:30","1. FC Kaiserslautern","VfB Stuttgart",1,3,1,2
"77","1963/1964",10,1963-11-09,"14:30","Karlsruher SC","Preussen Muenster",4,2,4,1
"78","1963/1964",10,1963-11-09,"14:30","TSV 1860 Muenchen","1. FC Saarbruecken",7,1,1,1
"79","1963/1964",10,1963-11-09,"17:00","SV Werder Bremen","Hertha BSC Berlin",2,2,1,0
"80","1963/1964",10,1963-11-09,"19:00","Borussia Dortmund","1. FC Nuernberg",3,1,1,1
"81","1963/1964",11,1963-11-16,"14:30","Eintracht Braunschweig","Meidericher SV",0,0,0,0
"82","1963/1964",11,1963-11-16,"14:30","1. FC Koeln","Hamburger SV",4,1,1,1
"83","1963/1964",11,1963-11-16,"14:30","1. FC Saarbruecken","Preussen Muenster",1,1,1,1
"84","1963/1964",11,1963-11-16,"14:30","VfB Stuttgart","1. FC Nuernberg",1,0,1,0
"85","1963/1964",11,1963-11-16,"17:00","SV Werder Bremen","Eintracht Frankfurt",4,1,2,1
"86","1963/1964",11,1963-11-16,"17:00","TSV 1860 Muenchen","Karlsruher SC",1,0,0,0
"87","1963/1964",11,1963-11-16,"17:30","Borussia Dortmund","1. FC Kaiserslautern",9,3,5,1
"88","1963/1964",11,1963-11-16,"19:00","FC Schalke 04","Hertha BSC Berlin",1,0,0,0
"89","1963/1964",12,1963-11-23,"14:30","Hertha BSC Berlin","1. FC Saarbruecken",3,2,1,2
"90","1963/1964",12,1963-11-23,"14:30","Meidericher SV","Borussia Dortmund",3,3,1,3
"91","1963/1964",12,1963-11-23,"14:30","Hamburger SV","VfB Stuttgart",1,1,0,1
"92","1963/1964",12,1963-11-23,"14:30","1. FC Kaiserslautern","Eintracht Braunschweig",2,1,1,0
"93","1963/1964",12,1963-11-23,"14:30","Karlsruher SC","SV Werder Bremen",1,1,1,0
"94","1963/1964",12,1963-11-23,"14:30","Preussen Muenster","FC Schalke 04",2,2,1,0
"95","1963/1964",12,1963-11-23,"14:30","1. FC Nuernberg","1. FC Koeln",2,2,2,1
"96","1963/1964",12,1963-11-23,"17:00","Eintracht Frankfurt","TSV 1860 Muenchen",5,2,2,1
"97","1963/1964",13,1963-11-30,"14:30","Hertha BSC Berlin","Karlsruher SC",2,3,1,2
"98","1963/1964",13,1963-11-30,"14:30","1. FC Kaiserslautern","Hamburger SV",3,2,2,0
"99","1963/1964",13,1963-11-30,"14:30","1. FC Nuernberg","Meidericher SV",2,0,1,0
"100","1963/1964",13,1963-11-30,"17:00","SV Werder Bremen","1. FC Saarbruecken",0,3,0,1
"101","1963/1964",13,1963-11-30,"17:00","Eintracht Frankfurt","Preussen Muenster",3,0,0,0
"102","1963/1964",13,1963-11-30,"17:00","VfB Stuttgart","Eintracht Braunschweig",5,0,3,0
"103","1963/1964",13,1963-11-30,"19:00","FC Schalke 04","TSV 1860 Muenchen",2,1,2,0
"104","1963/1964",13,1963-11-30,"20:00","Borussia Dortmund","1. FC Koeln",2,3,2,3
"105","1963/1964",14,1963-12-07,"14:15","Meidericher SV","VfB Stuttgart",3,0,1,0
"106","1963/1964",14,1963-12-07,"14:15","Preussen Muenster","SV Werder Bremen",1,3,0,2
"107","1963/1964",14,1963-12-07,"15:00","Karlsruher SC","FC Schalke 04",1,1,0,0
"108","1963/1964",14,1963-12-07,"17:00","TSV 1860 Muenchen","Hertha BSC Berlin",1,2,0,0
"109","1963/1964",14,1963-12-07,"18:30","1. FC Saarbruecken","Eintracht Frankfurt",0,4,0,2
"110","1963/1964",14,1963-12-07,"19:00","Eintracht Braunschweig","1. FC Nuernberg",2,0,0,0
"111","1963/1964",14,1963-12-07,"19:00","1. FC Koeln","1. FC Kaiserslautern",5,1,1,0
"112","1963/1964",14,1963-12-21,"19:30","Hamburger SV","Borussia Dortmund",2,1,0,1
"113","1963/1964",15,1963-12-14,"14:15","SV Werder Bremen","TSV 1860 Muenchen",4,1,1,1
"114","1963/1964",15,1963-12-14,"14:15","Eintracht Frankfurt","Karlsruher SC",0,3,0,1
"115","1963/1964",15,1963-12-14,"14:15","1. FC Kaiserslautern","Meidericher SV",1,1,0,0
"116","1963/1964",15,1963-12-14,"14:15","1. FC Nuernberg","Hamburger SV",3,2,1,1
"117","1963/1964",15,1963-12-14,"16:30","FC Schalke 04","1. FC Saarbruecken",4,1,0,0
"118","1963/1964",15,1963-12-14,"16:45","VfB Stuttgart","1. FC Koeln",0,1,0,0
"119","1963/1964",15,1963-12-14,"17:00","Hertha BSC Berlin","Preussen Muenster",2,0,1,0
"120","1963/1964",15,1963-12-14,"20:00","Borussia Dortmund","Eintracht Braunschweig",3,0,1,0
"121","1963/1964",16,1964-01-11,"14:30","Borussia Dortmund","SV Werder Bremen",4,3,4,0
"122","1963/1964",16,1964-01-11,"14:30","Meidericher SV","Karlsruher SC",2,0,2,0
"123","1963/1964",16,1964-01-11,"14:30","Hamburger SV","Preussen Muenster",5,0,2,0
"124","1963/1964",16,1964-01-11,"14:30","1. FC Kaiserslautern","Eintracht Frankfurt",1,1,1,1
"125","1963/1964",16,1964-01-11,"14:30","1. FC Koeln","1. FC Saarbruecken",1,3,1,3
"126","1963/1964",16,1964-01-11,"14:30","1. FC Nuernberg","Hertha BSC Berlin",2,3,2,2
"127","1963/1964",16,1964-01-11,"17:00","Eintracht Braunschweig","TSV 1860 Muenchen",0,1,0,1
"128","1963/1964",16,1964-02-08,"15:30","VfB Stuttgart","FC Schalke 04",2,0,1,0
"129","1963/1964",17,1964-01-18,"14:30","Hertha BSC Berlin","VfB Stuttgart",0,2,0,0
"130","1963/1964",17,1964-01-18,"14:30","Karlsruher SC","1. FC Koeln",2,2,0,1
"131","1963/1964",17,1964-01-18,"14:30","TSV 1860 Muenchen","Borussia Dortmund",6,1,4,1
"132","1963/1964",17,1964-01-18,"14:30","Preussen Muenster","Eintracht Braunschweig",0,2,0,0
"133","1963/1964",17,1964-01-18,"14:30","FC Schalke 04","1. FC Kaiserslautern",4,0,2,0
"134","1963/1964",17,1964-01-18,"17:00","SV Werder Bremen","1. FC Nuernberg",2,1,1,1
"135","1963/1964",17,1964-02-08,"15:30","Eintracht Frankfurt","Meidericher SV",2,2,1,1
"136","1963/1964",17,1964-02-08,"15:30","1. FC Saarbruecken","Hamburger SV",1,1,0,0
"137","1963/1964",18,1964-01-25,"14:30","Borussia Dortmund","FC Schalke 04",3,0,0,0
"138","1963/1964",18,1964-01-25,"14:30","Meidericher SV","Preussen Muenster",0,0,0,0
"139","1963/1964",18,1964-01-25,"14:30","Hamburger SV","Karlsruher SC",1,1,0,1
"140","1963/1964",18,1964-01-25,"14:30","1. FC Koeln","TSV 1860 Muenchen",2,2,1,1
"141","1963/1964",18,1964-01-25,"14:30","1. FC Nuernberg","Eintracht Frankfurt",1,0,1,0
"142","1963/1964",18,1964-02-08,"15:30","1. FC Kaiserslautern","Hertha BSC Berlin",3,0,1,0
"143","1963/1964",18,1964-03-26,"19:30","Eintracht Braunschweig","1. FC Saarbruecken",3,1,1,1
"144","1963/1964",18,1964-03-30,"15:00","VfB Stuttgart","SV Werder Bremen",2,0,1,0
"145","1963/1964",19,1964-02-01,"15:30","SV Werder Bremen","1. FC Kaiserslautern",2,0,1,0
"146","1963/1964",19,1964-02-01,"15:30","Karlsruher SC","Eintracht Braunschweig",3,1,1,0
"147","1963/1964",19,1964-02-01,"15:30","FC Schalke 04","1. FC Koeln",2,3,0,2
"148","1963/1964",19,1964-02-08,"15:30","Preussen Muenster","1. FC Nuernberg",0,1,0,0
"149","1963/1964",19,1964-03-26,"20:15","TSV 1860 Muenchen","VfB Stuttgart",1,1,1,0
"150","1963/1964",19,1964-03-27,"16:30","Hertha BSC Berlin","Meidericher SV",5,2,3,1
"151","1963/1964",19,1964-03-30,"14:30","1. FC Saarbruecken","Borussia Dortmund",2,1,0,0
"152","1963/1964",19,1964-03-30,"18:00","Eintracht Frankfurt","Hamburger SV",2,2,1,1
"153","1963/1964",20,1964-02-15,"15:30","Eintracht Braunschweig","Eintracht Frankfurt",0,3,0,2
"154","1963/1964",20,1964-02-15,"15:30","Borussia Dortmund","Karlsruher SC",3,2,2,1
"155","1963/1964",20,1964-02-15,"15:30","Meidericher SV","SV Werder Bremen",1,0,0,0
"156","1963/1964",20,1964-02-15,"15:30","Hamburger SV","FC Schalke 04",3,1,0,0
"157","1963/1964",20,1964-02-15,"15:30","1. FC Kaiserslautern","TSV 1860 Muenchen",2,1,1,0
"158","1963/1964",20,1964-02-15,"15:30","1. FC Koeln","Hertha BSC Berlin",3,1,2,0
"159","1963/1964",20,1964-02-15,"15:30","1. FC Nuernberg","1. FC Saarbruecken",2,0,1,0
"160","1963/1964",20,1964-02-15,"15:30","VfB Stuttgart","Preussen Muenster",0,3,0,1
"161","1963/1964",21,1964-02-22,"15:30","Hertha BSC Berlin","Hamburger SV",1,2,0,1
"162","1963/1964",21,1964-02-22,"15:30","SV Werder Bremen","1. FC Koeln",1,1,1,0
"163","1963/1964",21,1964-02-22,"15:30","Eintracht Frankfurt","Borussia Dortmund",2,1,1,0
"164","1963/1964",21,1964-02-22,"15:30","Karlsruher SC","1. FC Nuernberg",1,3,1,2
"165","1963/1964",21,1964-02-22,"15:30","Preussen Muenster","1. FC Kaiserslautern",1,0,0,0
"166","1963/1964",21,1964-02-22,"15:30","1. FC Saarbruecken","VfB Stuttgart",0,1,0,0
"167","1963/1964",21,1964-02-22,"15:30","FC Schalke 04","Eintracht Braunschweig",2,0,1,0
"168","1963/1964",21,1964-03-31,"20:15","TSV 1860 Muenchen","Meidericher SV",0,0,0,0
"169","1963/1964",22,1964-02-29,"15:30","Borussia Dortmund","Preussen Muenster",0,0,0,0
"170","1963/1964",22,1964-02-29,"15:30","Meidericher SV","FC Schalke 04",3,0,2,0
"171","1963/1964",22,1964-02-29,"15:30","1. FC Kaiserslautern","1. FC Saarbruecken",2,4,1,2
"172","1963/1964",22,1964-02-29,"15:30","1. FC Koeln","Eintracht Frankfurt",1,1,1,0
"173","1963/1964",22,1964-02-29,"15:30","1. FC Nuernberg","TSV 1860 Muenchen",2,2,1,1
"174","1963/1964",22,1964-02-29,"15:30","VfB Stuttgart","Karlsruher SC",4,1,3,0
"175","1963/1964",22,1964-03-26,"19:30","Hamburger SV","SV Werder Bremen",1,1,1,1
"176","1963/1964",22,1964-03-30,"19:30","Eintracht Braunschweig","Hertha BSC Berlin",1,1,1,1
"177","1963/1964",23,1964-03-07,"16:30","Hertha BSC Berlin","Borussia Dortmund",0,0,0,0
"178","1963/1964",23,1964-03-07,"16:30","SV Werder Bremen","Eintracht Braunschweig",2,3,0,2
"179","1963/1964",23,1964-03-07,"16:30","Eintracht Frankfurt","VfB Stuttgart",3,2,2,1
