"","ascore","arisk"
"1",40,0
"2",40,0
"3",13,1
"4",24,1
"5",40,0
"6",37,0
"7",40,0
"8",27,0
"9",36,0
"10",40,0
"11",40,0
"12",40,0
"13",40,0
"14",40,0
"15",37,0
"16",37,0
"17",40,0
"18",36,0
"19",39,0
"20",37,0
"21",40,0
"22",40,0
"23",40,0
"24",40,0
"25",40,0
"26",40,0
"27",40,0
"28",40,0
"29",40,0
"30",34,0
"31",40,0
"32",40,0
"33",40,0
"34",40,0
"35",22,1
"36",40,0
"37",40,0
"38",40,0
"39",40,0
"40",35,0
"41",40,0
"42",40,0
"43",40,0
"44",40,0
"45",10,0
"46",40,0
"47",40,0
"48",40,0
"49",39,0
"50",40,0
"51",32,0
"52",40,0
"53",20,1
"54",40,0
"55",40,0
"56",28,0
"57",38,0
"58",38,0
"59",40,0
"60",40,0
"61",40,0
"62",40,0
"63",40,0
"64",40,0
"65",40,0
"66",35,0
"67",32,0
"68",39,1
"69",40,0
"70",40,0
"71",31,0
"72",39,0
"73",40,0
"74",40,0
"75",40,0
"76",37,0
"77",40,0
"78",40,0
"79",40,0
"80",40,0
"81",34,0
"82",33,0
"83",37,0
"84",36,0
"85",28,0
"86",40,0
"87",31,0
"88",40,0
"89",40,0
"90",39,0
"91",40,0
"92",37,0
"93",36,0
"94",34,0
"95",21,1
"96",13,1
"97",40,0
"98",40,0
"99",40,0
"100",31,1
"101",40,0
"102",26,0
"103",36,0
"104",40,0
"105",40,0
"106",40,0
"107",34,0
"108",40,0
"109",29,0
"110",40,0
"111",22,1
"112",12,1
"113",40,0
"114",12,1
"115",40,0
"116",40,0
"117",40,0
"118",40,0
"119",40,0
"120",40,0
"121",38,0
"122",37,0
"123",40,0
"124",28,0
"125",35,0
"126",40,0
"127",16,1
"128",40,0
"129",37,0
"130",40,0
"131",40,0
"132",40,0
"133",40,0
"134",36,0
"135",40,0
"136",35,1
"137",40,0
"138",10,0
"139",11,1
"140",40,0
"141",40,0
"142",40,0
"143",40,0
"144",40,0
"145",40,0
"146",24,0
"147",40,0
"148",18,0
"149",31,0
"150",37,0
"151",32,1
"152",29,0
"153",39,0
"154",40,0
"155",40,0
"156",34,0
"157",40,0
"158",40,0
"159",40,0
"160",30,0
"161",26,1
"162",40,0
"163",40,0
"164",34,0
"165",40,0
"166",40,0
"167",40,0
"168",21,1
"169",30,1
"170",10,1
"171",40,0
"172",40,0
"173",35,0
"174",36,0
"175",40,0
"176",40,0
"177",40,0
"178",40,0
"179",24,0
"180",40,0
"181",40,0
"182",40,0
"183",40,0
"184",23,1
"185",40,0
"186",14,0
"187",40,0
"188",40,0
"189",40,0
"190",40,0
"191",40,0
"192",40,0
"193",40,0
"194",40,0
"195",40,0
"196",21,1
"197",36,0
"198",40,0
"199",36,0
"200",40,0
"201",40,0
"202",36,0
"203",39,0
"204",36,0
"205",22,1
"206",40,0
"207",34,0
"208",28,0
"209",40,0
"210",40,0
"211",40,0
"212",10,1
"213",39,0
"214",39,0
"215",40,0
"216",40,0
"217",38,0
"218",40,0
"219",40,0
"220",40,0
"221",38,0
"222",39,0
"223",40,0
"224",40,0
"225",38,0
"226",34,0
"227",40,0
"228",40,0
"229",40,0
"230",33,0
"231",33,0
"232",40,0
"233",40,0
"234",40,0
"235",40,0
"236",39,0
"237",40,0
"238",40,0
"239",24,1
"240",39,0
"241",40,0
"242",16,1
"243",40,0
"244",40,0
"245",40,0
"246",40,0
"247",40,0
"248",39,0
"249",40,0
"250",39,0
"251",40,0
"252",29,0
"253",10,1
"254",21,1
"255",26,0
"256",40,0
"257",33,0
"258",40,0
"259",21,0
"260",34,1
"261",37,0
"262",39,0
"263",40,0
"264",40,0
"265",40,0
"266",31,0
"267",40,0
"268",40,0
"269",37,0
"270",35,0
"271",40,0
"272",40,0
"273",40,0
"274",40,0
"275",40,0
"276",25,1
"277",40,0
"278",15,1
"279",22,1
"280",40,0
"281",40,0
"282",40,0
"283",39,0
"284",40,0
"285",40,0
"286",34,0
"287",40,0
