"","N","E","O","A","C"
"N1",0.66,-0.04,-0.04,0.01,-0.14
"N2",0.53,-0.18,0.06,-0.39,-0.16
"N3",0.6,-0.17,0.15,0.01,-0.4
"N4",0.58,-0.11,0.13,0.13,-0.19
"N5",0.58,0.2,-0.03,-0.34,-0.36
"N6",0.57,0.05,-0.26,0.03,-0.46
"E1",-0.24,0.61,0.03,0.39,0.21
"E2",-0.14,0.59,-0.01,0.39,-0.07
"E3",-0.51,0.22,0.27,-0.26,0.14
"E4",-0.15,0.35,0.05,0.01,0.42
"E5",-0.02,0.35,0.52,-0.04,-0.3
"E6",0.04,0.65,0.3,0.25,0.09
"O1",0.27,0.25,0.28,-0.54,-0.07
"O2",0.01,0.4,0.53,0.1,0.16
"O3",0.47,0.32,0.22,-0.08,0.21
"O4",-0.03,0.15,0.38,0.09,0.14
"O5",-0.22,-0.07,0.73,0.04,0.21
"O6",-0.18,0,0.59,0.18,-0.02
"A1",-0.46,0.22,0.07,0.46,-0.02
"A2",-0.13,-0.04,-0.1,0.61,0.38
"A3",-0.34,0.28,0.25,0.26,0.39
"A4",-0.12,0.2,-0.27,0.61,0.31
"A5",0.1,-0.32,0.12,0.61,0.09
"A6",0.1,0.24,0.25,0.54,0.42
"C1",-0.29,0.22,0.1,-0.09,0.57
"C2",-0.12,0.03,0.1,0.27,0.72
"C3",-0.25,0.13,0.06,0.44,0.65
"C4",-0.06,0.14,0.1,0.31,0.72
"C5",-0.29,0.1,-0.04,0.3,0.67
"C6",-0.29,-0.02,0.15,0.34,0.63
