"","yield","endpoint","Sample","API","vapor","ASTM"
"1",6.9,235,"E",38.4,6.1,220
"2",14.4,307,"F",40.3,4.8,231
"3",7.4,212,"H",40,6.1,217
"4",8.5,365,"A",31.8,0.2,316
"5",8,218,"G",40.8,3.5,210
"6",2.8,235,"I",41.3,1.8,267
"7",5,285,"D",38.1,1.2,274
"8",12.2,205,"J",50.8,8.6,190
"9",10,267,"C",32.2,5.2,236
"10",15.2,300,"E",38.4,6.1,220
"11",26.8,367,"F",40.3,4.8,231
"12",14,351,"B",32.2,2.4,284
"13",14.7,379,"A",31.8,0.2,316
"14",6.4,275,"I",41.3,1.8,267
"15",17.6,365,"D",38.1,1.2,274
"16",22.3,275,"J",50.8,8.6,190
"17",24.8,360,"C",32.2,5.2,236
"18",26,365,"E",38.4,6.1,220
"19",34.9,395,"F",40.3,4.8,231
"20",18.2,272,"H",40,6.1,217
"21",23.2,424,"B",32.2,2.4,284
"22",18,428,"A",31.8,0.2,316
"23",13.1,273,"G",40.8,3.5,210
"24",16.1,358,"I",41.3,1.8,267
"25",32.1,444,"D",38.1,1.2,274
"26",34.7,345,"J",50.8,8.6,190
"27",31.7,402,"C",32.2,5.2,236
"28",33.6,410,"E",38.4,6.1,220
"29",30.4,340,"H",40,6.1,217
"30",26.6,347,"G",40.8,3.5,210
"31",27.8,416,"I",41.3,1.8,267
"32",45.7,407,"J",50.8,8.6,190
