"","label","x","y","distance","Seen"
"1",1,0.0100000000000051,393,75,0
"2",1,8,1129,67,0
"3",1,23,28,52,1
"4",1,27,30,48,0
"5",1,28,917,47,1
"6",1,28,1166,47,1
"7",1,28,126,47,1
"8",1,32,1109,43,1
"9",1,32,1173,43,0
"10",1,33,4,42,1
"11",1,33,946,42,1
"12",1,35,582,40,1
"13",1,35,595,40,1
"14",1,35,449,40,1
"15",1,35,1055,40,1
"16",1,38,1070,37,1
"17",1,40,598,35,1
"18",1,46,552,29,1
"19",1,54,69,21,1
"20",1,54,997,21,1
"21",1,54,236,21,1
"22",1,56,895,19,1
"23",1,56,260,19,1
"24",1,58,492,17,1
"25",1,61,594,14,1
"26",1,62.5,426,12.5,1
"27",1,62.5,72,12.5,1
"28",1,63,369,12,1
"29",1,64,693,11,1
"30",1,65,716,10,1
"31",1,66,997,9,1
"32",1,67,131,8,1
"33",1,67,453,8,1
"34",1,67,719,8,1
"35",1,67,1048,8,1
"36",1,67,428,8,1
"37",1,67,830,8,1
"38",1,68,343,7,1
"39",1,72,1104,3,1
"40",1,78,218,3,1
"41",1,80,47,5,1
"42",1,80,708,5,1
"43",1,81,455,6,1
"44",1,81,269,6,1
"45",1,81,687,6,1
"46",1,81,1112,6,1
"47",1,82,778,7,1
"48",1,82,532,7,1
"49",1,82,378,7,1
"50",1,82,486,7,1
"51",1,82,675,7,1
"52",1,82,805,7,1
"53",1,82,1047,7,1
"54",1,82,812,7,1
"55",1,82.5,440,7.5,1
"56",1,83,91,8,1
"57",1,83,558,8,1
"58",1,84,822,9,1
"59",1,84,875,9,1
"60",1,84,1109,9,1
"61",1,85,1038,10,1
"62",1,85,67,10,1
"63",1,85,847,10,1
"64",1,85,512,10,1
"65",1,87,896,12,1
"66",1,87,1161,12,1
"67",1,89,177,14,1
"68",1,89,953,14,1
"69",1,90,830,15,1
"70",1,91,883,16,1
"71",1,95,557,20,1
"72",1,97,383,22,1
"73",1,97,113,22,1
"74",1,99,130,24,1
"75",1,103,741,28,0
"76",1,104,319,29,1
"77",1,105,625,30,0
"78",1,105,533,30,0
"79",1,105,122,30,1
"80",1,105,599,30,1
"81",1,106,287,31,1
"82",1,106,160,31,1
"83",1,110,1160,35,1
"84",1,113,109,38,0
"85",1,113,966,38,1
"86",1,113,660,38,1
"87",1,114,58,39,1
"88",1,116,571,41,1
"89",1,118,45,43,1
"90",1,118,974,43,1
"91",1,119,299,44,1
"92",1,119,496,44,1
"93",1,125,594,50,0
"94",1,143,760,68,1
"95",1,144,854,69,0
"96",1,144,670,69,1
