"","id","surface","top","bottom","bound_distinct","bound_topography","name","texture","prop","structure_grade","structure_size","structure_type","stickiness","plasticity","field_ph","hue","value","chroma","r","g","b","soil_color"
"1","hon-1","holocene",0,12,"A","S","A","L",16,1,"F","GR","SS","PO",6.5,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"2","hon-1","holocene",12,16,"A","S","2A1","sil",17,1,"F","GR","SS","PO",6.6,"10YR",3,2.5,NA,NA,NA,NA
"3","hon-1","holocene",16,25,"C","S","2A2","L",16,1,"F","GR","SS","SP",6.5,"10YR",3,3,0.352279682185171,0.268859001231035,0.175746323896156,"#5A452DFF"
"4","hon-1","holocene",25,49,"C","S","2AC","L",16,0,NA,"MA","SS","SP",6.6,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"5","hon-1","holocene",49,85,"C","S","2C","L",13,NA,NA,"MA","SS","PO",6.8,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"6","hon-1","holocene",85,95,"A","S","3C1","sl",11,NA,NA,"MA","SO","PO",6.7,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"7","hon-1","holocene",95,122,NA,NA,"3C2","sl",12,NA,NA,"MA","SO","PO",7,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"8","hon-1","holocene",122,140,NA,NA,"4C1",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","hon-1","holocene",140,170,NA,NA,"4C2",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","hon-10","lower modesto",0,22,"C","W","Ap","sgsl",11,1,"CO","SBK","SS","PO",6.8,"7.5YR",3,2,0.343325206551174,0.269421101599448,0.216921393555543,"#584537FF"
"11","hon-10","lower modesto",22,40,"G","S","BA","sgsl",12,NA,NA,"MA","SO","PO",6.8,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"12","hon-10","lower modesto",40,86,"G","S","Bt1","sgsl",12,2,NA,"MA","SS","SP",6.8,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"13","hon-10","lower modesto",86,132,"C","S","Bt2","sgsl",14,2,NA,"MA","SS","SP",7.2,"5-7.5YR",3,4,NA,NA,NA,NA
"14","hon-10","lower modesto",132,150,"C","S","BC","sgsl",11,2,NA,"MA","SS","PO",7.2,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"15","hon-10","lower modesto",150,205,"A","W","C","sgsl",8,NA,NA,"MA","SO","PO",7.2,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"16","hon-10","lower modesto",205,225,NA,NA,"2C","fsl",8,NA,NA,"MA","SO","PO",7.2,"2.5Y",4,3,0.442839885010109,0.371770110740676,0.248378803217979,"#715F3FFF"
"17","hon-11","lower modesto",0,18,"A","W","Ap","sgsl",14,1,"M","SBK","SS","PO",6.6,"7.5YR",3,2,0.343325206551174,0.269421101599448,0.216921393555543,"#584537FF"
"18","hon-11","lower modesto",18,45,"G","S","BA","sgsl",12,NA,NA,"MA","SS","SP",7,"7.5YR",3,3,0.36449845624349,0.262898248737825,0.185597130525939,"#5D432FFF"
"19","hon-11","lower modesto",45,94,"G","S","Bt1","sgsl",13,2,NA,"MA","SS","SP",7,"7.5YR",4,3,0.470622002405903,0.359087515602393,0.270828628269383,"#785C45FF"
"20","hon-11","lower modesto",94,125,"C","W","Bt2","sgsl",15,2,NA,"MA","MS","MP",7.1,"7.5YR",3,4,0.382702209935083,0.256739122625714,0.150693611746242,"#624126FF"
"21","hon-11","lower modesto",125,145,"G","W","BC","sgsl",11,2,NA,"MA","SS","PO",7.2,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"22","hon-11","lower modesto",145,179,"A","W","C","sgsl",10,NA,NA,"MA","SO","PO",7.3,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"23","hon-11","lower modesto",179,220,NA,NA,"2C","sil",8,NA,NA,"MA","SS","PO",7.3,"2.5Y",5,4,0.562037163004396,0.470285741958827,0.297278351249879,"#8F784CFF"
"24","hon-13","upper modesto",0,24,"A","S","Ap","sil",17,NA,NA,"CDY","SS","PO",5.5,"7.5YR",6,6,0.74407174294877,0.544468661667761,0.347545846367001,"#BE8B59FF"
"25","hon-13","upper modesto",24,33,"C","S","BA","sil-l",20,NA,NA,"MA","SS","SP",6.3,"5YR",4,4,0.502631410365579,0.346240136796946,0.249955583871559,"#805840FF"
"26","hon-13","upper modesto",33,50,"C","S","BAt1","sil-l",23,2,NA,"MA","SS","SP",6.5,"5YR",4,4,0.502631410365579,0.346240136796946,0.249955583871559,"#805840FF"
"27","hon-13","upper modesto",50,62,"C","S","BAt2","l+",26,2,"M","PR","MS","MP",6.8,"5YR",4,5,0.5227043460644,0.33833864903177,0.219525290825558,"#855638FF"
"28","hon-13","upper modesto",62,86,"C","S","Bt1","c-",43,3,"M","PR","VS","VP",6.8,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"29","hon-13","upper modesto",86,102,"C","S","Bt2","SIC",51,3,NA,"MA","VS","VP",6.6,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"30","hon-13","upper modesto",102,123,"C","S","Bt3","SIC-",42,3,"M","ABK","MS","VP",7.1,"5YR",4,5,0.5227043460644,0.33833864903177,0.219525290825558,"#855638FF"
"31","hon-13","upper modesto",123,157,"G","W","BCt","sicl",34,3,"M","ABK","SS","MP",7.1,"7.5YR",4,6,0.525205461861359,0.340436997876344,0.157849232456166,"#865728FF"
"32","hon-13","upper modesto",157,208,NA,NA,"2BCt1",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","hon-13","upper modesto",208,245,"G","W","2BCt2","cl",24,NA,NA,"MA","SS","SP",7.1,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"34","hon-13","upper modesto",245,266,"D","W","2BCt3","scl-",21,NA,NA,"MA","SS","SP",6.9,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"35","hon-13","upper modesto",266,301,NA,NA,"2CB","sl",17,NA,NA,"MA","SO","SP",6.7,"5YR",4,5,0.5227043460644,0.33833864903177,0.219525290825558,"#855638FF"
"36","hon-14","upper modesto",0,28,"A","S","Ap","sil",16,NA,NA,"MA","SS","PO",5.6,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"37","hon-14","upper modesto",28,39,"C","S","BA","sil",22,NA,NA,"MA","SS","SP",6.1,"7.5YR",4,4,0.492390943618931,0.352334011287413,0.231332849659204,"#7E5A3BFF"
"38","hon-14","upper modesto",39,59,"C","S","BAt1","sil",23,2,"M","SBK","SS","MP",6.5,"5YR",4,5,0.5227043460644,0.33833864903177,0.219525290825558,"#855638FF"
"39","hon-14","upper modesto",59,76,"C","S","BAt2","cl",30,2,"F","PR","MS","MP",6.7,"5YR",4,5,0.5227043460644,0.33833864903177,0.219525290825558,"#855638FF"
"40","hon-14","upper modesto",76,111,"C","W","Bt1","SIC",45,3,"M","PR","VS","VP",6.7,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"41","hon-14","upper modesto",111,126,"C","W","Bt2","cl",37,3,"M","ABK","MS","VP",7,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"42","hon-14","upper modesto",126,150,"G","W","2BCt1","cl",34,3,"M","ABK","MS","MP",7.1,"7.5YR",5,6,0.637312000683057,0.440849295810215,0.248469983097938,"#A3703FFF"
"43","hon-14","upper modesto",150,200,"G","W","2BCt2","cl-sicl",30,2,NA,"MA","SS","SP",6.9,"7.5YR",5,6,0.637312000683057,0.440849295810215,0.248469983097938,"#A3703FFF"
"44","hon-14","upper modesto",200,260,"D","W","2BCt3","cl-",27,NA,NA,"MA","SS","SP",6.8,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"45","hon-14","upper modesto",260,320,NA,NA,"2CB","scl-",23,NA,NA,"MA","SO","SP",6.8,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"46","hon-17","lower riverbank",0,18,"C","W","Ap1","l",18,NA,NA,"CDY","SS","SP",5.7,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"47","hon-17","lower riverbank",18,24,"A","W","Ap2","l",18,NA,NA,"MA","SS","SP",5.7,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"48","hon-17","lower riverbank",24,76,"G","W","BA","cl-",27,2,"M","MA","MS","SP",6.1,"2.5YR",3,4,0.404700241503793,0.243020242581879,0.183679862797982,"#673E2FFF"
"49","hon-17","lower riverbank",76,100,"G","W","Bt1","cl",30,2,NA,"MA","MS","SP",6.4,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"50","hon-17","lower riverbank",100,160,"C","W","Bt2","cl",33,2,"F","PR","MS","MP",6.6,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"51","hon-17","lower riverbank",160,201,"G","W","2BCt","scl",25,NA,NA,"MA","MS","MP",6.8,"2.5YR",5,6,0.664270315580355,0.42321548482365,0.310032717718429,"#A96C4FFF"
"52","hon-17","lower riverbank",201,208,"C","S","3BCt","cl-",27,NA,NA,"MA","MS","SP",6.9,"5YR",4,5,0.5227043460644,0.33833864903177,0.219525290825558,"#855638FF"
"53","hon-17","lower riverbank",208,295,NA,NA,"4BCt","vgscl",21,NA,NA,"MA","MS","SP",6.8,"5YR",5,6,0.651690566604579,0.432094659694293,0.276238863034852,"#A66E46FF"
"54","hon-18","lower riverbank",0,19,"C","W","Ap1","l",17,2,"M","SBK","SS","SP",5.5,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"55","hon-18","lower riverbank",19,30,"A","W","Ap2","l",17,NA,NA,"MA",NA,NA,5.5,"5YR",3,4,0.394032442108504,0.249997746269133,0.166826692137077,"#64402BFF"
"56","hon-18","lower riverbank",30,90,"G","W","BA","L",26,2,"VF",NA,"MS","SP",6.1,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"57","hon-18","lower riverbank",90,113,"C","W","Bt1","cl",29,2,NA,"MA","MS","SP",6.6,"2.5YR",3,5,0.426817438457115,0.231925232904951,0.157878333234693,"#6D3B28FF"
"58","hon-18","lower riverbank",113,170,"G","W","Bt2","sicl",34,3,"M","PR","VS","MP",6.8,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"59","hon-18","lower riverbank",170,190,"C","W","2BCt","CL",28,NA,NA,"MA","MS","MP",6.9,"2.5YR",3,6,0.446891547602388,0.220616206211562,0.127941743009331,"#723821FF"
"60","hon-18","lower riverbank",190,240,"C","S","3BCt","CL",29,NA,NA,"MA","MS","MP",6.8,"5YR",4,6,0.540971684161612,0.330593022989956,0.185293266355343,"#8A542FFF"
"61","hon-18","lower riverbank",240,300,NA,NA,"4BCt","GRVSCL",21,NA,NA,"MA","SS","PO",6.8,"2.5YR",4,6,0.555086801669672,0.320543267324713,0.216246648044736,"#8E5237FF"
