"","twotheta","nontronite","montmorillonite","clinochlore","antigorite","chamosite","hematite","goethite"
"1",5,0,0,0,0,0,0,0
"2",5.01,16.52634,0.031189,0.032795001,0.061501,16.079,3.167,8.875381
"3",5.02,18.57741,10.62237,13.58669,17.10952,0.102,0.04,7.478523
"4",5.03,9.109009,27.01286,12.43422,13.98228,15.808,6.656,3.578522
"5",5.04,17.82968,5.412758,21.24155,17.76131,21.422,30.022,8.065193
"6",5.05,8.332291,24.74887,7.268993,25.57462,39.394,21.459,28.38876
"7",5.06,0.351349,0.635902,30.39861,0.439518,23.258,14.916,28.63713
"8",5.07,11.09709,39.27137,1.324829,19.42342,12.066,0.561,24.49599
"9",5.08,17.47685,34.81652,14.95633,12.48568,3.835,24.646,11.77851
"10",5.09,20.74042,25.69072,24.30135,18.36219,15.554,12.941,22.12024
"11",5.1,6.972183,42.63378,23.70118,11.23789,21.091,14.785,2.490128
"12",5.11,2.192719,19.62654,15.1485,25.18758,22.87,33.021,32.93912
"13",5.12,0.436859,21.60503,16.6378,6.423836,23.617,23.814,23.40355
"14",5.13,20.60335,30.67159,21.1645,28.28292,27.344,21.551,2.900047
"15",5.14,25.78317,26.70272,1.724712,10.20892,20.06,2.303,19.42502
"16",5.15,4.859985,29.85408,14.31505,4.159695,23.769,37.067,18.98892
"17",5.16,5.979004,3.031273,17.93248,21.04887,19.476,7.838,26.58421
"18",5.17,55.13727,35.17454,15.57424,23.195,16.184,9.613,25.19283
"19",5.18,12.33189,20.29994,19.23788,28.08758,2.106,0.549,25.81491
"20",5.19,5.560303,20.37292,15.92131,35.98832,12.607,13.223,28.44986
"21",5.2,7.82019,21.29779,12.6227,15.89634,27.325,9.047,8.095985
"22",5.21,5.109451,18.37608,10.34063,30.8113,18.539,1.09,40.752
"23",5.22,40.42636,16.45905,20.07512,4.732796,14.157,31.758,14.41702
"24",5.23,16.76935,16.41069,2.825539,0.339165,22.79,25.593,22.10524
"25",5.24,0.862915,19.36674,21.59042,6.594654,24.437,4.43,28.79985
"26",5.25,7.528336,29.62131,16.36874,12.57593,16.098,17.341,22.51308
"27",5.26,7.057968,17.60451,8.159809,7.520638,34.771,14.232,30.24223
"28",5.27,43.37714,37.47175,15.96265,4.539246,9.457,27.106,15.97478
"29",5.28,1.167191,33.32584,12.77647,5.520599,25.153,26.99,8.710777
"30",5.29,6.308212,7.169189,13.6003,11.50204,24.861,28.858,4.449974
"31",5.3,38.80272,15.00391,14.43332,3.483765,28.579,22.712,20.61118
"32",5.31,15.31531,25.09291,20.2747,9.472733,20.307,18.554,9.343033
"33",5.32,4.844604,30.32709,12.12358,23.45628,25.044,9.414,8.078484
"34",5.33,17.38934,14.00597,2.979259,0.559769,27.789,10.235,13.81711
