"","id","top","bottom","clay","cec","ph","tc","hue","value","chroma","mid","ln_tc","L","A","B","name","soil_color"
"1","1",0,8,17.78,27.85,5.62,5.977,"10YR",5,3,4,1.78791876984212,40.8691340301575,7.80770113116269,10.6876384195112,"18 / 28","#8F775BFF"
"2","1",8,23,19.41,14.19,5.41,1.314,"10YR",6,4,15.5,0.273075920062419,46.8456523906255,10.5943457395055,17.3527510007487,"19 / 14","#AE9069FF"
"3","1",23,42,21.27,14.48,5.41,1.193,"10YR",6,4,32.5,0.176471143115779,46.4999247666294,10.5323277977261,16.9166489837247,"21 / 14","#AE9069FF"
"4","1",42,52,22.06,12.62,5.62,0.552,"7.5YR",6,6,47,-0.594207232705042,48.0793480928878,10.7681563516865,17.5683657716108,"22 / 13","#BE8B59FF"
"5","1",52,80,20.03,11.68,5.85,0.321,"7.5YR",6,5,66,-1.13631415585212,49.6485766515908,9.79019776829193,17.0772783974297,"20 / 12","#B88C64FF"
"6","2",0,5,17.7,21.79,5.58,3.963,"5YR",4,4,2.5,1.3770013142083,38.435323511733,11.6640252289063,13.5547737217844,"18 / 22","#805840FF"
"7","2",5,14,20.29,12.91,5.75,0.923,"5YR",5,6,9.5,-0.0801260444792849,40.8948630353496,14.9425852207331,17.462493064269,"20 / 13","#A66E46FF"
"8","2",14,31,22.33,14.63,5.9,0.686,"5YR",4,6,22.5,-0.376877651256252,40.0099963787379,14.6244681120852,16.1786717445815,"22 / 15","#8A542FFF"
"9","2",31,49,24.95,14.5,6,0.573,"5YR",4,6,40,-0.556869562267398,39.5011972665995,14.3805497878169,15.6516047197855,"25 / 14","#8A542FFF"
"10","2",49,59,33.09,21.72,5.79,0.38,"2.5YR",4,6,54,-0.967584026261706,39.9867674176562,13.6569632115022,14.8482196974075,"33 / 22","#8E5237FF"
"11","2",59,79,55.63,41.89,5.92,0.285,"10YR",5,4,69,-1.25526609871349,47.6391762114417,10.1143302192369,15.0008581925012,"56 / 42","#947650FF"
"12","2",79,85,46.05,33.68,5.83,0.306,"2.5YR",3,6,82,-1.18417017702976,43.6829606065772,12.2187707625271,15.3150148879023,"46 / 34","#723821FF"
"13","3",0,5,15.11,16.05,5.9,2.776,"7.5YR",5,4,2.5,1.02101104264456,42.0864843117165,12.1679463157668,16.2635436868686,"15 / 16","#987455FF"
"14","3",5,18,17.97,12.87,6.11,0.655,"5YR",5,6,11.5,-0.423120043346885,43.4056071524436,15.076233415918,18.7192681774928,"18 / 13","#A66E46FF"
"15","3",18,36,20.86,13.77,6.18,0.613,"5YR",5,6,27,-0.489390343045926,42.9868988472597,15.2250738165066,18.3201904672983,"21 / 14","#A66E46FF"
"16","3",36,68,28.35,16.21,6.15,0.37,"5YR",4,6,52,-0.994252273343867,43.6434964377373,15.0075444860919,17.5110205032137,"28 / 16","#8A542FFF"
"17","3",68,81,45.91,40.43,6.08,0.336,"10YR",5,4,74.5,-1.09064411901893,50.3993271814536,9.78676357329417,17.3719349862201,"46 / 40","#947650FF"
"18","3",81,90,33.82,39.39,5.98,0.287,"10YR",5,3,85.5,-1.24827306322252,52.1702375388675,9.66218353105375,17.7419646305872,"34 / 39","#8F775BFF"
"19","4",0,10,14.28,19.9,5.83,3.29,"7.5YR",5,6,5,1.19088756477728,40.8594796485052,12.683172256564,15.6432580488267,"14 / 20","#A3703FFF"
