"","group","id","top","bottom","bound_distinct","bound_topography","name","texture","prop","structure_grade","structure_size","structure_type","stickiness","plasticity","field_ph","hue","value","chroma"
"1",2,"P001",0,2,"A","S","A1","GRVLS",13,1,"F","PL",NA,NA,7.9,"7.5YR",3,2
"2",2,"P001",2,14,"G","S","A2","GRVLS",7,1,"M","SBK",NA,NA,7.7,"7.5YR",3,2
"3",2,"P001",14,49,"G","S","AB","GRVLS",9,1,"M","SBK",NA,NA,8,"10YR",3,3
"4",2,"P001",49,57,"C","S","BA","GRVLS",14,1,"CO","SBK",NA,NA,7.9,"10YR",3,2
"5",2,"P001",57,89,"C","S","Bt","GRVSCL",21,2,"CO","SBK",NA,NA,7.4,"7.5YR",4,2
"6",2,"P001",89,89,NA,NA,"Rt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2,"P002",0,5,"A","B","Oi","LS",1,3,"F","GR","SO","PO",NA,"7.5YR",2,2
"8",2,"P002",5,19,"G","S","A","GRVLS",3,1,"CO","SBK","SO","PO",NA,"7.5YR",4,3
"9",2,"P002",19,33,"G","S","C1","GRVLS",2,NA,NA,"MA","SO","PO",NA,"5YR",4,2
"10",2,"P002",33,59,NA,NA,"C2","GRXLS",4,NA,NA,"MA","SS","SP",NA,"5YR",4,2
"11",2,"P003",0,2,"C","W","Oa/A","SL",14,NA,NA,NA,NA,NA,7.5,"7.5YR",2,2
"12",2,"P003",2,13,"G","S","AB","SCL",18,1,"F","SBK",NA,NA,8,"7.5YR",2,3
"13",2,"P003",13,35,"G","S","BA","SCL",22,1,"M","SBK",NA,NA,7.9,"7.5YR",2,3
"14",2,"P003",35,53,"C","S","Bt1","GRVSCL",30,1,"CO","SBK",NA,NA,8,"5YR",3,2
"15",2,"P003",53,67,"G","S","Bt2","GRVC",50,NA,NA,"MA",NA,NA,8.1,"5YR",3,3
"16",2,"P004",0,2,"A","W","A1","SL",5,2,"M","GR","SO","PO",NA,"7.5YR",3,4
"17",2,"P004",2,13,"G","W","A2","GRVLS",6,2,"M","GR","SO","PO",NA,"7.5YR",3,3
"18",2,"P004",13,32,"G","W","A3","GRSL",6,1,"M","GR","SS","PO",NA,"7.5YR",4,2
"19",2,"P004",32,43,"A","W","Bt1","GRVSCL",25,1,"M","SBK","MS","MP",NA,"5YR",4,2
"20",2,"P004",43,62,NA,NA,"Bt2","C",57,NA,NA,"MA","VS","VP",NA,"5YR",3,4
