"","county","population","top","second","third"
"1","alabama,autauga",43671,"American","English","German"
"2","alabama,baldwin",140415,"American","English","German"
"3","alabama,barbour",29038,"American","English","Irish"
"4","alabama,bibb",20826,"American","English","Irish"
"5","alabama,blount",51024,"American","Irish","English"
"6","alabama,bullock",11714,"American","English","Irish"
"7","alabama,butler",21399,"American","English","Irish"
"8","alabama,calhoun",112249,"American","Irish","English"
"9","alabama,chambers",36583,"American","Irish","English"
"10","alabama,cherokee",23988,"American","Irish","English"
"11","alabama,chilton",39593,"American","English","Irish"
"12","alabama,choctaw",15922,"American","Irish","English"
"13","alabama,clarke",27867,"American","English","Irish"
"14","alabama,clay",14254,"American","English","Irish"
"15","alabama,cleburne",14123,"American","Irish","English"
"16","alabama,coffee",43615,"American","English","Irish"
"17","alabama,colbert",54984,"American","Irish","English"
"18","alabama,conecuh",14089,"American","English","Irish"
"19","alabama,coosa",12202,"American","Irish","English"
"20","alabama,covington",37631,"American","Irish","English"
"21","alabama,crenshaw",13665,"American","English","Irish"
"22","alabama,cullman",77483,"American","German","Irish"
"23","alabama,dale",49129,"American","German","Irish"
"24","alabama,dallas",46365,"American","English","Irish"
"25","alabama,de kalb",64452,"American","Irish","English"
"26","alabama,elmore",65874,"American","English","Irish"
"27","alabama,escambia",38440,"American","Irish","English"
"28","alabama,etowah",103459,"American","English","Irish"
"29","alabama,fayette",18495,"American","English","Irish"
"30","alabama,franklin",31223,"American","English","Irish"
"31","alabama,geneva",25764,"American","English","Irish"
"32","alabama,greene",9974,"American","Irish","English"
"33","alabama,hale",17185,"American","English","Irish"
"34","alabama,henry",16310,"American","English","Irish"
"35","alabama,houston",88787,"American","English","Irish"
"36","alabama,jackson",53926,"American","Irish","English"
"37","alabama,jefferson",662047,"American","English","Irish"
"38","alabama,lamar",15904,"American","Irish","English"
"39","alabama,lauderdale",87966,"American","English","Irish"
"40","alabama,lawrence",34803,"American","Irish","English"
"41","alabama,lee",115092,"American","English","Irish"
"42","alabama,limestone",65676,"American","Irish","English"
"43","alabama,lowndes",13473,"American","English","Irish"
"44","alabama,macon",24105,"American","Subsaharan African","English"
"45","alabama,madison",276700,"American","English","German"
"46","alabama,marengo",22539,"American","English","Irish"
"47","alabama,marion",31214,"American","Irish","English"
"48","alabama,marshall",82231,"American","Irish","English"
"49","alabama,mobile",399843,"American","English","Irish"
"50","alabama,monroe",24324,"American","Irish","English"
"51","alabama,montgomery",223510,"American","English","Irish"
"52","alabama,morgan",111064,"American","English","Irish"
"53","alabama,perry",11861,"American","English","Irish"
"54","alabama,pickens",20949,"American","Irish","English"
"55","alabama,pike",29605,"American","English","Irish"
"56","alabama,randolph",22380,"American","Irish","English"
"57","alabama,russell",49756,"American","Irish","English"
"58","alabama,st clair",64742,"American","English","Irish"
"59","alabama,shelby",143293,"American","English","Irish"
"60","alabama,sumter",14798,"American","English","Irish"
"61","alabama,talladega",80321,"American","English","Irish"
"62","alabama,tallapoosa",41475,"American","English","Irish"
"63","alabama,tuscaloosa",164875,"American","English","Irish"
"64","alabama,walker",70713,"American","Irish","English"
"65","alabama,washington",18097,"American","Irish","English"
"66","alabama,wilcox",13183,"American","English","Scotch Irish"
"67","alabama,winston",24843,"American","Irish","English"
"68","alaska,aleutians east",2697,"Norwegian","American","Irish"
"69","alaska,aleutians west",5465,"German","English","Irish"
"70","alaska,anchorage municipality",260283,"German","Irish","English"
"71","alaska,bethel",16006,"German","English","American"
"72","alaska,bristol bay",1258,"German","English","Norwegian"
"73","alaska,denali",1893,"German","Irish","English"
"74","alaska,dillingham",4922,"German","Irish","English"
"75","alaska,fairbanks north star",82840,"German","Irish","American"
"76","alaska,haines",2392,"German","English","American"
"77","alaska,juneau city and",30711,"German","Irish","English"
"78","alaska,kenai peninsula",49691,"German","American","Irish"
"79","alaska,ketchikan gateway",14070,"German","English","Norwegian"
"80","alaska,kodiak island",13913,"German","Irish","American"
"81","alaska,lake and peninsula",1823,"German","Norwegian","European"
"82","alaska,matanuska-susitna",59322,"German","Irish","American"
"83","alaska,nome",9196,"German","English","Irish"
"84","alaska,north slope",7385,"German","Irish","English"
"85","alaska,northwest arctic",7208,"German","Irish","American"
"86","alaska,prince of wales-outer ketchikan",6146,"German","Irish","English"
"87","alaska,sitka city and",8835,"German","Irish","English"
"88","alaska,skagway-hoonah-angoon",3436,"German","Irish","American"
"89","alaska,southeast fairbanks",6174,"German","American","Irish"
"90","alaska,valdez-cordova",10195,"German","English","American"
"91","alaska,wade hampton",7028,"German","English","Irish"
"92","alaska,wrangell-petersburg",6684,"German","Norwegian","English"
"93","alaska,yakutat city and",808,"German","Irish","English"
"94","alaska,yukon-koyukuk",6551,"German","English","Irish"
"95","arizona,apache",69423,"English","German","American"
"96","arizona,cochise",117755,"German","English","American"
"97","arizona,coconino",116320,"German","English","Irish"
"98","arizona,gila",51335,"German","English","Irish"
"99","arizona,graham",33489,"English","American","German"
"100","arizona,greenlee",8547,"English","American","German"
"101","arizona,la paz",19715,"German","English","American"
"102","arizona,maricopa",3072149,"German","English","Irish"
"103","arizona,mohave",155032,"German","English","Irish"
"104","arizona,navajo",97470,"English","German","American"
"105","arizona,pima",843746,"German","English","Irish"
"106","arizona,pinal",179727,"German","English","Irish"
"107","arizona,santa cruz",38381,"American","German","English"
"108","arizona,yavapai",167517,"German","English","Irish"
"109","arizona,yuma",160026,"German","American","English"
"110","arkansas,arkansas",20749,"American","German","English"
"111","arkansas,ashley",24209,"American","English","Irish"
"112","arkansas,baxter",38386,"German","American","English"
"113","arkansas,benton",153406,"American","German","English"
"114","arkansas,boone",33948,"American","German","English"
"115","arkansas,bradley",12600,"American","English","Irish"
"116","arkansas,calhoun",5744,"American","Irish","English"
"117","arkansas,carroll",25357,"American","German","English"
"118","arkansas,chicot",14117,"American","Irish","Italian"
"119","arkansas,clark",23546,"American","English","Irish"
"120","arkansas,clay",17609,"American","Irish","English"
"121","arkansas,cleburne",24046,"American","Irish","German"
"122","arkansas,cleveland",8571,"American","Irish","English"
"123","arkansas,columbia",25603,"American","Irish","English"
"124","arkansas,conway",20336,"American","German","Irish"
"125","arkansas,craighead",82148,"American","Irish","German"
"126","arkansas,crawford",53247,"American","Irish","German"
"127","arkansas,crittenden",50866,"American","Irish","English"
"128","arkansas,cross",19526,"American","Irish","German"
"129","arkansas,dallas",9210,"American","Irish","English"
"130","arkansas,desha",15341,"American","Irish","German"
"131","arkansas,drew",18723,"American","Irish","English"
"132","arkansas,faulkner",86014,"American","German","English"
"133","arkansas,franklin",17771,"American","Irish","German"
"134","arkansas,fulton",11642,"American","Irish","English"
"135","arkansas,garland",88068,"American","German","English"
"136","arkansas,grant",16464,"American","Irish","German"
"137","arkansas,greene",37331,"American","Irish","German"
"138","arkansas,hempstead",23587,"American","Irish","English"
"139","arkansas,hot spring",30353,"American","Irish","German"
"140","arkansas,howard",14300,"American","German","Irish"
"141","arkansas,independence",34233,"American","English","German"
"142","arkansas,izard",13249,"American","English","German"
"143","arkansas,jackson",18418,"American","Irish","English"
"144","arkansas,jefferson",84278,"American","Irish","English"
"145","arkansas,johnson",22781,"American","German","Irish"
"146","arkansas,lafayette",8559,"American","Irish","English"
"147","arkansas,lawrence",17774,"American","Irish","English"
"148","arkansas,lee",12580,"American","Subsaharan African","Subsaharan African:African"
"149","arkansas,lincoln",14492,"American","Irish","English"
"150","arkansas,little river",13628,"American","English","Irish"
"151","arkansas,logan",22486,"American","German","Irish"
"152","arkansas,lonoke",52828,"American","German","Irish"
"153","arkansas,madison",14243,"American","English","German"
"154","arkansas,marion",16140,"American","German","English"
"155","arkansas,miller",40443,"American","Irish","English"
"156","arkansas,mississippi",51979,"American","Irish","English"
"157","arkansas,monroe",10254,"American","German","Irish"
"158","arkansas,montgomery",9245,"American","Irish","English"
"159","arkansas,nevada",9955,"American","English","Irish"
"160","arkansas,newton",8608,"American","Irish","English"
"161","arkansas,ouachita",28790,"American","Irish","English"
"162","arkansas,perry",10209,"American","Irish","German"
"163","arkansas,phillips",26445,"American","Irish","English"
"164","arkansas,pike",11303,"American","Irish","English"
"165","arkansas,poinsett",25614,"American","Irish","English"
"166","arkansas,polk",20229,"American","Irish","English"
"167","arkansas,pope",54469,"American","German","Irish"
"168","arkansas,prairie",9539,"American","German","Irish"
"169","arkansas,pulaski",361474,"American","German","English"
"170","arkansas,randolph",18195,"American","German","Irish"
