"","SummerMaxTemp","SummerMinTemp","WinterMaxTemp","WinterMinTemp","SummerRain","WinterRain","MeanAnnRain","RainDays","ClearDays","CloudyDays","ID","Latitude","Longitude","Elevation","State"
"Hobart",22,12.7,12.2,4.7,28.1,44.1,576.4,90.8,41.1,177.1,94029,-42.89,147.33,51,"TAS"
"Eddystone Point",20.9,14.4,13,7,30.8,78.4,756.8,103.2,46,139.6,92045,-40.99,148.35,82,"TAS"
"Cape Otway",21.5,14.3,12.9,7.7,32,107.3,952.5,141,25.3,220.9,90015,-38.86,143.51,82,"VIC"
"Melbourne",26.5,15.8,13.9,6.8,32.3,46.8,654.4,99.2,48.9,178,86071,-37.81,144.97,31,"VIC"
"Wilsons Promontory",20.7,15.3,12.3,8.8,33.8,125.2,1109.4,137.1,22.3,218.4,85096,-39.13,146.42,95,"VIC"
"Lakes Entrance",24,14.8,14.7,5.8,34.6,43.5,727.1,96.5,64.9,157.1,84083,-37.87,148,43,"VIC"
"Narooma",23.4,16.4,16.1,6.6,56.9,23,991,71.5,81.1,126.3,69022,-36.21,150.14,25,"NSW"
"Sydney",26.7,19.3,17,7.4,80.6,54.5,1129.2,95.8,104.1,126.3,66037,-33.94,151.17,6,"NSW"
"Port Macquarie",26.2,19.2,18.2,7.9,160,70.4,1508.9,113.6,117.9,110,60026,-31.44,152.91,20,"NSW"
"Byron Bay",27.4,20.6,19.4,11.7,169.8,96.8,1819.1,128.4,98.3,110.8,58009,-28.64,153.64,95,"NSW"
"Brisbane",28.8,20.9,20.6,9.5,107.5,40,1192.1,89.4,123.5,105.9,40223,-27.42,153.11,4,"QLD"
"Bundaberg",29.9,21.5,22.2,10.8,118.1,25.6,1029.7,73.8,123.1,89.1,39128,-24.89,152.32,27,"QLD"
"St Lawrence",31.6,22.6,23.9,11,142,21.4,1032,65.7,91.6,95.3,33065,-22.35,149.54,18,"QLD"
"Townsville",31.3,24.4,25.1,13.7,201.6,4.6,1122.7,66.3,118.5,99.8,32040,-19.25,146.77,4,"QLD"
"Cairns",31,23.7,25.8,16.9,415.3,20.6,2112.1,121.6,95.6,134.3,31011,-16.87,145.75,2,"QLD"
"Lockhart River",31.3,23.6,27.1,19.5,383.4,40.3,2216.6,144,48.9,122.3,28008,-12.79,143.3,19,"QLD"
