"","rate.male","LCL95.male","UCL95.male","rate.female","LCL95.female","UCL95.female","state","county"
"alabama,pickens",363.7,311.1,423.2,151,123.6,183.6,"Alabama","Pickens County"
"alabama,bullock",345.7,274.2,431.4,140.5,102.8,189.7,"Alabama","Bullock County"
"alabama,russell",340.7,304.5,380.9,182.3,161.3,205.5,"Alabama","Russell County"
"alabama,barbour",335.9,288.9,389.1,185.3,157.2,217.5,"Alabama","Barbour County"
"alabama,dallas",330.1,293.4,370.6,172,151.4,195,"Alabama","Dallas County"
"alabama,greene",328.1,255.9,416.6,124.1,88.5,171.7,"Alabama","Greene County"
"alabama,perry",327.9,261.4,408,174.2,133.3,225.4,"Alabama","Perry County"
"alabama,walker",327.4,299.1,358.2,157.7,142.1,174.8,"Alabama","Walker County"
"alabama,macon",323.6,276.4,377.5,184.5,154.2,220.1,"Alabama","Macon County"
"alabama,lamar",321.4,265.3,386.3,161.4,129.2,201.2,"Alabama","Lamar County"
"alabama,lawrence",318.5,276.1,366.9,169.1,144.4,197.3,"Alabama","Lawrence County"
"alabama,marengo",315.6,267.4,370.7,188.3,158,223.4,"Alabama","Marengo County"
"alabama,geneva",313.6,270.9,362.3,120.8,99.5,146.5,"Alabama","Geneva County"
"alabama,mobile",310.9,298.3,324,177.8,170.1,185.8,"Alabama","Mobile County"
"alabama,chambers",309.8,273.3,350.2,165.1,143.3,189.9,"Alabama","Chambers County"
"alabama,franklin",307.4,267.6,352.2,169.2,144.4,197.5,"Alabama","Franklin County"
"alabama,montgomery",305.1,287.7,323.4,169,159,179.5,"Alabama","Montgomery County"
"alabama,covington",304.3,270.7,341.2,157.5,137.5,180.4,"Alabama","Covington County"
"alabama,coosa",304,244,376.4,166.8,127.9,216.1,"Alabama","Coosa County"
"alabama,winston",302.5,257.1,355.2,154.9,128.8,185.5,"Alabama","Winston County"
"alabama,conecuh",301.5,245,368.4,179.1,143,223.2,"Alabama","Conecuh County"
"alabama,cleburne",301.3,242.8,371.5,180.4,142.8,226.6,"Alabama","Cleburne County"
"alabama,bibb",299.5,247.2,361.4,167.6,135.2,205.9,"Alabama","Bibb County"
"alabama,talladega",298.1,271.8,326.5,159.9,144.4,176.7,"Alabama","Talladega County"
"alabama,jackson",297.5,266.5,331.7,170.9,151.5,192.4,"Alabama","Jackson County"
"alabama,marion",297,259.6,338.9,162,138.7,188.9,"Alabama","Marion County"
"alabama,wilcox",294.1,232.2,368.3,132.1,98,175.5,"Alabama","Wilcox County"
"alabama,calhoun",291.7,270,315.1,176.3,162.8,190.7,"Alabama","Calhoun County"
"alabama,colbert",291.7,263.1,322.8,168.8,150.7,188.9,"Alabama","Colbert County"
"alabama,st clair",291.4,261.8,324.6,158.7,140.7,178.6,"Alabama","St. Clair County"
"alabama,marshall",290.3,265.7,317,162.5,147.3,179,"Alabama","Marshall County"
"alabama,jefferson",287.6,278.6,296.9,168.6,163.1,174.3,"Alabama","Jefferson County"
"alabama,sumter",286.1,228.6,354.7,153.2,117.9,197.2,"Alabama","Sumter County"
"alabama,cherokee",286,244.8,333.4,140.6,116.1,170,"Alabama","Cherokee County"
"alabama,coffee",286,252.7,323,162.8,142.3,185.8,"Alabama","Coffee County"
"alabama,dale",283.8,250.4,321.4,169.5,148.1,193.3,"Alabama","Dale County"
"alabama,autauga",283.1,242.6,329.8,173.6,149.8,200.3,"Alabama","Autauga County"
"alabama,lowndes",281.7,221.6,353.8,173.1,132.7,222.5,"Alabama","Lowndes County"
"alabama,hale",281.3,228.7,343.5,199.3,162.1,243.2,"Alabama","Hale County"
"alabama,escambia",281.2,246.1,320.3,164.8,142.3,190.2,"Alabama","Escambia County"
"alabama,lee",280.6,254,309.7,174.4,157.9,192.3,"Alabama","Lee County"
"alabama,clarke",277.6,235.4,325.8,143.5,118.9,172.1,"Alabama","Clarke County"
"alabama,monroe",277.2,234.4,326.3,138.6,113,169,"Alabama","Monroe County"
"alabama,tuscaloosa",276.7,257.9,296.8,173.9,161.6,187,"Alabama","Tuscaloosa County"
"alabama,houston",273.9,250.5,299.2,157.6,143.2,173.2,"Alabama","Houston County"
"alabama,morgan",272.5,250.4,296.3,167.2,153.3,182.1,"Alabama","Morgan County"
"alabama,butler",271.6,228.6,321.1,161.8,133.9,194.9,"Alabama","Butler County"
"alabama,cullman",271.5,247.4,297.6,160.9,145.4,177.8,"Alabama","Cullman County"
"alabama,etowah",268.7,248.5,290.4,175.4,161.9,189.9,"Alabama","Etowah County"
"alabama,chilton",265.5,230.8,304.9,158.4,136.2,183.6,"Alabama","Chilton County"
"alabama,elmore",264.7,236.2,296.4,167.8,148.9,188.5,"Alabama","Elmore County"
"alabama,tallapoosa",264,233.5,297.7,174.1,153.5,197.3,"Alabama","Tallapoosa County"
"alabama,pike",263.6,222,311.7,166.1,140,196.3,"Alabama","Pike County"
"alabama,clay",262.2,213.2,319.8,123.4,95.2,159.9,"Alabama","Clay County"
"alabama,lauderdale",260.4,238.5,284.1,164.4,150,180.1,"Alabama","Lauderdale County"
"alabama,blount",260.2,230.7,292.8,172.4,151.9,195.1,"Alabama","Blount County"
"alabama,washington",257.8,207.2,318.5,141.7,110.5,179.5,"Alabama","Washington County"
"alabama,henry",257.6,209.9,313.7,166.8,135.1,205.3,"Alabama","Henry County"
"alabama,choctaw",254.5,204.9,313.8,149.2,117.8,187.8,"Alabama","Choctaw County"
"alabama,de kalb",254.4,228.4,282.9,139.4,123.5,157,"Alabama","DeKalb County"
"alabama,crenshaw",253.5,203.4,313.5,170.1,135.4,212.9,"Alabama","Crenshaw County"
"alabama,randolph",253.1,212.4,300.1,175.8,147,209.6,"Alabama","Randolph County"
"alabama,fayette",246.8,202.6,298.7,158.3,128.7,194.3,"Alabama","Fayette County"
"alabama,madison",244,230.1,258.8,165.6,156.3,175.4,"Alabama","Madison County"
"alabama,baldwin",239.2,223.5,255.8,162,150.7,174.1,"Alabama","Baldwin County"
"alabama,shelby",225.5,204.3,248.8,145.2,132,159.5,"Alabama","Shelby County"
"alabama,limestone",220.9,193.9,251.4,126.5,110.4,144.5,"Alabama","Limestone County"
"alaska,nome",375.7,265.2,525.9,147.4,85.8,240.8,"Alaska","Nome Census Area"
"alaska,wade hampton",346.5,217.7,588.7,208.4,113.8,368.5,"Alaska","Wade Hampton Census Area"
"alaska,haines",333.7,182.1,584.5,NA,NA,NA,"Alaska","Haines Borough"
"alaska,north slope",319.8,183.3,761.6,NA,NA,NA,"Alaska","North Slope Borough"
"alaska,bethel",298.9,216.9,406.9,161.4,106.2,238.3,"Alaska","Bethel Census Area"
"alaska,prince of wales-outer ketchikan",297.7,148.4,562.1,NA,NA,NA,"Alaska","Prince of Wales-Outer Ketchikan Census Area"
"alaska,valdez-cordova",285.9,193.1,416.6,157.7,99.3,245.1,"Alaska","Valdez-Cordova Census Area"
"alaska,juneau city and",240.2,189.6,302.6,153,119.9,193,"Alaska","Juneau City and Borough"
"alaska,anchorage municipality",238.7,218.6,260.8,156.9,144.4,170.4,"Alaska","Anchorage Municipality"
"alaska,wrangell-petersburg",237.2,161.3,343.2,227.8,155.9,327.1,"Alaska","Wrangell-Petersburg Census Area"
"alaska,kenai peninsula",232.5,194,279.5,171.4,144.3,202.9,"Alaska","Kenai Peninsula Borough"
