"","month","day","year","max.temp","record.max","normal.max","min.temp","record.min","normal.min","precip","record.precip","normal.precip","time.max","time.min"
"1","January",1,2007,43,58,45,34,10,35,0.13,1.37,0.17,1509,13
"2","January",2,2007,56,56,45,45,6,35,1.77,1.51,0.17,1000,135
"3","January",3,2007,48,58,45,43,6,35,1.01,1.01,0.17,1411,713
"4","January",4,2007,42,61,45,37,14,36,0.06,1.56,0.17,1535,1732
"5","January",5,2007,43,55,45,31,15,36,0.19,1.33,0.17,1312,55
"6","January",6,2007,44,57,45,36,14,36,NA,1.22,0.17,23,809
"7","January",7,2007,49,59,45,40,19,36,0.93,1.33,0.17,1544,127
"8","January",8,2007,47,54,45,38,18,36,0,1.13,0.17,1659,659
"9","January",9,2007,51,56,45,41,13,36,0.16,2.83,0.17,1415,1659
"10","January",10,2007,36,59,45,32,12,36,0.01,0.94,0.17,1558,607
"11","January",11,2007,31,59,45,27,12,36,0,1.26,0.17,1401,724
"12","January",12,2007,31,59,45,19,13,36,NA,1.3,0.17,1523,842
"13","January",13,2007,29,56,45,21,11,36,0,1.63,0.17,1658,605
"14","January",14,2007,35,59,45,20,8,36,NA,1.61,0.17,1453,803
"15","January",15,2007,35,58,46,23,15,36,NA,1.68,0.17,1443,934
"16","January",16,2007,35,54,46,28,13,36,0.18,1.78,0.17,1632,619
"17","January",17,2007,39,55,46,33,15,36,NA,2.39,0.17,1349,850
"18","January",18,2007,42,60,46,34,9,36,0.16,2.98,0.16,1659,434
"19","January",19,2007,42,62,46,38,18,36,0.08,2.26,0.16,1659,936
"20","January",20,2007,45,64,46,37,16,36,NA,1.66,0.16,1549,703
"21","January",21,2007,42,62,46,37,13,36,NA,1.64,0.16,1659,827
"22","January",22,2007,50,60,46,40,19,36,0,1.29,0.16,1617,147
"23","January",23,2007,52,56,46,44,16,36,0,1.36,0.16,1553,559
"24","January",24,2007,51,58,47,35,10,36,NA,1.36,0.16,1328,752
"25","January",25,2007,43,58,47,33,7,36,0.02,0.93,0.16,1602,744
"26","January",26,2007,44,58,47,37,9,36,NA,1.03,0.16,1558,1058
"27","January",27,2007,52,58,47,32,11,36,NA,1.61,0.16,1419,840
"28","January",28,2007,50,57,47,28,7,36,NA,1.23,0.16,1436,711
"29","January",29,2007,40,60,47,28,6,36,NA,1.63,0.16,1618,542
"30","January",30,2007,48,59,47,33,7,36,NA,1,0.16,1618,715
"31","January",31,2007,48,61,47,28,0,36,NA,1.93,0.16,1529,638
"32","February",1,2007,49,63,48,30,1,36,NA,1.34,0.16,1619,523
"33","February",2,2007,44,64,48,28,8,37,NA,1.32,0.16,1325,529
"34","February",3,2007,42,63,48,31,8,37,0.12,1.29,0.16,1056,301
"35","February",4,2007,54,63,48,41,7,37,0.16,0.91,0.16,1456,601
