"","counts","day","month","year","hour","weekday","time"
"21",390,1,"Jan",2007,0,"Monday",2007-01-01 00:00:00
"22",768,1,"Jan",2007,1,"Monday",2007-01-01 01:00:00
"23",528,1,"Jan",2007,2,"Monday",2007-01-01 02:00:00
"24",547,1,"Jan",2007,3,"Monday",2007-01-01 03:00:00
"25",545,1,"Jan",2007,4,"Monday",2007-01-01 04:00:00
"26",460,1,"Jan",2007,5,"Monday",2007-01-01 05:00:00
"27",1034,1,"Jan",2007,6,"Monday",2007-01-01 06:00:00
"28",1004,1,"Jan",2007,7,"Monday",2007-01-01 07:00:00
"29",1263,1,"Jan",2007,8,"Monday",2007-01-01 08:00:00
"30",1158,1,"Jan",2007,9,"Monday",2007-01-01 09:00:00
"31",1586,1,"Jan",2007,10,"Monday",2007-01-01 10:00:00
"32",1576,1,"Jan",2007,11,"Monday",2007-01-01 11:00:00
"33",1645,1,"Jan",2007,12,"Monday",2007-01-01 12:00:00
"34",892,1,"Jan",2007,13,"Monday",2007-01-01 13:00:00
"35",1275,1,"Jan",2007,14,"Monday",2007-01-01 14:00:00
"36",1248,1,"Jan",2007,15,"Monday",2007-01-01 15:00:00
"37",867,1,"Jan",2007,16,"Monday",2007-01-01 16:00:00
"38",891,1,"Jan",2007,17,"Monday",2007-01-01 17:00:00
"39",1019,1,"Jan",2007,18,"Monday",2007-01-01 18:00:00
"40",5927,1,"Jan",2007,19,"Monday",2007-01-01 19:00:00
"41",7431,1,"Jan",2007,20,"Monday",2007-01-01 20:00:00
"42",7171,1,"Jan",2007,21,"Monday",2007-01-01 21:00:00
"43",9113,1,"Jan",2007,22,"Monday",2007-01-01 22:00:00
"44",1415,1,"Jan",2007,23,"Monday",2007-01-01 23:00:00
"45",938,2,"Jan",2007,0,"Tuesday",2007-01-02 00:00:00
"46",1513,2,"Jan",2007,1,"Tuesday",2007-01-02 01:00:00
"47",1217,2,"Jan",2007,2,"Tuesday",2007-01-02 02:00:00
"48",1539,2,"Jan",2007,3,"Tuesday",2007-01-02 03:00:00
"49",1196,2,"Jan",2007,4,"Tuesday",2007-01-02 04:00:00
"50",2145,2,"Jan",2007,5,"Tuesday",2007-01-02 05:00:00
"51",1805,2,"Jan",2007,6,"Tuesday",2007-01-02 06:00:00
"52",2225,2,"Jan",2007,7,"Tuesday",2007-01-02 07:00:00
"53",1830,2,"Jan",2007,8,"Tuesday",2007-01-02 08:00:00
"54",2099,2,"Jan",2007,9,"Tuesday",2007-01-02 09:00:00
"55",1753,2,"Jan",2007,10,"Tuesday",2007-01-02 10:00:00
"56",2440,2,"Jan",2007,11,"Tuesday",2007-01-02 11:00:00
"57",1624,2,"Jan",2007,12,"Tuesday",2007-01-02 12:00:00
"58",1610,2,"Jan",2007,13,"Tuesday",2007-01-02 13:00:00
"59",1164,2,"Jan",2007,14,"Tuesday",2007-01-02 14:00:00
"60",1579,2,"Jan",2007,15,"Tuesday",2007-01-02 15:00:00
"61",1498,2,"Jan",2007,16,"Tuesday",2007-01-02 16:00:00
"62",1081,2,"Jan",2007,17,"Tuesday",2007-01-02 17:00:00
"63",2420,2,"Jan",2007,18,"Tuesday",2007-01-02 18:00:00
"64",2628,2,"Jan",2007,19,"Tuesday",2007-01-02 19:00:00
"65",2061,2,"Jan",2007,20,"Tuesday",2007-01-02 20:00:00
"66",1457,2,"Jan",2007,21,"Tuesday",2007-01-02 21:00:00
"67",1182,2,"Jan",2007,22,"Tuesday",2007-01-02 22:00:00
"68",3169,2,"Jan",2007,23,"Tuesday",2007-01-02 23:00:00
"69",3351,3,"Jan",2007,0,"Wednesday",2007-01-03 00:00:00
"70",5469,3,"Jan",2007,1,"Wednesday",2007-01-03 01:00:00
"71",5451,3,"Jan",2007,2,"Wednesday",2007-01-03 02:00:00
"72",2406,3,"Jan",2007,3,"Wednesday",2007-01-03 03:00:00
"73",1587,3,"Jan",2007,4,"Wednesday",2007-01-03 04:00:00
"74",5595,3,"Jan",2007,5,"Wednesday",2007-01-03 05:00:00
"75",2914,3,"Jan",2007,6,"Wednesday",2007-01-03 06:00:00
"76",2509,3,"Jan",2007,7,"Wednesday",2007-01-03 07:00:00
"77",3103,3,"Jan",2007,8,"Wednesday",2007-01-03 08:00:00
"78",2750,3,"Jan",2007,9,"Wednesday",2007-01-03 09:00:00
"79",1885,3,"Jan",2007,10,"Wednesday",2007-01-03 10:00:00
"80",2603,3,"Jan",2007,11,"Wednesday",2007-01-03 11:00:00
"81",2730,3,"Jan",2007,12,"Wednesday",2007-01-03 12:00:00
"82",2091,3,"Jan",2007,13,"Wednesday",2007-01-03 13:00:00
"83",1923,3,"Jan",2007,14,"Wednesday",2007-01-03 14:00:00
"84",1331,3,"Jan",2007,15,"Wednesday",2007-01-03 15:00:00
"85",1352,3,"Jan",2007,16,"Wednesday",2007-01-03 16:00:00
"86",864,3,"Jan",2007,17,"Wednesday",2007-01-03 17:00:00
"87",1614,3,"Jan",2007,18,"Wednesday",2007-01-03 18:00:00
"88",8364,3,"Jan",2007,19,"Wednesday",2007-01-03 19:00:00
"89",8105,3,"Jan",2007,20,"Wednesday",2007-01-03 20:00:00
"90",7576,3,"Jan",2007,21,"Wednesday",2007-01-03 21:00:00
"91",7808,3,"Jan",2007,22,"Wednesday",2007-01-03 22:00:00
"92",1923,3,"Jan",2007,23,"Wednesday",2007-01-03 23:00:00
"93",1363,4,"Jan",2007,0,"Thursday",2007-01-04 00:00:00
"94",2901,4,"Jan",2007,1,"Thursday",2007-01-04 01:00:00
"95",1740,4,"Jan",2007,2,"Thursday",2007-01-04 02:00:00
"96",1823,4,"Jan",2007,3,"Thursday",2007-01-04 03:00:00
"97",2542,4,"Jan",2007,4,"Thursday",2007-01-04 04:00:00
"98",2683,4,"Jan",2007,5,"Thursday",2007-01-04 05:00:00
"99",2449,4,"Jan",2007,6,"Thursday",2007-01-04 06:00:00
"100",3346,4,"Jan",2007,7,"Thursday",2007-01-04 07:00:00
"101",2266,4,"Jan",2007,8,"Thursday",2007-01-04 08:00:00
"102",3344,4,"Jan",2007,9,"Thursday",2007-01-04 09:00:00
"103",1656,4,"Jan",2007,10,"Thursday",2007-01-04 10:00:00
"104",2123,4,"Jan",2007,11,"Thursday",2007-01-04 11:00:00
"105",2167,4,"Jan",2007,12,"Thursday",2007-01-04 12:00:00
"106",1939,4,"Jan",2007,13,"Thursday",2007-01-04 13:00:00
"107",2082,4,"Jan",2007,14,"Thursday",2007-01-04 14:00:00
"108",1382,4,"Jan",2007,15,"Thursday",2007-01-04 15:00:00
"109",1178,4,"Jan",2007,16,"Thursday",2007-01-04 16:00:00
"110",3537,4,"Jan",2007,17,"Thursday",2007-01-04 17:00:00
"111",1877,4,"Jan",2007,18,"Thursday",2007-01-04 18:00:00
"112",6341,4,"Jan",2007,19,"Thursday",2007-01-04 19:00:00
"113",8413,4,"Jan",2007,20,"Thursday",2007-01-04 20:00:00
"114",7691,4,"Jan",2007,21,"Thursday",2007-01-04 21:00:00
"115",8280,4,"Jan",2007,22,"Thursday",2007-01-04 22:00:00
"116",7384,4,"Jan",2007,23,"Thursday",2007-01-04 23:00:00
"117",1469,5,"Jan",2007,0,"Friday",2007-01-05 00:00:00
"118",1470,5,"Jan",2007,1,"Friday",2007-01-05 01:00:00
"119",2209,5,"Jan",2007,2,"Friday",2007-01-05 02:00:00
"120",1995,5,"Jan",2007,3,"Friday",2007-01-05 03:00:00
"121",2943,5,"Jan",2007,4,"Friday",2007-01-05 04:00:00
"122",2393,5,"Jan",2007,5,"Friday",2007-01-05 05:00:00
"123",2580,5,"Jan",2007,6,"Friday",2007-01-05 06:00:00
"124",2819,5,"Jan",2007,7,"Friday",2007-01-05 07:00:00
"125",3649,5,"Jan",2007,8,"Friday",2007-01-05 08:00:00
"126",2275,5,"Jan",2007,9,"Friday",2007-01-05 09:00:00
"127",1795,5,"Jan",2007,10,"Friday",2007-01-05 10:00:00
"128",1927,5,"Jan",2007,11,"Friday",2007-01-05 11:00:00
"129",2222,5,"Jan",2007,12,"Friday",2007-01-05 12:00:00
