"","female","age","educcats","racecats","married"
"1",FALSE,50,5,1,FALSE
"2",FALSE,47,3,4,FALSE
"3",TRUE,37,4,1,TRUE
"4",FALSE,71,1,2,FALSE
"5",TRUE,62,2,1,FALSE
"6",FALSE,53,5,1,FALSE
"7",TRUE,49,4,1,FALSE
"8",TRUE,56,3,1,FALSE
"9",FALSE,50,5,2,FALSE
"10",TRUE,47,5,1,TRUE
"11",FALSE,30,1,1,FALSE
"12",TRUE,20,2,1,FALSE
"13",FALSE,44,3,2,TRUE
"14",TRUE,33,2,1,TRUE
"15",TRUE,34,4,1,FALSE
"16",FALSE,39,4,1,TRUE
"17",TRUE,54,3,3,TRUE
"18",TRUE,40,2,1,TRUE
"19",TRUE,35,2,1,TRUE
"20",TRUE,33,3,2,FALSE
"21",TRUE,31,4,1,FALSE
"22",TRUE,47,4,1,FALSE
"23",FALSE,37,3,1,FALSE
"24",FALSE,27,4,1,FALSE
"25",TRUE,66,1,2,FALSE
"26",TRUE,44,2,2,FALSE
"27",FALSE,73,2,1,TRUE
"28",TRUE,26,3,3,FALSE
"29",TRUE,40,2,2,FALSE
"30",TRUE,61,4,5,TRUE
"31",FALSE,27,2,3,FALSE
"32",TRUE,77,2,1,TRUE
"33",TRUE,50,4,1,TRUE
"34",FALSE,31,4,1,FALSE
"35",TRUE,23,4,1,FALSE
"36",TRUE,72,1,1,FALSE
"37",TRUE,90,4,5,FALSE
"38",FALSE,46,4,1,FALSE
"39",FALSE,56,2,1,TRUE
"40",TRUE,43,4,1,TRUE
"41",FALSE,62,4,1,TRUE
"42",FALSE,59,2,1,TRUE
"43",TRUE,69,1,5,FALSE
"44",TRUE,30,4,1,TRUE
"45",FALSE,55,4,1,TRUE
"46",TRUE,39,2,1,TRUE
"47",TRUE,55,5,1,FALSE
"48",FALSE,59,4,1,TRUE
"49",TRUE,54,2,1,TRUE
"50",FALSE,47,4,1,FALSE
"51",TRUE,32,3,2,TRUE
"52",TRUE,72,2,1,TRUE
"53",FALSE,22,4,6,FALSE
"54",TRUE,43,2,6,TRUE
"55",FALSE,62,2,1,TRUE
"56",FALSE,52,5,2,TRUE
"57",FALSE,59,4,1,TRUE
"58",FALSE,26,2,1,TRUE
"59",FALSE,59,1,1,FALSE
"60",FALSE,22,3,1,FALSE
"61",TRUE,77,2,1,FALSE
"62",FALSE,60,3,3,TRUE
"63",TRUE,41,5,1,TRUE
"64",TRUE,77,2,1,FALSE
"65",FALSE,42,4,3,FALSE
"66",TRUE,81,3,1,FALSE
"67",TRUE,40,2,1,FALSE
"68",FALSE,70,2,1,FALSE
"69",TRUE,47,2,1,TRUE
"70",FALSE,77,4,1,FALSE
"71",FALSE,23,2,1,TRUE
"72",FALSE,39,3,1,TRUE
