"","y1","y2","InclProbs","Weights","CharStrataNames","StrataSizes","CharDoms","NumDoms"
"1",2495,1206,0.794930891334232,1.25797098955555,"SIERRA NORTE",68,"B",222
"2",1467,662,0.406595586072945,2.45944627598735,"SIERRA NORTE",68,"B",222
"3",611,297,0.185037512224813,5.4043095801301,"SIERRA NORTE",68,"A",111
"4",1172,512,0.427290570992826,2.34032779538398,"SIERRA NORTE",68,"A",111
"5",3180,1618,0.701194783167714,1.42613725031211,"SIERRA NORTE",68,"A",111
"6",2171,1023,0.541721664079224,1.84596641838152,"SIERRA NORTE",68,"A",111
"7",2313,1153,0.57459016954021,1.74037088173681,"SIERRA NORTE",68,"C",333
"8",929,440,0.357901503908521,2.79406481693801,"SIERRA NORTE",68,"B",222
"9",2488,1175,0.662239517436174,1.51002767680106,"SIERRA NORTE",68,"B",222
"10",9663,4680,1,1,"SIERRA NORTE",68,"B",222
"11",3478,1691,1,1,"SIERRA NORTE",68,"B",222
"12",22356,10895,1,1,"SIERRA NORTE",68,"C",333
"13",7362,3434,1,1,"SIERRA NORTE",68,"B",222
"14",7293,3652,1,1,"SIERRA NORTE",68,"C",333
"15",1530,718,0.544156368187445,1.83770706080487,"SIERRA NORTE",68,"A",111
"16",452,195,0.157038414980269,6.3678686525564,"SIERRA NORTE",68,"A",111
"17",2112,1000,0.635457772245741,1.57366868999957,"SIERRA NORTE",68,"A",111
"18",1517,722,0.57459016954021,1.74037088173681,"SIERRA NORTE",68,"A",111
"19",2394,1152,0.8716240707432,1.14728359801645,"SIERRA NORTE",68,"A",111
"20",2135,1030,0.452854964129149,2.2082125166123,"SIERRA NORTE",68,"A",111
"21",7674,3755,1,1,"SIERRA NORTE",68,"C",333
"22",5602,2597,1,1,"SIERRA NORTE",68,"B",222
"23",1108,518,0.331119758718087,3.02005535360212,"SIERRA NORTE",68,"A",111
"24",1707,825,0.637892476353962,1.56766232095377,"SIERRA NORTE",68,"A",111
"25",17100,8432,1,1,"SIERRA NORTE",68,"C",333
"26",5515,2730,1,1,"SIERRA NORTE",68,"C",333
"27",3395,1704,0.793713539280121,1.25990039291377,"SIERRA NORTE",68,"C",333
"28",320,147,0.136343430060389,7.33442014446228,"SIERRA NORTE",68,"A",111
"29",5598,2685,1,1,"SIERRA NORTE",68,"C",333
"30",2633,1267,0.71336830370882,1.40180043716685,"SIERRA NORTE",68,"C",333
"31",1652,788,0.419986458668162,2.38102914834717,"SIERRA NORTE",68,"B",222
"32",2778,1381,0.805887059821227,1.24086866492413,"SIERRA NORTE",68,"B",222
