"","lon","lat","raw","anomaly","infill"
"1",-85.25,31.57,44,-0.95851,0
"2",-87.18,34.22,126,0.02056,0
"3",-87.32,34.42,57,-1.17331,0
"4",-87.42,32.23,88,-0.33307,0
"5",-86.22,34.25,80,-0.83134,0
"6",-85.95,32.95,65,-0.84035,1
"7",-85.87,32.98,76,-0.65922,1
"8",-88.13,33.13,113,-0.27394,0
"9",-88.28,33.23,109,-0.28018,1
"10",-86.5,31.32,110,0.19776,0
"11",-85.85,33.58,89,-0.52723,0
"12",-87.22,34.07,107,-0.2671,0
"13",-85.83,33.27,87,-0.59929,0
"14",-86.27,33.83,98,-0.38892,0
"15",-86.98,34.8,60,-1.20122,0
"16",-87.48,31.17,116,0.16285,0
"17",-87.52,31.02,114,0.16599,1
"18",-85.5,32.6,41,-1.30269,0
"19",-86.68,32.47,61,-0.7919,0
"20",-87.35,33.45,113,-0.13272,1
"21",-87.78,30.88,121,0.26241,0
"22",-87.22,31.73,94,-0.13196,0
"23",-87.87,34.47,76,-0.83478,0
"24",-86.88,34.7,77,-0.74897,1
"25",-86.97,33.35,106,-0.19795,1
"26",-87,33.4,118,-0.01636,1
"27",-86.72,32.67,54,-1.02042,0
"28",-86.83,33.47,120,0.00997,1
"29",-86.75,33.57,122,0.07469,1
"30",-88.12,34.65,77,-0.85877,0
"31",-86.17,34.22,105,-0.37115,0
"32",-86.27,31.58,132,0.49325,0
"33",-87.03,31.12,120,0.33341,1
"34",-87.05,31.07,111,0.20868,0
"35",-85.73,34.93,117,0.29316,0
"36",-87.28,33.27,101,-0.2429,1
"37",-85.82,31.72,87,-0.13222,0
"38",-86.72,33.45,126,0.10672,1
"39",-86.75,33.1,109,-0.20412,0
"40",-87.32,32.03,99,-0.09483,1
"41",-85.68,32.83,74,-0.71188,1
"42",-87.53,33.9,89,-0.52003,0
"43",-86.63,34.38,110,-0.23061,0
"44",-85.68,34.15,95,-0.61809,1
"45",-87.13,32.95,98,-0.3792,0
"46",-87.25,32.9,84,-0.60309,1
"47",-88.25,31.47,92,-0.28646,1
"48",-86.37,33.28,106,-0.21691,0
"49",-86.33,33.28,106,-0.21819,1
"50",-88.23,31.08,96,-0.20017,0
"51",-87.52,31.53,98,-0.13554,1
"52",-86.63,32.85,78,-0.66511,0
"53",-85.45,31.87,100,0.24332,0
"54",-88.22,30.38,114,0.34523,1
"55",-85.92,31.17,140,0.60747,0
"56",-88.13,31.77,74,-0.61487,1
"57",-85.87,34.25,86,-0.66989,0
"58",-85.12,31.3,125,0.51955,0
"59",-87.18,33.77,95,-0.45633,0
"60",-85.07,32.15,87,-0.08738,1
"61",-88.38,32.43,142,0.20381,0
"62",-85.75,32.83,80,-0.59815,0
"63",-85.77,32.83,52,-1.12381,0
"64",-88.28,33,80,-0.68649,0
"65",-87.07,34.42,72,-0.87803,1
"66",-88.08,30.25,99,0.21569,1
"67",-87.65,32.35,104,-0.1341,0
"68",-86.97,34.62,76,-0.78147,0
"69",-86.98,34.62,73,-0.85706,1
"70",-86.97,34.6,69,-0.94133,1
"71",-85.7,33.43,90,-0.54216,1
"72",-87.85,32.52,99,-0.31715,0
"73",-87.83,32.52,98,-0.33119,1
"74",-85.43,31.23,65,-0.51624,0
"75",-87.42,34.15,91,-0.5326,1
"76",-86.07,31.42,107,0.22503,0
"77",-87.8,33.25,145,0.17783,0
"78",-85.88,31.33,108,0.20866,1
"79",-85.13,31.88,120,0.46411,0
"80",-85.08,32,77,-0.247,1
