"","V1","V2","V3","V4"
"1",131,138,89,49
"2",125,131,92,48
"3",131,132,99,50
"4",119,132,96,44
"5",136,143,100,54
"6",138,137,89,56
"7",139,130,108,48
"8",125,136,93,48
"9",131,134,102,51
"10",134,134,99,51
"11",129,138,95,50
"12",134,121,95,53
"13",126,129,109,51
"14",132,136,100,50
"15",141,140,100,51
"16",131,134,97,54
"17",135,137,103,50
"18",132,133,93,53
"19",139,136,96,50
"20",132,131,101,49
"21",126,133,102,51
"22",135,135,103,47
"23",134,124,93,53
"24",128,134,103,50
"25",130,130,104,49
"26",138,135,100,55
"27",128,132,93,53
"28",127,129,106,48
"29",131,136,114,54
"30",124,138,101,46
"31",124,138,101,48
"32",133,134,97,48
"33",138,134,98,45
"34",148,129,104,51
"35",126,124,95,45
"36",135,136,98,52
"37",132,145,100,54
"38",133,130,102,48
"39",131,134,96,50
"40",133,125,94,46
"41",133,136,103,53
"42",131,139,98,51
"43",131,136,99,56
"44",138,134,98,49
"45",130,136,104,53
"46",131,128,98,45
"47",138,129,107,53
"48",123,131,101,51
"49",130,129,105,47
"50",134,130,93,54
"51",137,136,106,49
"52",126,131,100,48
"53",135,136,97,52
"54",129,126,91,50
"55",134,139,101,49
"56",131,134,90,53
"57",132,130,104,50
"58",130,132,93,52
"59",135,132,98,54
"60",130,128,101,51
"61",137,141,96,52
"62",129,133,93,47
"63",132,138,87,48
"64",130,134,106,50
"65",134,134,96,45
"66",140,133,98,50
"67",138,138,95,47
"68",136,145,99,55
"69",136,131,92,46
"70",126,136,95,56
"71",137,129,100,53
"72",137,139,97,50
"73",136,126,101,50
"74",137,133,90,49
"75",129,142,104,47
"76",135,138,102,55
"77",129,135,92,50
"78",134,125,90,60
"79",138,134,96,51
"80",136,135,94,53
"81",132,130,91,52
"82",133,131,100,50
"83",138,137,94,51
"84",130,127,99,45
"85",136,133,91,49
"86",134,123,95,52
"87",136,137,101,54
"88",133,131,96,49
"89",138,133,100,55
"90",138,133,91,46
"91",137,134,107,54
"92",141,128,95,53
"93",141,130,87,49
"94",135,131,99,51
"95",133,120,91,46
"96",131,135,90,50
"97",140,137,94,60
"98",139,130,90,48
"99",140,134,90,51
"100",138,140,100,52
"101",132,133,90,53
"102",134,134,97,54
"103",135,135,99,50
"104",133,136,95,52
"105",136,130,99,55
"106",134,137,93,52
"107",131,141,99,55
"108",129,135,95,47
"109",136,128,93,54
"110",131,125,88,48
"111",139,130,94,53
"112",144,124,86,50
"113",141,131,97,53
"114",130,131,98,53
"115",133,128,92,51
"116",138,126,97,54
"117",131,142,95,53
"118",136,138,94,55
"119",132,136,92,52
"120",135,130,100,51
"121",137,123,91,50
"122",136,131,95,49
"123",128,126,91,57
"124",130,134,92,52
"125",138,127,86,47
"126",126,138,101,52
"127",136,138,97,58
"128",126,126,92,45
"129",132,132,99,55
"130",139,135,92,54
"131",143,120,95,51
"132",141,136,101,54
"133",135,135,95,56
"134",137,134,93,53
"135",142,135,96,52
"136",139,134,95,47
"137",138,125,99,51
"138",137,135,96,54
"139",133,125,92,50
"140",145,129,89,47
"141",138,136,92,46
"142",131,129,97,44
"143",143,126,88,54
"144",134,124,91,55
"145",132,127,97,52
"146",137,125,85,57
"147",129,128,81,52
"148",140,135,103,48
"149",147,129,87,48
"150",136,133,97,51
