"","Aat","Amy","Es1","Es2","Es10","Hbb","Gpd1","Idh1","Mod1","Mod2","Mpi","Np","Pgm1","Pgm2","Sod"
"1","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"2","100100","080100","094094","100100","100100","120120","100100","100125","110110","100100","100100","100100","100100","100100","100100"
"3","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"4","100100","080080","094094","100100","100100","120120","100100","100125","100100","100100","100100","100100","100100","100100","100100"
"5","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"6","100100","080100","094094","100100","100100","120120","100100","100125","110110","100100","100100","100100","100100","100100","100100"
"7","100100","080080","094094","100100","100100","120120","100100","100100","100110","100100","100100","100100","100100","100100","100100"
"8","100100","080100","094094","100100","100100","120120","100100","100125","100110","100100","100100","100100","100100","100100","100100"
"9","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"10","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"11","100100","080100","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"12","100100","080080","094094","100100","100100","120120","100100","100100","100110","100100","100100","100100","100100","100100","100100"
"13","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"14","100100","080080","094094","100100","100100","120120","100100","100125","110110","100100","100100","100100","100100","100100","100100"
"15","100100","080100","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"16","100100","080080","094094","100100","100100","120120","100100","100100","100110","100100","100100","100100","100100","100100","100100"
"17","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"18","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"19","100100","080080","094094","100100","100100","120120","100100","125125","110110","100100","100100","100100","100100","100100","100100"
"20","100100","080100","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"21","100100","080100","094094","100100","100100","120120","100100","100125","100110","100100","100100","100100","100100","100100","100100"
"22","100100","080080","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"23","100100","080100","094094","100100","100100","120120","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"24","100100","080100","094094","100100","000000","000000","000000","125125","110110","100100","100100","000000","100100","100100","100100"
"25","100100","080080","100100","095100","100100","110110","095095","100100","110110","100100","120120","085100","100100","100100","100100"
"26","100100","080080","100100","098098","100100","110120","095095","050100","100110","100100","100120","100100","100100","100100","100100"
"27","080100","080080","094100","098098","100100","110120","095095","100125","110110","100100","120120","085085","100100","100100","100100"
"28","100100","080080","100100","098098","100100","120120","095095","100100","110110","100100","120120","100100","100100","100100","100100"
"29","100100","080080","100100","098098","100100","110120","095095","100100","110110","100100","120120","085085","080100","100100","100100"
"30","100100","080080","094094","100100","100100","110120","095095","050050","110110","100100","100120","085085","080100","100100","100100"
"31","080100","080080","094094","100100","100100","110110","095095","050100","110110","100100","120120","085085","080100","100100","100100"
"32","080100","080080","100100","100100","100100","110110","095095","050125","110110","100100","100120","085085","080100","100100","100100"
"33","100100","080080","100100","098098","100100","110110","095095","050050","110110","100100","100120","085085","080100","100100","100100"
"34","080080","080080","100100","098098","100100","110110","095095","050080","110110","100100","100120","100100","080100","100100","100100"
"35","080080","080080","100100","100100","100100","110110","095095","050050","110110","100100","100120","100100","080100","100100","100100"
"36","100100","100100","100100","098098","060060","110120","095095","125125","110110","100100","120120","080090","060080","100100","080080"
"37","100100","100100","100100","098100","060060","110120","095095","125125","110120","100100","120120","090090","080080","080100","080080"
"38","100100","100100","100100","098098","060060","110110","095095","125125","120120","100100","100120","080090","080080","080100","080080"
"39","100100","100100","100100","098098","060060","110110","095095","125125","120120","100100","120120","080080","080080","080100","080080"
"40","100100","100100","100100","098098","060060","110110","095095","125125","110110","100100","120120","080080","060080","080100","080080"
"41","100100","100100","100100","098098","060100","110110","095095","125125","110120","100100","100120","080090","080080","100100","080080"
"42","100100","100100","100100","098098","060060","110120","095095","125125","110120","100100","120120","080090","080080","100100","080080"
"43","100100","100100","100100","098098","060060","110110","095095","125125","120120","100100","120120","080090","060060","080100","080080"
"44","100100","100100","100100","098098","060060","110110","000000","125125","120120","100100","000000","090090","000000","000000","080080"
"45","100100","080080","094100","095095","100100","110120","105105","100125","110110","120120","100100","100100","100100","100100","100100"
"46","080100","080080","094094","100100","100100","110120","105105","100100","110110","100120","100100","100100","100100","100100","100100"
"47","080100","080100","094094","095095","100100","110120","100100","100100","110110","120120","100100","100100","100100","100100","100100"
"48","100100","080100","094094","100100","100100","110110","095095","100100","110110","120120","100100","100100","100100","100100","100100"
"49","100100","080100","094094","100100","100100","120120","095095","100100","110110","100120","100100","100100","100100","100100","100100"
"50","100100","080080","094094","100100","100100","110110","100105","100100","100110","120120","100100","100100","100100","100100","100100"
"51","080100","080080","094094","100100","100100","110110","100100","050100","100110","100100","100100","100100","100100","080100","100100"
"52","080100","080080","094094","100100","100100","110120","100100","100125","110110","120120","100100","100100","100100","080100","100100"
"53","080100","080080","094094","100100","100100","110110","100100","100100","110110","120120","100100","100100","100100","100100","100100"
"54","100100","080080","094094","100100","100100","110110","105105","100125","100110","120120","100100","100100","100100","100100","100100"
"55","100100","080080","094094","100100","100100","110120","095095","125125","110110","120120","100100","100100","100100","080100","100100"
"56","100100","080100","094094","100100","100100","120120","095095","050125","110110","120120","100100","100100","100100","100100","100100"
"57","080100","080080","094100","100100","100100","120120","095100","050100","100110","120120","100100","100100","100100","100100","100100"
"58","080100","080080","094100","100100","100100","110120","100100","100100","100110","100120","100100","100100","100100","100100","100100"
"59","100100","080080","094094","095100","100100","110120","095095","100125","100110","120120","100100","100100","100100","080100","100100"
"60","080100","080080","094094","095100","100100","110110","095100","100100","100110","100120","100100","100100","100100","100100","100100"
"61","100100","080080","094094","100100","100100","110120","095100","100100","100110","120120","100100","100100","100100","100100","100100"
"62","100100","080080","094094","100100","100100","110120","100100","100100","110110","100120","100100","100100","100100","100100","100100"
"63","080100","080100","094094","100100","100100","110120","095100","100125","110110","100120","100100","100100","100100","100100","100100"
"64","100100","080100","094094","095100","100100","110110","100105","100100","110110","120120","100100","100100","100100","100100","100100"
"65","100100","080100","094094","100100","100100","110120","100100","100100","100110","120120","100100","100100","100100","100100","100100"
"66","080100","080080","094100","095100","100100","110120","095100","050100","110110","120120","100100","100100","100100","100100","100100"
"67","100100","080080","094094","095100","100100","110110","105105","050125","110110","120120","100100","100100","100100","100100","100100"
"68","080080","080100","094094","100100","100100","110110","095100","100100","110110","100100","100100","100100","100100","080100","100100"
"69","100100","080100","094094","100100","100100","110120","100105","100125","110110","100120","100100","100100","100100","100100","100100"
"70","080080","080100","094100","100100","100100","110120","100100","100100","110110","120120","100100","100100","100100","080100","100100"
"71","100100","080080","094094","100100","100100","110110","100105","100125","100110","100120","100100","100100","100100","100100","100100"
"72","100100","080080","094100","095095","100100","110120","100105","100125","110110","120120","100100","100100","100100","080100","100100"
"73","080100","080080","100100","100100","100100","110110","100100","100100","110110","100100","100100","100100","100100","100100","100100"
"74","100100","080080","094100","100100","100100","120120","100100","100100","100110","120120","100100","100100","100100","100100","100100"
