"","El.Hermel","Al.Hoceima","Nimba","Chelinda","Pretoria","Chalkidiki","Forli","Valenciennes","Umea","Seville"
"A113.200",0,0,0,1,2,0,0,0,0,0
"A113.202",0,0,2,0,2,0,0,10,1,1
"A113.204",0,11,1,0,1,0,0,0,0,0
"A113.206",0,0,0,2,0,0,0,0,0,0
"A113.208",0,1,5,8,5,0,0,0,0,0
"A113.210",4,4,2,4,5,0,0,0,0,0
"A113.212",17,5,10,9,4,0,0,0,0,0
"A113.213",0,0,0,1,0,0,0,0,0,0
"A113.214",4,25,6,10,7,46,18,2,0,0
"A113.216",17,0,3,1,5,0,0,0,0,1
"A113.218",6,0,7,5,7,0,0,0,0,1
"A113.220",0,3,2,8,3,1,39,31,38,32
"A113.222",4,3,1,1,11,0,0,1,1,6
"A113.224",27,0,10,8,2,0,1,0,2,13
"A113.226",7,0,1,1,1,3,0,2,2,2
"A113.228",2,3,4,0,0,1,0,0,0,0
"A113.230",0,1,1,0,1,4,0,0,0,0
"A113.232",0,0,0,2,0,0,0,0,0,0
"A113.234",0,0,0,0,0,2,0,0,0,0
"A113.236",0,0,1,0,0,0,0,0,0,0
"A113.238",0,0,0,0,0,1,0,0,0,0
"A28.121",0,0,0,0,1,0,0,0,0,0
"A28.126",4,0,0,0,0,0,0,0,0,0
"A28.127",0,1,10,9,5,0,0,0,0,0
"A28.128",0,1,0,0,0,0,0,0,0,0
"A28.129",0,6,3,5,0,0,0,0,0,0
"A28.130",0,3,4,4,3,0,0,0,0,0
"A28.131",0,3,1,2,5,0,0,0,0,0
"A28.132",0,11,2,3,2,0,1,44,43,55
"A28.133",0,13,2,0,2,0,0,0,0,0
"A28.134",0,7,3,2,3,6,0,0,0,0
"A28.135",8,9,11,13,14,0,0,0,0,1
"A28.136",0,0,3,1,4,0,0,0,0,0
"A28.137",0,0,1,6,3,0,0,0,0,0
"A28.138",71,2,6,3,5,51,58,2,1,0
"A28.139",0,0,3,1,0,0,0,0,0,0
"A28.140",6,0,3,7,5,1,0,0,0,0
"A28.141",1,0,3,4,6,0,1,0,0,0
"A28.142",0,0,0,1,0,0,0,0,0,0
"A28.148",0,0,1,0,0,0,0,0,0,0
"A43.117",7,0,0,0,0,0,0,0,0,0
"A43.123",0,0,0,2,0,0,0,0,0,0
"A43.124",1,0,0,0,0,0,0,0,0,0
"A43.125",1,0,0,0,0,0,0,0,0,0
"A43.126",2,1,8,5,7,0,0,0,0,0
"A43.127",0,0,0,2,0,5,6,0,0,0
"A43.128",4,16,4,2,2,0,16,37,30,50
"A43.130",0,0,0,0,1,0,0,0,0,0
"A43.132",0,1,0,1,4,0,0,0,0,0
"A43.134",1,3,7,2,7,0,0,0,0,2
"A43.136",0,4,8,2,6,0,0,0,0,0
"A43.138",0,1,4,2,1,0,0,0,0,0
"A43.139",0,0,0,2,0,2,0,0,0,0
"A43.140",0,3,5,2,5,0,0,5,13,0
"A43.141",23,0,0,3,3,51,38,2,1,0
"A43.142",10,0,2,9,8,0,0,0,0,4
"A43.143",11,0,0,0,0,0,0,0,0,0
"A43.144",5,8,2,10,3,0,0,0,0,0
"A43.145",17,0,0,0,0,0,0,0,0,0
"A43.146",0,0,9,2,1,0,0,0,0,0
"A43.147",1,0,0,0,0,0,0,0,0,0
"A43.148",3,15,4,2,3,0,0,0,0,0
"A43.149",3,0,0,0,0,0,0,0,0,0
"A43.150",0,4,2,6,1,0,0,0,0,0
"A43.152",0,0,0,2,0,0,0,0,0,0
"A43.154",3,0,0,1,0,0,0,0,0,0
"A43.166",0,0,1,0,0,0,0,0,0,0
"A8.116",0,0,0,0,0,1,0,0,0,0
"A8.146",0,0,0,1,0,0,0,0,0,0
"A8.148",6,5,1,0,1,0,6,38,32,50
"A8.150",0,1,6,5,8,0,0,0,0,0
"A8.152",0,12,12,13,10,0,0,0,0,0
"A8.154",1,25,13,11,11,0,0,0,0,0
"A8.155",0,0,0,1,0,0,0,0,0,0
"A8.156",34,8,17,16,9,6,2,5,10,6
"A8.157",0,0,0,1,1,0,0,0,0,0
"A8.158",44,5,6,11,8,21,0,0,1,0
"A8.159",0,0,0,0,1,0,0,0,0,0
"A8.160",1,0,0,1,2,17,14,1,0,0
"A8.161",0,0,0,1,2,0,0,0,0,0
"A8.162",0,0,1,0,0,7,29,1,0,0
"A8.163",0,0,0,1,0,0,0,0,0,0
"A8.164",0,0,0,0,2,5,7,1,1,0
"A8.166",0,0,0,0,0,1,0,0,0,0
"A88.136",0,0,1,0,0,0,0,0,0,0
"A88.138",0,0,0,1,2,1,0,0,0,0
"A88.142",0,0,1,1,1,0,0,0,0,0
"A88.143",34,5,1,2,6,12,0,0,0,0
"A88.144",0,0,7,3,2,0,0,0,0,0
"A88.145",0,0,0,2,2,0,0,0,0,0
"A88.146",37,19,6,7,9,2,2,45,44,55
"A88.147",0,0,0,3,2,0,0,0,0,0
"A88.148",8,0,1,3,7,0,0,0,0,0
"A88.149",2,0,2,1,1,0,0,0,0,0
"A88.150",0,17,11,3,1,0,0,0,0,0
"A88.151",0,0,2,1,1,0,0,0,0,0
"A88.152",3,2,1,7,1,8,4,0,0,0
"A88.153",0,9,3,8,3,0,0,0,0,0
"A88.154",0,0,10,5,9,35,54,1,0,0
"A88.155",1,4,6,9,5,0,0,0,0,1
"A88.156",0,0,3,3,0,0,0,0,0,0
"A88.157",0,0,1,1,1,0,0,0,0,0
"A88.158",0,0,0,1,0,0,0,0,0,0
"A88.159",0,0,0,0,1,0,0,0,0,0
"A88.166",5,0,0,0,0,0,0,0,0,0
"Ap43.125",0,2,0,0,0,0,0,0,0,0
"Ap43.127",0,3,0,0,1,0,0,0,0,1
"Ap43.129",0,0,4,4,0,0,0,0,0,0
"Ap43.131",0,7,4,11,7,0,0,0,0,0
"Ap43.132",0,0,0,1,0,0,0,0,0,0
"Ap43.133",0,5,7,5,11,0,0,0,0,0
"Ap43.134",0,0,2,0,4,0,0,0,0,0
"Ap43.135",11,9,8,13,17,8,0,11,8,17
"Ap43.137",3,10,10,3,5,1,6,24,29,23
"Ap43.139",5,4,9,5,1,2,0,3,0,1
"Ap43.141",3,2,2,0,2,0,0,0,0,0
"Ap43.143",38,0,0,6,1,14,1,0,0,0
"Ap43.144",0,0,0,0,0,1,2,0,0,0
"Ap43.145",10,0,0,0,0,26,19,2,5,0
"Ap43.147",5,0,0,0,0,4,8,0,0,0
"Ap43.148",0,0,0,0,0,0,1,0,0,0
"Ap43.149",0,0,0,0,0,0,1,0,0,0
"Ap43.151",0,1,0,1,2,0,0,0,0,0
"Ap43.153",0,0,1,0,0,0,0,0,0,0
"Ap43.157",0,0,0,1,1,0,0,0,0,3
"Ap43.159",0,1,0,1,0,0,0,0,0,1
"Ap43.161",0,1,0,0,0,0,0,0,0,0
"Ap43.163",2,1,1,0,0,0,0,0,0,1
"Ap43.165",3,0,0,0,0,0,0,0,0,1
"Ap43.167",2,1,0,0,1,0,0,0,0,1
"Ap43.169",0,1,0,0,0,1,0,0,0,0
"Ap43.171",0,1,0,1,0,0,0,0,0,0
"Ap43.173",0,0,1,3,0,1,0,0,0,0
"Ap43.177",5,1,0,0,0,0,0,0,0,0
"Ap43.179",1,0,0,0,0,0,0,0,0,0
"Ap43.181",0,0,0,0,0,0,0,0,0,1
"Ap43.185",0,0,0,0,0,0,0,0,0,1
"Ap43.186",0,0,0,0,0,0,0,0,0,1
"Ap43.189",0,0,0,0,1,0,0,0,0,0
"Ap43.197",0,0,1,0,0,0,0,0,0,0
"B124.030",0,0,0,0,0,0,0,1,0,0
"B124.212",0,0,0,0,0,6,1,0,0,0
"B124.214",0,0,0,0,1,0,0,0,0,0
"B124.216",0,4,2,3,2,7,35,2,2,0
"B124.218",0,0,2,0,2,5,16,0,0,0
"B124.220",53,13,12,6,6,13,1,13,2,0
"B124.222",31,7,8,12,7,4,1,4,5,20
"B124.223",0,0,1,0,0,0,0,0,0,0
"B124.224",1,3,7,7,6,10,6,6,7,8
"B124.226",2,4,3,5,3,3,0,1,1,2
"B124.228",0,0,2,4,1,1,0,5,0,9
"B124.230",0,6,3,4,0,2,0,2,6,5
"B124.232",1,1,0,0,3,1,0,4,9,5
"B124.234",0,3,5,3,3,1,0,2,8,4
"B124.236",0,2,4,4,4,4,0,4,3,1
"B124.238",1,1,1,1,3,1,0,1,0,0
"B124.240",0,4,0,3,1,0,0,1,0,2
"B124.242",0,3,6,1,1,0,0,0,0,0
"B124.244",0,3,0,1,1,0,0,0,0,0
"B124.246",0,1,0,1,1,0,0,0,0,0
"B124.248",0,0,0,0,1,0,0,0,0,0
"B124.250",0,0,0,2,1,0,0,0,0,0
"B124.252",1,1,0,0,0,0,0,0,0,0
"B124.256",0,0,0,0,0,0,0,0,1,0
"B124.262",2,0,0,0,0,0,0,0,0,0
"B124.270",0,0,0,1,0,0,0,0,0,0
"B24.096",0,0,3,2,0,0,0,0,0,0
"B24.097",1,2,1,0,2,0,0,0,0,0
"B24.098",20,36,18,21,11,0,7,37,38,52
"B24.099",0,0,0,0,2,0,0,0,0,0
"B24.100",7,4,3,2,2,0,0,0,0,0
"B24.101",0,0,1,0,1,0,0,0,0,0
"B24.102",0,1,3,8,14,0,0,0,0,0
"B24.104",1,3,7,8,8,1,1,0,0,0
"B24.105",0,0,1,0,1,0,0,0,0,0
"B24.106",0,7,10,16,5,28,20,6,4,4
"B24.108",60,1,4,4,10,29,30,3,2,0
"B24.110",1,0,2,1,0,0,0,0,0,0
"B24.114",0,0,1,0,0,0,0,0,0,0
"B24.116",0,0,2,0,0,0,0,0,0,0
