"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20"
"1",18.6,17,19,6,15.8,0,6.2,5,7.2,0,8,15,2.8,4.4,6.6,4,2.4,9.6,0,2.2
"2",37.6,38.2,36.2,48.6,43.6,22.8,31,30.2,27,25.8,19.4,38,35.8,35.4,34.8,28.6,41.2,24.4,33.8,31.2
"3",71.6,67.8,90.4,77,81.6,36.6,62,31.1,65,60.8,60.2,71.4,66.6,48,52,34.1,30,54,47.6,57.6
"4",94.2,106.8,110.9,115.5,133,111.2,101.5,89.7,124.1,69.5,102.7,106.9,121.5,120.7,100.6,101.5,116.4,103.9,111.7,127.7
"5",100.2,64.2,83.4,94.1,87.6,54.8,66.8,53.5,104.9,81.9,56.5,67.4,67.7,41,78,40.1,11.2,67.4,79.7,65.5
"6",106.5,134.7,121.1,208.3,166.6,116.5,128.5,104.6,128.4,98.9,104.8,137.5,116.4,114.5,109.7,113.4,181.4,112.5,169.9,134.2
"7",152.2,133.4,178.1,199.1,184.5,167.1,151.6,151.5,196.7,138.8,116.3,193.1,144.8,155.6,126.7,114.1,41.2,139.2,8,120.7
"8",105.7,108.4,112.3,79.4,110.4,59,94,54.2,50.4,82,87.3,116.3,107.1,127.8,86.1,80.7,151.4,82.3,116.8,97.9
"9",154.5,108.5,176.8,95,185.4,150.7,177.5,190.1,173.2,160.2,145.8,222.3,178.9,188.5,156.6,169,33.6,183.6,191.7,203
"10",230.5,264.1,249.8,157,192.6,144.2,280.6,212,140.5,271.8,226.1,245.5,130.9,264.1,230.9,249.6,261.2,196,271.2,237.3
"11",152.2,70.4,169.8,248.9,220.8,127.5,164.6,238.9,193.2,151.3,190.7,189.2,185.8,227.2,172.6,154.8,132.6,148.2,262.9,245.3
"12",150.2,183.7,110.8,53.5,145.1,143.1,206.9,57.8,22.1,123.1,83.4,174.1,102.8,83.3,106.3,78.7,219.6,79,99.7,99.7
"13",227.7,216.2,254.5,236.6,288.5,238.4,268.8,279.7,278.5,255,299.2,320.4,234.4,288.9,232.7,230.9,202.5,271.7,308.1,270.6
"14",90.8,189.6,73.7,45.5,24.3,70.5,110.8,42.3,58,132.6,73.8,206.6,32.5,30.3,173.6,207.2,189.5,96.5,79.1,54.1
"15",158.8,218,258.6,298,336.2,269.2,296,313.5,301.8,268.7,317.8,320.1,241.2,264.2,234,301.2,251.8,271.5,345.8,296.6
