"","se.T1","se.T2","se.T3","se.T4","se.T5","sm.T1","sm.T2","sm.T3","sm.T4","sm.T5","la.T1","la.T2","la.T3","la.T4","la.T5"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
"5",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"6",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"7",0,0,1,2,0,0,1,0,0,0,2,0,0,0,0
"8",0,1,4,0,0,0,1,2,1,0,0,0,0,0,0
"9",0,0,2,5,0,1,2,3,1,0,0,0,0,0,0
"10",0,2,0,1,0,0,1,2,2,1,0,0,0,0,0
"11",2,1,3,0,0,0,1,0,1,0,1,0,0,0,0
"12",1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"13",3,0,2,0,0,1,2,1,0,0,0,0,1,0,1
"14",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
"15",3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"16",0,0,3,0,0,1,1,1,1,0,0,0,0,0,0
"17",2,0,0,1,3,0,0,0,2,0,0,0,0,0,0
"18",1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"19",0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
"20",4,5,2,2,3,0,4,0,3,4,1,0,1,0,0
"21",2,4,2,4,0,0,3,0,1,3,0,0,1,0,0
"22",9,4,10,3,2,1,0,1,0,1,0,1,0,0,0
"23",7,8,12,2,2,5,0,2,0,3,0,0,0,0,0
"24",5,51,22,12,11,1,2,0,0,11,1,1,0,0,1
"25",2,14,7,2,5,0,3,0,0,0,2,1,0,1,0
"26",11,5,8,10,14,0,1,0,1,2,0,0,0,0,0
"27",5,2,6,8,9,0,0,0,0,0,0,3,0,0,0
"28",3,6,5,11,4,0,0,0,4,1,0,1,0,1,1
"29",1,0,3,10,8,0,0,1,5,0,0,0,0,3,0
"30",1,1,0,15,11,0,0,0,9,0,0,0,0,0,1
"31",0,12,0,10,8,0,1,0,5,3,0,0,0,0,2
"32",0,5,12,11,13,0,0,0,10,11,0,1,0,0,0
