"","HGEO","FRAN","PHYS","MATH","BIOL","ECON","ANGL","ESPA"
"1",11.6,8.7,4.5,7.6,9,6.5,10,15.5
"2",13.6,12.3,6.2,8.5,12,11.5,7,12
"3",13.2,12.1,8.5,6.3,11.6,11,13,14.5
"4",8.8,8.2,5,3.7,10.6,10,11,14.5
"5",12.7,8.6,10,9.3,10.6,14,9,13.5
"6",12.4,10,5.5,9.2,10.5,11,10,15
"7",12.6,9.3,9.5,9.6,10.5,12.5,9,11
"8",14.4,14,15,18.8,11.4,15,14,14.5
"9",14,10.6,7.2,8.8,12.2,15,12,19.5
"10",13.2,13.1,18,12.3,12.4,9.5,9,13
"11",10.6,8,4.5,7.1,9.8,8,14,16.5
"12",13.4,8.8,13,13.8,12.6,10,9,11.5
"13",14,9,8.7,7.7,11.1,13.5,9,12.6
"14",9.7,9.6,4,5.5,12,12,7,14
"15",15.2,13.8,11,8.7,8,15.5,14,12.8
"16",13.4,11.8,11,9.5,13.6,13.5,11,12.9
"17",11.4,8.8,11,7.2,12.2,12.5,11,13
"18",11.2,8.8,3.7,8.1,11.8,10.5,5,14
"19",9,8.2,5.7,8.3,8.5,5,10,14
"20",11.4,9.5,10,10.2,12.8,13.5,10,13
"21",9.7,9.6,3.7,9.1,9.5,6,8,13.5
"22",13.6,10.2,12,15.8,13.2,10,13,14.5
