"","long","larg","haut","sexe"
"1",93,74,37,"M"
"2",94,78,35,"M"
"3",96,80,35,"M"
"4",101,84,39,"M"
"5",102,85,38,"M"
"6",103,81,37,"M"
"7",104,83,39,"M"
"8",106,83,39,"M"
"9",107,82,38,"M"
"10",112,89,40,"M"
"11",113,88,41,"M"
"12",114,86,40,"M"
"13",116,90,43,"M"
"14",117,90,41,"M"
"15",117,91,41,"M"
"16",119,93,41,"M"
"17",120,89,40,"M"
"18",120,93,44,"M"
"19",121,95,42,"M"
"20",125,93,45,"M"
"21",127,96,45,"M"
"22",128,95,45,"M"
"23",131,95,46,"M"
"24",135,106,47,"M"
"25",98,81,38,"F"
"26",103,84,38,"F"
"27",103,86,42,"F"
"28",105,86,40,"F"
"29",109,88,44,"F"
"30",123,92,50,"F"
"31",123,95,46,"F"
"32",133,99,51,"F"
"33",133,102,51,"F"
"34",133,105,41,"F"
"35",134,100,48,"F"
"36",136,102,49,"F"
"37",137,98,51,"F"
"38",138,99,51,"F"
"39",141,105,53,"F"
"40",147,108,57,"F"
"41",149,107,55,"F"
"42",153,107,56,"F"
"43",155,115,63,"F"
"44",155,117,60,"F"
"45",158,115,62,"F"
"46",159,118,63,"F"
"47",162,124,61,"F"
"48",177,132,67,"F"
