"","pib","croipop","morta","anal","scol"
"Afrique.Sud",2680,29,89,50,19
"Algerie",2266,29,114,59,48
"Argentine",2264,12,44,5,70
"Australie",9938,13,10,0,86
"Bresil",1853,22,75,24,62
"Cameroun",939,24,106,55,45
"Canada",9857,10,10,1,93
"Chili",1853,17,42,8,85
"Chine",231,14,71,31,44
"Coree.Sud",1716,16,33,8,82
"Cuba",2046,7,17,9,79
"Egypte",626,27,74,58,46
"Espagne",5316,9,10,7,88
"Etats.Unis",11732,10,11,1,91
"Ethiopie",140,27,145,85,23
"Finlande",10286,6,7,1,98
"France",11326,4,9,1,86
"Grece",4060,11,15,12,81
"Haute.Volta",240,17,208,89,8
"Hongrie",1963,0,20,1,42
"Inde",260,18,121,58,72
"Indonesie",488,17,99,32,41
"Iran",2346,27,105,57,58
"Irlande",4813,12,11,1,93
"Israel",4531,22,15,7,74
"Italie",6869,4,13,5,73
"Japon",9704,9,7,1,92
"Kenya",376,4,85,53,59
"Madagascar",259,27,69,39,30
"Maroc",864,25,104,65,35
"Mexique",1900,26,54,17,70
"Mozambique",155,27,150,67,16
"Nicaragua",760,44,88,10,53
"Niger",330,30,143,90,9
"Nigeria",807,33,133,66,29
"Perou",997,28,85,19,72
"Pologne",2545,9,25,1,77
"RFA",12176,-1,12,1,87
"Royaume.Uni",8655,-1,10,1,83
"Senegal",430,26,152,78,19
"Suede",13920,1,7,1,85
"Suisse",15522,6,8,1,88
"Syrie",1717,38,60,46,51
"Turquie",1491,21,119,31,42
"URSS",4562,9,29,1,96
"Venezuela",3823,3,40,19,58
"Vietnam",220,23,97,13,60
"Yougoslavie",2067,9,31,13,83
