"","csp","duree","oppo","age","sexe","interdit","cableue","assurvi","soldevu","eparlog","eparliv","credhab","credcon","versesp","retresp","remiche","preltre","prelfin","viredeb","virecre","porttit"
"1","ouvri","d48","non","ai75","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"2","cadsu","d24","non","ai35","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"3","cadsu","d48","non","ai75","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"4","inact","d24","non","ai45","fem","oui","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","moy"
"5","retra","d812","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","for"
"6","inact","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"7","inact","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"8","inact","dp12","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","for","nul","nul","nul","fai","for"
"9","ouvri","d24","non","ai35","hom","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"10","agric","d48","non","ai55","hom","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"11","emplo","dp12","non","ai75","fem","non","oui","non","n2","nul","nul","non","for","non","fai","fai","moy","moy","fai","for","nul"
"12","ouvri","d812","non","ai45","hom","oui","non","non","n1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","nul"
"13","emplo","d24","non","ai35","hom","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","moy","for","nul"
"14","inter","d24","non","ai45","fem","oui","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","moy"
"15","cadsu","dp12","non","ai75","hom","non","oui","oui","n2","nul","nul","non","nul","non","fai","for","nul","nul","fai","nul","for"
"16","agric","d812","non","ai45","hom","non","non","oui","p4","for","fai","oui","nul","oui","fai","for","nul","nul","for","fai","fai"
"17","ouvri","d24","non","ai25","hom","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"18","inact","dp12","non","ai75","hom","non","non","non","p4","nul","nul","non","nul","non","fai","fai","nul","moy","nul","nul","moy"
"19","artis","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"20","inact","dm2","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"21","etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"22","ouvri","dm2","non","ai25","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"23","emplo","d24","non","ai35","fem","oui","non","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"24","cadsu","dp12","non","ai45","fem","non","non","non","n2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"25","inact","d24","non","ai25","fem","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","moy"
"26","inact","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"27","emplo","dp12","non","ai45","fem","non","non","non","p2","nul","fai","non","nul","oui","fai","fai","nul","nul","fai","nul","nul"
"28","inact","d24","non","ai35","fem","non","oui","non","n1","nul","fai","non","nul","non","fai","moy","nul","nul","fai","fai","moy"
"29","etudi","d48","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"30","inter","d812","non","ai75","fem","non","non","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"31","etudi","d48","non","ai25","fem","non","oui","non","p3","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"32","emplo","d812","non","ai55","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","for","nul"
"33","etudi","d24","non","ai25","fem","non","oui","non","p2","nul","fai","non","nul","oui","fai","moy","nul","nul","nul","fai","nul"
"34","inter","d812","oui","ai45","fem","non","oui","non","n2","nul","fai","non","nul","non","fai","nul","fai","nul","fai","fai","moy"
"35","etudi","d24","non","ai25","fem","non","oui","non","p1","fai","nul","non","nul","oui","fai","fai","nul","nul","nul","fai","fai"
"36","etudi","d48","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","fai","nul"
"37","etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"38","emplo","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","moy","moy","nul","nul","nul","nul","nul"
"39","etudi","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"40","emplo","dm2","non","ai45","fem","non","non","non","n1","nul","nul","non","fai","non","fai","fai","nul","nul","nul","nul","nul"
"41","emplo","d812","non","ai35","fem","non","non","non","n1","nul","fai","non","fai","non","fai","fai","fai","nul","fai","nul","nul"
"42","etudi","d48","non","ai25","fem","non","oui","non","n1","fai","nul","non","nul","non","fai","fai","nul","nul","fai","fai","nul"
"43","etudi","d24","non","ai25","fem","non","oui","non","n1","nul","nul","non","fai","non","fai","fai","nul","nul","fai","fai","nul"
"44","emplo","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","fai","oui","fai","nul","nul","nul","nul","nul","nul"
"45","etudi","d24","non","ai25","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"46","emplo","d48","non","ai25","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"47","emplo","d812","oui","ai45","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"48","inter","dp12","non","ai55","fem","non","non","non","p4","nul","nul","non","fai","non","moy","nul","nul","nul","fai","nul","nul"
"49","etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"50","retra","dp12","non","ai75","fem","non","non","non","p2","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"51","inact","d48","non","ai25","fem","non","oui","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"52","inact","dm2","non","ai35","fem","non","oui","non","p2","fai","nul","non","for","non","fai","fai","nul","nul","for","for","nul"
"53","ouvri","d812","non","ai35","fem","non","non","non","p3","fai","nul","non","nul","non","fai","nul","nul","fai","fai","moy","nul"
"54","emplo","d24","non","ai35","fem","non","non","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","fai","nul","nul"
"55","etudi","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"56","cadsu","d48","oui","ai55","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","nul","nul","nul","fai","nul","nul"
"57","etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","for","non","fai","nul","nul","nul","nul","fai","fai"
"58","inter","d812","non","ai35","fem","non","oui","non","n1","nul","nul","non","fai","non","fai","nul","nul","nul","nul","moy","nul"
"59","emplo","d24","non","ai45","fem","non","oui","non","p1","for","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"60","etudi","d48","non","ai25","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","for","nul","nul","fai","nul","nul"
"61","inter","dm2","non","ai45","fem","oui","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"62","emplo","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"63","emplo","d812","non","ai35","fem","non","oui","non","n1","nul","fai","non","nul","non","fai","nul","nul","fai","nul","moy","nul"
"64","etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","oui","fai","moy","nul","nul","nul","fai","nul"
"65","emplo","d24","non","ai35","fem","oui","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"66","etudi","d48","non","ai25","fem","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"67","etudi","d48","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"68","inact","d24","non","ai25","fem","non","non","non","p1","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"69","inact","dp12","non","ai75","fem","non","non","non","p2","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","for"
"70","emplo","d812","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"71","etudi","d48","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","fai","nul","fai","nul"
"72","inter","dp12","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"73","inter","d812","non","ai45","fem","non","non","oui","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"74","retra","d24","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"75","etudi","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"76","inact","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"77","emplo","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"78","inter","dp12","non","ai35","fem","non","non","non","p3","nul","nul","non","nul","non","fai","moy","nul","nul","nul","nul","nul"
"79","emplo","d48","non","ai35","fem","non","oui","non","n2","nul","nul","non","nul","non","fai","moy","fai","nul","nul","fai","nul"
"80","inter","dp12","non","ai35","fem","non","oui","non","n1","nul","fai","non","nul","non","fai","fai","moy","nul","fai","nul","nul"
"81","etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"82","inact","dm2","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"83","etudi","d24","non","ai25","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"84","emplo","d812","non","ai35","fem","oui","non","non","n1","nul","nul","non","nul","non","moy","fai","nul","fai","fai","nul","nul"
"85","inact","d24","non","ai25","fem","non","non","non","p2","fai","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"86","etudi","d48","non","ai25","fem","non","oui","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"87","emplo","dp12","non","ai35","fem","non","non","non","n2","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"88","inter","dp12","non","ai75","fem","non","non","non","p4","for","fai","non","nul","non","moy","fai","nul","nul","fai","for","moy"
"89","etudi","d48","non","ai35","fem","non","oui","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"90","emplo","d48","non","ai35","fem","non","non","non","p2","for","fai","non","nul","non","fai","nul","nul","nul","nul","fai","fai"
"91","etudi","d48","non","ai25","fem","non","non","non","p1","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","nul","fai"
"92","retra","dm2","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","moy","nul","nul","nul","nul","fai","nul"
"93","emplo","dp12","non","ai75","fem","non","non","oui","p4","for","for","non","nul","non","for","nul","nul","nul","nul","moy","nul"
"94","emplo","d24","non","ai25","fem","oui","non","oui","n1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","nul","nul"
"95","etudi","d48","non","ai25","fem","non","non","non","p2","nul","fai","non","fai","non","fai","nul","nul","nul","fai","moy","nul"
"96","inter","d812","non","ai55","fem","non","non","non","p1","nul","nul","oui","nul","non","fai","nul","nul","nul","nul","fai","fai"
"97","inact","d812","non","ai45","fem","non","non","non","p2","nul","fai","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"98","inter","d812","non","ai35","fem","non","non","non","p2","nul","fai","non","fai","non","fai","nul","nul","nul","nul","nul","nul"
"99","etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"100","inter","dp12","non","ai45","fem","non","oui","non","p3","for","fai","non","nul","oui","fai","fai","nul","nul","fai","for","fai"
"101","etudi","d24","non","ai25","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"102","emplo","d48","non","ai25","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","moy","nul","nul","fai","fai","nul"
"103","inter","d48","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","moy"
"104","etudi","d24","non","ai25","fem","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"105","inter","d24","non","ai35","fem","non","oui","non","p2","for","fai","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"106","inter","d812","non","ai75","fem","non","oui","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","fai","moy","fai"
"107","inact","d48","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","fai","fai","for"
"108","inter","dm2","non","ai45","fem","non","oui","non","p3","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"109","retra","d24","non","ai75","fem","non","oui","non","p2","nul","for","non","nul","non","fai","fai","nul","nul","fai","fai","for"
"110","emplo","dm2","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","nul","nul"
"111","inact","d812","non","ai75","fem","non","oui","non","p3","nul","nul","non","nul","oui","fai","moy","moy","nul","nul","for","moy"
"112","emplo","dp12","non","ai45","fem","non","oui","oui","n1","nul","nul","non","nul","non","fai","fai","nul","fai","fai","moy","nul"
"113","retra","d48","non","ai75","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"114","inact","d812","non","ai55","fem","non","non","non","p2","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"115","inact","d48","non","ai75","fem","non","non","non","p2","nul","for","non","nul","non","fai","nul","nul","nul","nul","nul","fai"
"116","inact","dp12","non","ai75","fem","non","non","non","p4","for","fai","non","nul","non","fai","fai","nul","nul","nul","moy","for"
"117","ouvri","dp12","non","ai35","fem","non","non","oui","p3","for","nul","non","fai","non","fai","moy","nul","nul","nul","moy","nul"
"118","emplo","dp12","non","ai55","fem","non","non","non","p2","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","nul","nul"
"119","emplo","d48","non","ai45","fem","non","oui","non","n1","nul","nul","non","nul","non","fai","fai","nul","nul","nul","moy","nul"
"120","emplo","d812","non","ai75","fem","non","oui","non","p3","nul","nul","non","nul","non","moy","moy","nul","nul","nul","nul","nul"
"121","inact","d48","non","ai55","fem","non","oui","non","p1","nul","fai","non","nul","non","fai","for","nul","nul","nul","nul","nul"
"122","agric","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","oui","fai","fai","nul","nul","nul","fai","nul"
"123","cadsu","d48","non","ai55","fem","non","oui","non","p2","nul","fai","non","nul","non","fai","for","nul","nul","for","fai","nul"
"124","emplo","d48","non","ai75","fem","non","non","non","p1","nul","nul","non","nul","non","fai","fai","nul","nul","fai","nul","nul"
"125","inact","dm2","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","fai","nul"
"126","inact","d48","non","ai55","fem","non","non","non","p2","nul","fai","non","nul","oui","moy","for","nul","nul","fai","nul","nul"
"127","emplo","d48","oui","ai75","fem","non","oui","non","p1","nul","nul","non","nul","non","fai","moy","nul","nul","nul","fai","for"
"128","inact","d48","non","ai55","fem","non","non","non","p4","nul","fai","non","nul","non","fai","fai","nul","moy","nul","nul","nul"
"129","cadsu","dp12","non","ai75","fem","non","non","non","p3","fai","nul","oui","nul","non","fai","for","nul","nul","for","for","nul"
"130","inact","dp12","oui","ai55","fem","non","oui","non","p4","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"131","inact","d24","non","ai75","fem","non","non","non","p4","for","fai","non","nul","non","fai","nul","nul","nul","nul","nul","for"
"132","emplo","dp12","non","ai45","fem","non","non","non","p1","nul","nul","non","nul","non","moy","fai","nul","nul","nul","moy","nul"
"133","inact","d48","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","nul","nul"
"134","inter","d812","non","ai35","fem","non","non","oui","p4","nul","fai","non","nul","non","fai","moy","nul","nul","fai","fai","fai"
"135","inact","d24","non","ai45","fem","non","non","non","n1","nul","nul","non","nul","non","fai","nul","nul","nul","nul","moy","nul"
"136","inter","dm2","non","ai35","fem","oui","non","non","p2","nul","nul","non","nul","non","for","nul","fai","nul","fai","moy","nul"
"137","retra","dp12","non","ai75","fem","non","non","oui","p2","nul","fai","non","nul","oui","fai","nul","nul","nul","nul","fai","nul"
