"","wing","bill","habitat","phylog"
"Corvus_jamaicensis",237,52,"clos","amer"
"Corvus_ossifragus",300,45,"open","amer"
"Corvus_leucognaphalus",321,60,"clos","amer"
"Corvus_caurinus",292,49,"open","amer"
"Corvus_brachyrhynchos",333,50,"open","amer"
"Corvus_palmarum",264,55,"clos","amer"
"Corvus_spendens",286,56,"open","orien"
"Corvus_macrorhynchos",319,73,"clos","orien"
"Corvus_orru",382,60,"open","orien"
"Corvus_bennetti",346,51,"open","orien"
"Corvus_coronoides",397,66,"open","orien"
"Corvus_mellori",370,56,"open","orien"
"Corvus_tasmanicus",377,63,"clos","orien"
"Corvus_tristis",232,72,"clos","orien"
"Corvus_woodfordi",293,67,"clos","orien"
"Corvus_validus",365,85,"clos","orien"
"Corvus_enca",343,60,"clos","orien"
"Corvus_?orensis",226,48,"clos","orien"
"Corvus_tropicus",325,61,"clos","orien"
"Corvus_corone_cornix",345,61,"open","pale"
"Corvus_corax",473,80,"open","pale"
"Corvus_capensis",350,63,"open","pale"
"Corvus_albicollis",430,66,"open","pale"
"Corvus_ru?collis",432,73,"open","pale"
"Corvus_albus",388,58,"open","pale"
"Corvus_rhipidurus",424,62,"open","pale"
"Corvus_cryptoleucus",379,59,"open","pale"
"Corvus_frugilegus",330,57,"open","pale"
