"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"Metallica",6,7,4,7,7,10,9,3,10,1,7,3,7,1,7,6,8,8,10,6,9,9,10,9,9,5,10,9,4,6,9,1,1,8,9,6,6,6,10,6,6,4,6,9,7,8,9,9,8,8,4
"Guns.n.Roses",10,9,9,8,5,8,10,2,5,9,3,6,2,7,9,4,5,6,8,9,5,6,9,8,8,7,8,8,7,5,5,2,5,1,6,5,9,4,6,5,2,5,5,4,8,9,8,6,9,9,6
"Nirvana",5,8,8,4,2,6,6,9,3,2,8,2,6,6,3,5,4,4,9,5,4,7,2,6,7,3,7,2,8,4,3,3,4,6,5,7,4,5,5,3,5,7,4,1,6,3,3,5,7,6,2
"AC.DC",9,4,2,6,6,9,7,8,4,6,6,7,5,2,8,7,9,9,5,8,8,10,8,10,10,6,9,7,1,7,10,6,8,9,10,10,7,7,9,7,10,8,8,10,9,7,1,7,6,7,8
"Noir.Desir",2,6,3,1,1,3,2,1,2,10,5,4,9,5,1,2,1,2,3,3,3,3,1,2,2,8,2,10,9,10,4,4,2,4,4,3,1,3,2,4,4,6,7,6,5,1,4,4,3,4,5
"U2",7,2,7,3,8,4,5,4,1,4,2,1,4,8,2,1,2,7,6,7,1,2,3,1,1,1,1,5,6,2,1,9,3,2,1,2,3,1,3,1,7,1,1,5,4,5,2,1,1,1,1
"Pink.Floyd",1,3,5,5,4,1,1,6,6,5,4,10,3,4,4,3,3,1,1,1,2,1,4,5,6,2,3,1,3,1,2,7,6,5,2,1,2,2,1,2,1,2,3,2,2,2,7,3,2,2,3
"Led.Zeppelin",3,1,1,9,9,2,4,5,8,8,9,9,1,3,5,8,6,5,4,4,6,8,5,3,5,9,6,6,2,3,8,5,7,7,7,8,10,10,8,8,8,9,9,8,1,4,5,2,5,5,7
"Deep.Purple",4,5,6,10,10,5,3,7,9,7,10,8,8,9,6,9,7,3,2,2,7,5,7,4,4,10,5,3,5,8,6,10,9,10,3,4,5,9,4,9,9,10,10,7,3,6,6,8,4,3,9
"Bon.Jovi",8,10,10,2,3,7,8,10,7,3,1,5,10,10,10,10,10,10,7,10,10,4,6,7,3,4,4,4,10,9,7,8,10,3,8,9,8,8,7,10,3,3,2,3,10,10,10,10,10,10,10
