"","altit","deniv","cloiso","domain","boise","hetra","favor","inexp","citat","depart"
"1","2","3","3","2","2","3","3","2","1","HS"
"2","1","2","1","2","1","1","2","2","2","HS"
"3","3","3","3","2","2","2","3","3","2","HS"
"4","3","3","3","1","3","3","3","2","3","HS"
"5","3","3","1","2","2","3","2","3","1","S"
"6","3","3","3","1","3","3","3","3","3","S"
"7","2","2","3","2","2","1","2","3","1","S"
"8","1","1","2","2","1","1","3","2","2","S"
"9","2","3","1","2","3","2","3","3","4","S"
"10","2","2","3","1","3","3","2","3","1","S"
"11","1","1","1","1","1","1","2","2","1","S"
"12","2","2","3","1","3","3","3","2","3","I"
"13","2","3","3","1","3","3","3","2","3","I"
"14","1","3","2","2","1","1","1","3","2","I"
"15","2","2","1","3","2","2","2","2","1","I"
"16","3","3","3","3","3","3","3","3","4","I"
"17","3","1","3","3","3","3","3","1","4","D"
"18","3","2","3","3","3","3","2","2","4","D"
"19","2","1","1","3","3","3","3","1","4","D"
"20","2","1","1","2","2","2","1","1","2","D"
"21","2","1","1","2","2","2","1","1","1","D"
"22","1","1","1","2","1","1","1","1","2","HP"
"23","2","2","2","2","1","1","1","1","2","HP"
"24","1","1","3","3","1","1","1","1","1","HP"
"25","2","3","2","3","2","1","1","1","1","HP"
"26","2","2","1","1","2","1","1","1","1","HP"
"27","2","2","3","1","1","1","1","1","1","HP"
"28","3","2","1","3","3","3","2","1","1","HP"
"29","2","1","1","2","2","1","1","1","1","HP"
"30","1","1","3","3","1","1","2","1","1","AHP"
"31","3","1","3","3","2","3","2","1","1","AHP"
"32","3","2","3","3","2","1","2","1","1","AHP"
"33","3","2","3","3","2","1","1","1","1","AHP"
"34","3","1","3","1","3","3","1","1","1","AHP"
"35","1","2","3","3","1","1","1","1","1","AM"
"36","2","2","3","3","2","1","1","1","1","AM"
"37","3","1","3","3","3","1","1","1","1","AM"
"38","2","3","3","3","2","1","2","2","1","AM"
