"","time","ftemp"
"1",1,37.9
"2",2,37.9
"3",3,37.9
"4",4,37.9
"5",5,37.9
"6",6,37.7
"7",7,36.4
"8",8,36.5
"9",9,36.4
"10",10,36.2
"11",11,36.4
"12",12,36.6
"13",13,36.7
"14",14,36.6
"15",15,36.6
"16",16,36.8
"17",17,36.5
"18",18,36.6
"19",19,36.9
"20",20,36.6
"21",21,36.5
"22",22,36.8
"23",23,36.85
"24",24,36.7
"25",25,36.5
"26",26,36.8
"27",27,36.6
"28",28,36.4
"29",29,36.4
"30",30,36.35
"31",31,36.25
"32",32,36.3
"33",33,36.2
"34",34,36.7
"35",35,36.8
"36",36,36.5
"37",37,36.4
"38",38,36.4
"39",39,36.2
"40",40,36.4
"41",41,36.5
"42",42,36.3
"43",43,36.3
"44",44,36.6
"45",45,36.35
"46",46,36.7
"47",47,36.9
"48",48,37
"49",49,36.7
"50",50,36.5
"51",51,36.8
"52",52,36.9
"53",53,36.9
"54",54,36.9
"55",55,36.8
"56",56,36.9
"57",57,36.8
"58",58,37
"59",59,36.8
"60",60,36.8
