"","Mless12","M12to14","M15to17","M18to20","M21to29","M30to39","M40to49","M50to64","M65plus","Fless12","F12to14","F15to17","F18to20","F21to29","F30to39","F40to49","F50to64","F65plus"
"clothing",81,138,304,384,942,359,178,137,45,71,241,477,436,1180,1009,517,488,173
"clothing_accesory",66,204,193,149,297,109,53,68,28,19,98,114,108,207,165,102,127,64
"provisions_tobacco",150,340,229,151,313,136,121,171,145,59,111,58,76,132,121,93,214,215
"writing_materials",667,1409,527,84,92,36,36,37,17,224,346,91,18,30,27,23,27,13
"books",67,259,258,146,251,96,48,56,41,19,60,50,32,61,43,31,57,44
"records",24,272,368,141,167,67,29,27,7,7,32,27,12,12,9,7,13,0
"household_goods",47,117,98,61,193,75,50,55,29,22,29,41,32,65,74,51,79,39
"sweets",430,637,246,40,30,11,5,17,28,137,240,80,12,16,14,10,23,42
"toys",743,684,116,13,16,16,6,3,8,113,98,14,10,21,31,8,17,6
"jewelry",132,408,298,71,130,31,14,11,10,162,548,303,74,100,48,22,26,12
"perfume",32,57,61,52,111,54,41,50,28,70,178,141,70,104,81,46,69,41
"hobby_tools",197,547,402,138,280,200,152,211,111,15,29,9,14,30,36,24,35,11
"other",209,550,454,252,624,195,88,90,34,24,58,72,67,157,107,66,64,55
