"","M18to20","M21to24","M25to34","M35to44","M45to54","M55to64","M65to74","M75plus","MUA","F18to20","F21to24","F25to34","F35to44","F45to54","F55to64","F65to74","F75plus","FUA"
"Bicycle",22,24,139,145,120,77,72,36,20,3,3,15,12,8,8,2,3,2
"Moped",522,269,403,301,171,144,156,92,32,74,61,83,52,14,7,7,3,3
"Motorcycle",71,299,1746,987,450,123,25,15,49,2,8,56,33,8,1,0,1,2
"Car,PS",12,23,89,92,71,50,21,7,8,5,8,28,15,7,5,3,1,3
"Private car",2373,4602,11032,7408,5044,3513,2188,864,523,565,1526,4237,2571,1512,575,181,52,153
"Van",157,431,1318,1200,845,482,215,56,53,12,39,135,124,62,28,14,2,5
"Truck-3500",33,129,566,519,360,186,24,8,35,0,4,18,6,8,3,0,0,0
"Tractor",6,16,45,68,60,65,50,19,2,0,0,3,2,1,2,0,0,0
"Truck+3500",8,242,1371,1447,1000,492,35,2,72,2,3,14,17,6,3,2,1,0
"Bus",0,17,112,120,98,54,3,1,7,0,0,10,9,1,2,0,0,0
"Other",38,76,220,209,144,88,69,17,100,7,12,35,23,20,9,2,2,7
