"","day","tibiaLength","sd.length"
"1",1,113.9475,0.10626
"2",2,114.8075,0.09979
"3",3,115.39,0.27264
"4",4,115.525,0.22278
"5",5,115.66,0.18073
"6",6,115.7775,0.12446
"7",7,115.52,0.14674
"8",8,115.7125,0.11954
"9",9,116.145,0.08544
"10",10,117.72,0.192
"11",11,117.895,0.14364
"12",12,117.8025,0.10996
"13",13,117.91,0.15556
"14",14,118.4775,0.11528
"15",15,118.385,0.18859
"16",16,118.74,0.22286
"17",17,120.17,0.1602
"18",18,120.405,0.15502
"19",19,120.365,0.14271
"20",20,121.11,0.11224
"21",21,122.6075,0.1021
"22",22,122.46,0.13976
"23",23,124.3325,0.08958
"24",24,124.205,0.18156
"25",25,124.1725,0.24689
"26",26,126.2425,0.12473
"27",27,126.2025,0.13524
"28",28,126.215,0.10598
"29",29,126.165,0.17841
"30",30,126.27,0.14306
"31",31,126.6675,0.17461
"32",32,128.1825,0.19822
"33",33,129.9025,0.17114
"34",34,130.2875,0.14361
"35",35,130.2625,0.19067
"36",36,130.265,0.15242
"37",37,130.4675,0.22141
"38",38,130.7975,0.234
"39",39,131.855,0.21268
"40",40,131.9325,0.17557
