"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",-0.068,0.078,-0.148,-0.065,-0.291,-0.041,-0.059,-0.102,-0.172,-0.224,0.002,-0.032,-0.111,-0.087,0.087,-0.019,-0.141,-0.032,-0.209,-0.102
"2",-0.09,-0.032,-0.09,0.045,-0.193,-0.087,0.115,0.005,-0.083,0.017,-0.123,0.042,-0.282,-0.41,0.002,-0.535,0.081,-0.038,-0.038,-0.053
"3",0.1,-0.053,-0.053,-0.093,-0.273,-0.004,-0.032,-0.16,-0.12,-0.184,-0.135,-0.056,0.023,-0.026,0.02,-0.05,0.463,-0.169,-0.187,-0.141
"4",-0.138,0.029,-0.05,-0.01,-0.196,-0.08,-0.132,-0.145,0.023,-0.096,-0.071,-0.038,0.005,-0.007,-0.111,0.002,-0.187,-0.114,-0.12,-0.068
"5",-0.053,-0.026,-0.047,0.072,-0.175,-0.056,0.054,-0.218,-0.376,-0.279,0.014,-0.059,-0.047,0.39,0.075,0.451,-0.221,-0.102,-0.645,-0.019
"6",-0.245,-0.004,-0.047,-0.035,-0.135,0.441,-0.09,-0.053,-0.056,-0.111,-0.013,0.02,-0.068,-0.047,-0.059,0.036,-0.218,0.032,-0.141,0.066
"7",-0.047,0.002,-0.038,-0.056,-0.181,-0.09,-0.166,-0.132,-0.105,-0.135,-0.12,0.02,-0.019,0.011,-0.026,-0.071,-0.044,0.237,-0.441,-0.367
"8",-0.065,0.118,-0.233,-0.203,-0.495,-0.038,-0.361,0.136,-0.117,-0.01,0.06,0.213,-0.032,-0.141,-0.041,-0.285,-0.007,-0.126,-0.035,-0.099
"9",-0.123,0.057,-0.166,0.029,-0.123,0.029,-0.099,-0.169,-0.05,-0.129,-0.071,0.048,-0.16,-0.083,0.069,-0.007,-0.059,-0.035,-0.209,-0.093
"10",-0.132,0.036,0.115,-0.022,-0.212,-0.004,-0.083,-0.102,-0.09,-0.062,-0.016,-0.019,0.46,-0.08,-0.004,-0.016,-0.154,-0.233,-0.224,-0.077
"11",-0.038,-0.007,-0.044,-0.169,-0.126,-0.074,-0.004,-0.279,-0.032,-0.059,-0.425,-0.294,-0.05,-0.279,-0.059,0.1,-0.212,-0.099,-0.367,0.014
"12",0.008,0.191,-0.05,-0.007,-0.083,0.057,-0.117,-0.029,-0.074,-0.117,0.121,-0.135,-0.032,-0.151,0.042,-0.029,-0.145,-0.068,-0.169,0.017
"13",-0.001,0.136,-0.45,-0.007,-0.126,-0.016,-0.004,0.005,-0.389,-0.068,0.005,-0.004,-0.114,-0.041,0.075,0.045,-0.132,-0.004,-0.193,0.005
"14",0.118,0.069,0.036,0.42,-0.068,0.414,0.069,0.139,-0.282,-0.129,0.026,0.203,-0.407,0.005,0.347,0.02,-0.019,-0.016,-0.218,-0.12
"15",0.203,-0.288,0.051,0.011,-0.117,-0.575,0.097,0.103,-0.004,-0.154,0.008,0.087,-0.056,0.005,-0.242,-0.053,0.005,-0.059,0.148,0.005
"16",0.243,0.298,0.469,-0.184,0.182,-0.05,0.155,0.213,0.026,-0.044,0.002,0.045,-0.016,-0.083,0.057,0.042,-0.099,0.078,-0.145,0.005
"17",0.441,0.454,0.267,-0.148,-0.044,0.118,0.301,0.246,0.225,-0.022,0.151,0.176,0.206,-0.022,-0.407,-0.038,-0.01,0.066,-0.27,0.103
"18",0.698,1.122,0.542,0.045,-0.013,0.515,0.505,0.441,0.121,0.087,0.042,0.097,-0.169,0.002,0.118,0.002,0.002,0.295,-0.172,0.213
"19",1.018,1.094,0.756,0.139,-0.349,0.142,0.914,0.728,0.231,0.231,0.698,0.228,0.112,0.057,0.292,0.249,0.197,0.402,-0.016,0.335
"20",1.564,1.427,0.921,0.103,0.136,0.396,1.21,0.942,0.289,0.335,0.234,0.765,0.209,0.188,0.689,0.246,0.502,0.82,-0.044,0.557
"21",1.915,1.894,1.186,0.591,0.472,0.502,1.894,1.369,0.927,0.536,0.554,0.502,0.444,0.295,0.444,0.448,0.689,1.25,0.158,0.82
"22",2.446,2.312,1.339,0.817,1.131,1.159,2.449,1.888,1.226,0.921,0.899,0.789,0.792,0.499,0.646,0.722,1.058,1.644,0.264,1.137
"23",2.95,2.761,2.013,1.244,1,1.629,3.099,2.404,1.918,1.381,1.348,0.997,1.04,1.024,0.628,1.134,1.574,2.01,0.512,1.696
"24",3.499,2.932,2.562,1.555,1.366,2.26,3.774,3.02,2.306,2.068,1.748,1.403,1.561,1.482,1.448,1.534,2.044,2.596,0.997,2.251
"25",4.07,3.85,3.099,2.099,2.056,2.953,4.537,3.798,2.913,2.422,2.327,1.836,2.019,1.992,1.909,2.004,2.52,3.148,1.403,2.675
"26",4.613,4.329,3.67,2.785,2.453,3.771,5.291,4.516,3.63,3.032,2.922,2.486,2.578,2.584,2.517,2.59,3.649,3.807,1.888,3.551
