"","day","height"
"1",1,124.2
"2",3,123.7
"3",6,123.6
"4",8,123.7
"5",10,123.4
"6",13,123.6
"7",15,123.9
"8",17,123.8
"9",20,124
"10",27,123.9
"11",29,124.1
"12",31,124.8
"13",34,124.6
"14",36,125.2
"15",38,124.9
"16",41,124.5
"17",43,124.5
"18",45,125.2
"19",56,125.8
"20",58,125.6
"21",60,125.6
"22",63,125.5
"23",65,125.6
"24",67,125.6
"25",72,126.1
"26",74,125.6
"27",77,126.2
"28",79,126.2
"29",81,126
"30",84,126.4
"31",88,126.3
"32",93,126.4
"33",95,126.8
"34",123,126.6
"35",126,126.7
"36",128,126.5
"37",130,126.5
"38",133,126.5
"39",135,126.2
"40",137,126.6
"41",140,126.2
"42",142,126
"43",144,126
"44",147,127
"45",149,127.4
"46",151,126.7
"47",154,127.6
"48",156,127.5
"49",158,127.6
"50",170,127.7
"51",172,127.2
"52",175,127.4
"53",177,128
"54",179,127.3
"55",182,127.5
"56",184,127.7
"57",186,127.5
"58",189,127.8
"59",193,127.7
"60",233,128.5
"61",235,128.6
"62",240,128.4
"63",242,128.5
"64",245,128.5
"65",247,128.5
"66",249,129.1
"67",254,129
"68",256,129
"69",259,129.6
"70",261,129.6
"71",280,129.6
"72",282,129.6
"73",284,129.7
"74",287,129.9
"75",294,130
"76",296,129.8
"77",298,129.9
"78",301,130
"79",303,130.4
"80",305,130.4
"81",308,130.3
"82",310,130.4
"83",312,130.4
