"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",10.3,9.97,11.28,11.55,10.9,11.09,10.9,12.19,11.05,11.04,12.06,10.87,11.99,14,11.8,10.95,10.1,10.67,11.77,9.14
"2",10.21,9.92,11.18,11.52,10.82,11.05,10.77,12.17,10.99,11.01,12.01,10.84,11.9,13.92,11.8,10.97,10.02,10.62,11.71,9.09
"3",10.01,9.71,10.94,11.34,10.59,10.86,10.51,11.99,10.75,10.83,11.81,10.72,11.71,13.65,11.58,10.83,9.82,10.41,11.48,8.94
"4",9.69,9.36,10.59,10.95,10.25,10.51,10.11,11.61,10.36,10.48,11.44,10.43,11.39,13.16,11.16,10.52,9.46,9.99,11.05,8.7
"5",9.29,8.86,10.13,10.33,9.79,9.99,9.56,10.96,9.81,9.95,10.86,9.91,10.9,12.48,10.53,10.03,8.96,9.37,10.42,8.34
"6",8.85,8.2,9.5,9.51,9.17,9.23,8.87,10.04,9.11,9.23,10.02,9.14,10.21,11.68,9.69,9.3,8.32,8.54,9.6,7.83
"7",8.37,7.45,8.7,8.42,8.43,8.29,8.07,8.87,8.26,8.32,8.94,8.1,9.3,10.7,8.65,8.31,7.53,7.52,8.59,7.18
"8",7.82,6.6,7.74,7.1,7.57,7.18,7.17,7.55,7.34,7.23,7.63,6.8,8.19,9.48,7.47,7.11,6.56,6.36,7.47,6.41
"9",7.15,5.61,6.63,5.47,6.59,5.92,6.1,6.13,6.29,6.06,6.17,5.34,6.98,8.06,6.17,5.75,5.45,5.09,6.28,5.45
"10",6.33,4.5,5.34,3.47,5.46,4.46,4.75,4.58,5.02,4.73,4.43,3.56,5.61,6.53,4.7,4.23,4.05,3.5,4.78,4.25
"11",5.36,3.24,3.85,1.17,4.01,2.66,3.22,2.96,3.59,3.15,2.37,1.48,3.91,4.77,2.86,2.47,2.42,1.56,2.89,2.72
"12",4.33,1.75,2.25,-1.1,2.44,0.74,1.58,1.32,2.22,1.2,0.16,-0.76,2.02,2.68,0.82,0.58,0.74,-0.3,0.81,1.21
"13",3.15,0.14,0.61,-3.07,0.87,-1.15,0,-0.34,1.05,-0.7,-1.84,-2.93,0.23,0.73,-1.12,-1.22,-0.77,-1.92,-1.05,0
"14",1.72,-1.4,-0.91,-5,-0.42,-2.72,-1.46,-1.97,0.01,-2.31,-3.5,-5.02,-1.29,-0.93,-2.8,-2.83,-2.13,-3.41,-2.56,-1.1
"15",0.11,-2.83,-2.29,-6.76,-1.53,-4.23,-2.88,-3.44,-0.99,-3.82,-5.1,-7.08,-2.74,-2.8,-4.37,-4.39,-3.45,-4.85,-4.05,-2.17
"16",-1.51,-4.2,-3.53,-8.21,-2.59,-5.67,-4.24,-4.64,-1.93,-5.25,-6.53,-8.9,-4.14,-4.58,-5.73,-5.9,-4.65,-6.12,-5.35,-3.22
"17",-3.02,-5.47,-4.61,-9.24,-3.59,-7.02,-5.43,-5.6,-2.72,-6.54,-7.68,-10.33,-5.35,-6.09,-6.82,-7.16,-5.64,-7.13,-6.41,-4.1
"18",-4.36,-6.61,-5.47,-9.81,-4.47,-8.13,-6.35,-6.34,-3.33,-7.58,-8.5,-11.33,-6.24,-7.21,-7.65,-8.19,-6.38,-7.86,-7.21,-4.82
"19",-5.36,-7.58,-6.13,-10.02,-5.13,-8.93,-7.06,-6.86,-3.73,-8.27,-9.01,-11.95,-6.85,-7.75,-8.24,-8.99,-6.87,-8.39,-7.79,-5.37
"20",-6.16,-8.22,-6.61,-10.06,-5.61,-9.49,-7.56,-7.14,-3.94,-8.66,-9.22,-12.24,-7.2,-7.82,-8.6,-9.59,-7.13,-8.73,-8.17,-5.77
"21",-6.83,-8.67,-6.91,-9.94,-5.93,-9.85,-7.86,-7.18,-3.95,-8.82,-9.2,-12.3,-7.35,-7.58,-8.77,-10,-7.17,-8.95,-8.36,-6.04
"22",-7.39,-8.95,-7.04,-9.7,-6.11,-10.01,-8.04,-7.03,-3.79,-8.79,-9.04,-12.23,-7.36,-7.25,-8.75,-10.19,-7.06,-9.03,-8.4,-6.13
