"","x","y"
"1",64,0
"2",455,0
"3",926,1
"4",257,3
"5",676,3
"6",755,8
"7",206,13
"8",575,14
"9",499,16
"10",978,20
"11",145,24
"12",831,27
"13",33,33
"14",905,35
"15",312,40
"16",393,45
"17",750,51
"18",666,52
"19",107,55
"20",972,60
"21",586,72
"22",827,72
"23",469,76
"24",255,79
"25",179,85
"26",539,87
"27",637,92
"28",375,95
"29",17,98
"30",896,102
"31",306,104
"32",720,105
"33",76,110
"34",434,114
"35",129,118
"36",801,122
"37",949,122
"38",196,124
"39",612,131
"40",345,154
"41",490,159
"42",702,160
"43",63,161
"44",773,163
"45",146,165
"46",405,173
"47",237,174
"48",548,177
"49",884,183
"50",310,190
"51",600,194
"52",830,196
"53",27,202
"54",646,203
"55",182,208
"56",937,209
"57",985,210
"58",714,219
"59",121,221
"60",409,226
"61",480,230
"62",758,235
"63",224,240
"64",527,240
"65",78,244
"66",278,252
"67",581,253
"68",838,260
"69",634,262
"70",988,264
"71",884,266
"72",321,268
"73",940,269
"74",165,271
"75",705,275
"76",33,281
"77",782,283
"78",397,290
"79",114,294
"80",524,308
"81",464,311
"82",233,314
"83",355,318
"84",609,319
"85",277,325
"86",45,327
"87",954,330
"88",179,336
"89",705,338
"90",835,347
"91",883,348
"92",777,356
"93",130,366
"94",581,368
"95",301,369
"96",991,374
"97",624,375
"98",485,376
"99",53,379
"100",693,380
"101",345,381
"102",410,382
"103",189,383
"104",530,388
"105",250,390
"106",951,393
"107",755,403
"108",847,419
"109",349,424
"110",44,427
"111",903,432
"112",646,438
"113",476,441
"114",115,444
"115",583,444
"116",176,446
"117",426,454
"118",700,456
"119",232,459
"120",789,467
"121",279,468
"122",535,472
"123",351,479
"124",957,481
"125",53,494
"126",998,496
"127",135,498
"128",870,499
"129",472,500
"130",573,505
"131",772,509
"132",178,516
"133",434,518
"134",229,520
"135",638,520
"136",275,526
"137",693,526
"138",362,529
"139",83,535
"140",844,536
"141",517,540
"142",8,555
"143",951,556
"144",116,561
"145",573,570
"146",754,570
"147",500,580
"148",351,583
"149",915,583
"150",181,585
"151",821,588
"152",49,591
"153",236,591
"154",633,594
"155",279,596
"156",422,598
"157",1008,602
"158",683,606
"159",93,612
"160",754,618
"161",463,620
"162",808,626
"163",895,628
"164",524,630
"165",151,636
"166",353,638
"167",976,640
"168",10,648
"169",221,654
"170",863,655
"171",274,656
"172",559,660
"173",696,660
"174",419,668
"175",57,670
"176",622,673
"177",937,678
"178",470,681
"179",806,684
"180",113,692
"181",900,697
"182",350,700
"183",678,701
"184",755,703
"185",165,711
"186",229,718
"187",854,725
"188",38,727
"189",1012,730
"190",419,733
"191",105,734
"192",277,737
"193",527,740
"194",487,745
"195",592,746
"196",961,747
"197",336,750
"198",816,754
"199",721,760
"200",213,766
"201",391,768
"202",128,770
"203",899,778
"204",165,783
"205",643,787
"206",59,794
"207",459,794
"208",16,795
"209",239,797
"210",706,802
"211",784,809
"212",1009,810
"213",579,811
"214",298,821
"215",516,824
"216",339,825
"217",933,826
"218",849,830
"219",90,831
"220",391,839
"221",460,841
"222",128,845
"223",733,851
"224",18,853
"225",198,857
"226",773,865
"227",831,871
"228",667,879
"229",246,880
"230",886,881
"231",310,882
"232",989,882
"233",599,884
"234",505,886
"235",399,890
"236",88,900
"237",173,911
"238",533,911
"239",469,920
"240",643,929
"241",943,931
"242",1017,932
"243",763,938
"244",716,941
"245",94,942
"246",239,947
"247",828,947
"248",888,950
"249",313,953
"250",160,954
"251",392,954
"252",35,960
"253",966,963
"254",588,966
"255",489,970
"256",214,977
"257",542,980
"258",824,985
"259",895,987
"260",755,994
"261",648,997
"262",282,1000
"263",19,1003
"264",118,1003
"265",406,1003
"266",333,1012
