"","clone","FL","MI","ME","MN","ND","NY","PA","WI"
"1","A84118-3",284,1113,1053,997,612,590,484,800
"2","AO80432-1",254,690,1112,832,761,518,555,1153
"3","AO84275-3",395,1089,1090,387,633,296,347,850
"4","AWN86514-2",136,296,374,44,377,101,46,41
"5","B0692-4",87,653,412,73,334,70,26,141
"6","B0718-3",130,126,329,72,444,167,61,211
"7","B0749-2F",571,1212,1323,601,908,579,498,491
"8","B0767-2",141,191,258,93,327,64,79,71
"9","Bertita",309,649,929,325,648,302,290,565
"10","Bzura",320,300,713,155,554,242,123,247
"11","C0083008-1",413,1809,1117,1387,1080,662,546,1163
"12","Elba",485,1269,1037,436,968,464,215,878
"13","Greta",195,399,957,384,493,270,124,481
"14","Krantz",552,2374,1256,1526,1158,708,597,1186
"15","Libertas",474,531,876,629,593,302,224,378
"16","Stobrawa",586,1294,1027,613,693,405,270,659
