"","technology","production","index"
"1","a",1036,975.25
"2","a",364,310.25
"3","a",1019,1041
"4","a",447,568.75
"5","a",1532,1380.5
"6","a",1161,1367.75
"7","a",1309,1517.25
"8","a",834,989.25
"9","a",729,791.5
"10","a",749,666
"11","a",918,1029
"12","a",668,778
"13","a",460,501
"14","a",1446,1664.75
"15","a",770,690.75
"16","a",675,699
"17","a",515,497.75
"18","a",2110,1985
"19","a",1046,1271.75
"20","a",517,553.75
"21","a",1002,1077.25
"22","b",1272,975.25
"23","b",249,310.25
"24","b",1019,1041
"25","b",780,568.75
"26","b",1214,1380.5
"27","b",1521,1367.75
"28","b",1477,1517.25
"29","b",1087,989.25
"30","b",787,791.5
"31","b",543,666
"32","b",1214,1029
"33","b",835,778
"34","b",566,501
"35","b",1794,1664.75
"36","b",527,690.75
"37","b",992,699
"38","b",606,497.75
"39","b",1987,1985
"40","b",1993,1271.75
"41","b",559,553.75
"42","b",1302,1077.25
"43","c",787,975.25
"44","c",258,310.25
"45","c",911,1041
"46","c",717,568.75
"47","c",1246,1380.5
"48","c",1410,1367.75
"49","c",1626,1517.25
"50","c",1065,989.25
"51","c",844,791.5
"52","c",700,666
"53","c",1055,1029
"54","c",818,778
"55","c",508,501
"56","c",1688,1664.75
"57","c",960,690.75
"58","c",401,699
"59","c",422,497.75
"60","c",1706,1985
"61","c",958,1271.75
"62","c",527,553.75
"63","c",1020,1077.25
"64","d",806,975.25
"65","d",370,310.25
"66","d",1215,1041
"67","d",331,568.75
"68","d",1530,1380.5
"69","d",1379,1367.75
"70","d",1657,1517.25
"71","d",971,989.25
"72","d",806,791.5
"73","d",672,666
"74","d",929,1029
"75","d",791,778
"76","d",470,501
"77","d",1731,1664.75
"78","d",506,690.75
"79","d",728,699
"80","d",448,497.75
"81","d",2137,1985
"82","d",1090,1271.75
"83","d",612,553.75
"84","d",985,1077.25
