"","ENV","GEN","YLD"
"1",1,1,17.623333
"2",1,2,26.983333
"3",1,3,23.55
"4",1,4,24.503333
"5",1,5,14.106667
"6",1,6,32.276667
"7",1,7,34.34
"8",1,8,30.846667
"9",1,9,27.376667
"10",1,10,20.243333
"11",1,11,35.606667
"12",1,12,35.34
"13",1,13,36.69
"14",1,14,42.47
"15",1,15,27.313333
"16",1,16,17.383333
"17",1,17,20.12
"18",1,18,23.026667
"19",1,19,18.546667
"20",1,20,12.656667
"21",1,21,22.733333
"22",1,22,21.583333
"23",1,23,29.393333
"24",1,24,27.443333
"25",1,25,18.89
"26",1,26,17.13
"27",1,27,31.05
"28",1,28,14.31
"29",1,29,17.816667
"30",1,30,19.866667
"31",1,31,22.463333
"32",1,32,35.673333
"33",1,33,25.596667
"34",1,34,22.223333
"35",1,35,27.443333
"36",1,36,13.986667
"37",1,37,41.51
"38",1,38,22.87
"39",1,39,23.203333
"40",1,40,27.1
"41",1,41,14.6
"42",1,42,18.583333
"43",1,43,15.99
"44",1,44,15.416667
"45",1,45,22.033333
"46",1,46,15.716667
"47",1,47,28.356667
"48",1,48,22.24
"49",1,49,21.843333
"50",1,50,24.256667
"51",2,1,17.216667
"52",2,2,13.53
"53",2,3,17.733333
"54",2,4,20.08
"55",2,5,13.69
"56",2,6,16.62
"57",2,7,17.986667
"58",2,8,18.923333
"59",2,9,14.436667
"60",2,10,13.493333
"61",2,11,19.29
"62",2,12,15.406667
"63",2,13,17.623333
"64",2,14,21.623333
"65",2,15,18.986667
"66",2,16,12.826667
"67",2,17,15.513333
"68",2,18,17.916667
"69",2,19,19.7
"70",2,20,9.933333
"71",2,21,17.206667
"72",2,22,15.666667
"73",2,23,15.97
"74",2,24,18.56
"75",2,25,12.07
"76",2,26,10.216667
"77",2,27,18.783333
"78",2,28,17.81
"79",2,29,14.2
"80",2,30,13.886667
"81",2,31,9.9
"82",2,32,17.096667
"83",2,33,18.366667
"84",2,34,14.19
"85",2,35,15.706667
"86",2,36,13.946667
"87",2,37,22.75
"88",2,38,19.313333
"89",2,39,13.893333
"90",2,40,18.786667
"91",2,41,14.783333
"92",2,42,20.02
"93",2,43,17.4
"94",2,44,13.086667
"95",2,45,17.18
"96",2,46,14.446667
"97",2,47,17.483333
"98",2,48,26.13
"99",2,49,18.663333
"100",2,50,17.013333
"101",3,1,82.853333
"102",3,2,73.836667
"103",3,3,71.78
"104",3,4,79.706667
"105",3,5,65.74
"106",3,6,91.806667
"107",3,7,72.823333
"108",3,8,91.75
"109",3,9,100.796667
"110",3,10,86.553333
"111",3,11,73.083333
"112",3,12,72.486667
"113",3,13,91.063333
"114",3,14,98.963333
"115",3,15,82.953333
"116",3,16,72.726667
"117",3,17,68.16
"118",3,18,74.816667
"119",3,19,89.593333
"120",3,20,67.173333
"121",3,21,85.926667
"122",3,22,63.93
"123",3,23,81.68
"124",3,24,87.62
"125",3,25,73.733333
"126",3,26,82.68
"127",3,27,84.146667
"128",3,28,84.95
"129",3,29,87.65
"130",3,30,79.156667
"131",3,31,70.636667
"132",3,32,66.08
"133",3,33,79.746667
"134",3,34,81.976667
"135",3,35,79.153333
"136",3,36,73.423333
"137",3,37,81.496667
"138",3,38,88.413333
"139",3,39,76.703333
