"","cultivar","replication","comas","oxapampa"
"1","Amarilis-INIA","I",0.57,0.6
"2","Andinita","I",0.319,0.661
"3","Atahualpa","I",0.5,0.627
"4","Baseko","I",0.423,0.511
"5","BIRRIS","I",0.555,0.683
"6","C91-906-(Primavera)","I",0.305,0.397
"7","Canchan-INIA","I",0.707,0.68
"8","Chagllina-INIA","I",0.602,0.618
"9","Chamak","I",0.655,0.723
"10","Chata-Roja","I",0.471,0.625
"11","Costanera","I",0.637,0.718
"12","CRUZA-148","I",0.148,0.61
"13","Dheera","I",0.524,0.693
"14","Enfula","I",0.245,0.629
"15","FLS-5-(Raniag)","I",0.586,0.631
"16","Gikungu","I",0.087,0.509
"17","Heera","I",0.726,0.738
"18","ICA-Zipa","I",0.465,0.663
"19","Idiafrit","I",0.411,0.594
"20","IDIAP-92","I",0.309,0.362
"21","Ingabire","I",0.27,0.617
"22","INIA-301","I",0.268,0.664
"23","INIAP-FRIPAPA","I",0.341,0.619
"24","INIAPMargarita","I",0.133,0.666
"25","IRA-92","I",0.605,0.622
"26","Jubile","I",0.509,0.768
"27","Kigega","I",0.166,0.522
"28","Kinga","I",0.684,0.712
"29","Kinigi","I",0.195,0.6
"30","Kisoro","I",0.24,0.336
"31","Kori-INIA","I",0.251,0.598
"32","LB-(AWASH)","I",0.547,0.72
"33","LB-III-(PRECODEPA)","I",0.393,0.678
"34","LBr-40","I",0.03,0.019
"35","LB-VII-(Chaposa)","I",0.37,0.575
"36","LT-5","I",0.5,0.27
"37","Maria-Bonita-INIA","I",0.405,0.397
"38","MariaHuanca","I",0.655,0.671
"39","Maria-Tambena","I",0.619,0.594
"40","MF-IxTPS-13(CIP-SURAJ)","I",0.377,0.666
"41","Muruta","I",0.28,0.668
"42","Muziranzara","I",0.035,0.315
"43","P-9","I",0.303,0.615
"44","Perricholi","I",0.373,0.695
"45","PIMPERNEL","I",0.679,0.614
"46","REICHE","I",0.587,0.713
"47","Rukinzo","I",0.162,0.084
