"","place","pH","EC","CaCO3","MO","CIC","P","K","sand","slime","clay","Ca","Mg","K2","Na","Al_H","K_Mg","Ca_Mg","B","Cu","Fe","Mn","Zn"
"1","Namora",3.8,0.72,0,1.7,5.76,8.1,28,80,16,4,0.74,0.15,0.1,0.27,1.2,0.666666666666667,4.93333333333333,0.9,0.4,295.4,1.3,2.1
"2","Hyo1",7.2,1,1.4,2.6,20,17.5,166,26,42,32,17.21,2.06,0.47,0.26,0,0.228155339805825,8.35436893203883,0.2,12.1,12.9,0.5,62.2
"3","Hyo2",8.4,0.32,9.6,2,18.88,17.6,124,44,32,24,14.91,3.37,0.36,0.24,0,0.106824925816024,4.42433234421365,0.4,2.5,23.2,7.9,6.7
"4","SR1",4.8,0.83,0,1.9,17.28,15.8,86,58,30,12,12.49,1.9,0.26,0.32,0.4,0.136842105263158,6.57368421052632,0.5,3,352.4,5.1,7
"5","SR2",4.4,0.49,0,2,6.4,7.2,30,78,14,8,0.76,0.13,0.09,0.26,0.9,0.692307692307692,5.84615384615385,0.4,0.6,334.4,1.8,1.7
"6","Cnt1",7.6,1.09,0.9,1.3,13.6,8.9,350,48,38,14,10.56,1.79,0.88,0.37,0,0.491620111731844,5.89944134078212,2.5,5.1,12.9,2.1,3.1
"7","Cnt2",8.3,3.67,7.6,1.7,22.08,20,537,36,36,28,15.6,4.44,1.42,0.62,0,0.31981981981982,3.51351351351351,3.1,1.7,4.3,2.1,8.3
"8","Cnt3",8.4,7.17,2.7,1.1,13.92,50,414,50,28,22,9.57,2.67,0.76,0.92,0,0.284644194756554,3.58426966292135,4.9,1.5,16.3,4.6,6.3
"9","Chz",6.1,0.15,0,1.6,12.48,8.5,84,52,28,20,8.65,1.54,0.25,0.29,0,0.162337662337662,5.61688311688312,0.4,1.9,315.9,20.6,3.2
"10","Chmar",4.4,0.18,0,3.8,25.6,44.1,240,68,26,6,3.08,0.56,0.56,0.27,2.6,1,5.5,1.1,2.3,1160,7.6,4.5
"11","Hco1",4.7,0.84,0,2.5,19.36,20.1,57,44,46,10,11.8,6.25,0.15,0.31,0.3,0.024,1.888,0.7,1.1,257.6,3.6,2.6
"12","Hco2",6.2,0.09,0,1.7,14.08,3.6,65,42,34,24,8.04,4.35,0.19,0.25,0,0.0436781609195402,1.84827586206897,0,2.5,1275,10.3,2.9
"13","Hco3",5.7,0.21,0,5.4,20.8,47.1,452,46,44,10,7.44,2.27,1.11,0.26,1.5,0.488986784140969,3.27753303964758,0.3,6,1715,10.4,5
