"","date","plot","Treatment","Orden","Family","Number.of.specimens"
"1","22-06-05","PARACSHO","CON","LEPIDOPTERA","NOCTUIDAE",6
"2","22-06-05","PARACSHO","CON","DIPTERA","TIPULIDAE",1
"3","22-06-05","PARACSHO","CON","NEUROPTERA","HEMEROBIIDAE",2
"4","22-06-05","PARACSHO","CON","DIPTERA","MYCETOPHILIIDAE",1
"5","22-06-05","PARACSHO","CON","DIPTERA","MUSLIDAE",1
"6","22-06-05","PARACSHO","CON","DIPTERA","SARCOPILAGIDAE",1
"7","22-06-05","PARACSHO","CON","DIPTERA","LOUCHAPIDAE",1
"8","22-06-05","PARACSHO","CON","LEPIDOPTERA","PYRALIDAE",5
"9","22-06-05","PARACSHO","CON","LEPIDOPTERA","ERIOCPAMIDAE",1
"10","22-06-05","PARACSHO","CON","DIPTERA","ANTHOMYLIDAE",1
"11","22-06-05","PARACSHO","SIN","DIPTERA","SYRPHIDAE",1
"12","22-06-05","PARACSHO","SIN","DIPTERA","TIPULIDAE",1
"13","22-06-05","PARACSHO","SIN","DIPTERA","CALUPHORIDAE",1
"14","22-06-05","PARACSHO","SIN","DIPTERA","SERSIDAE",3
"15","22-06-05","PARACSHO","SIN","HYMENOPTERA","PROCTOTRUPIDAE",1
"16","22-06-05","PARACSHO","SIN","HEMIPTERA","PSYLLIDAE",1
"17","22-06-05","PARACSHO","SIN","DIPTERA","BLEPHAROCERIDAE",1
"18","22-06-05","PARACSHO","SIN","DIPTERA","CULICIDAE",4
"19","22-06-05","PARACSHO","SIN","DIPTERA","SARCOPHAGIDAE",2
"20","22-06-05","PARACSHO","SIN","LEPIDOPTERA","PERALIDAE",2
"21","22-06-05","PARACSHO","SIN","DIPTERA","SCATOPHAGIDAE",1
"22","22-06-05","PARACSHO","SIN","DIPTERA","BLEPHAROCERIDAE",1
"23","22-06-05","PARACSHO","SIN","DIPTERA","MUSCIDAE",1
"24","28-07-05","PARACSHO","CON","LEPIDOPTERA","PYRALIDAE",4
"25","28-07-05","PARACSHO","CON","LEPIDOPTERA","NOCLUIDAE",1
"26","28-07-05","PARACSHO","CON","NEUROPTERO","HEMEROBIIDAE",1
"27","28-07-05","PARACSHO","CON","DIPTERA","MUSCIDAE",1
"28","28-07-05","PARACSHO","SIN","LEPIDOPTERA","NENPHALIDAE",1
"29","28-07-05","PARACSHO","SIN","DIPTERA","PIPUNCULIDAE",1
"30","28-07-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",2
"31","28-07-05","PARACSHO","SIN","DIPTERA","MUSCIDAE",1
"32","28-07-05","PARACSHO","SIN","DIPTERA","CALUPHORIDAE",1
"33","28-07-05","PARACSHO","SIN","DIPTERA","SCATOPHAGIDAE",1
"34","28-07-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",1
"35","28-07-05","PARACSHO","SIN","DIPTERA","MUSCIDAE",1
"36","28-07-05","PARACSHO","SIN","DIPTERA","MUSCIDAE",1
"37","28-07-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",1
"38","28-07-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",1
"39","23-08-05","PARACSHO","CON","HYMENOPTERA","CHENEUMONIDAE",1
"40","23-08-05","PARACSHO","CON","DIPTERA","TIPULIDAE",2
"41","23-08-05","PARACSHO","CON","LEPIDOPTERA","NOCTERIDAE",2
"42","23-08-05","PARACSHO","CON","LEPIDOPTERA","PYRALIDAE",3
"43","23-08-05","PARACSHO","CON","NEUROPTERO","HEMEROBIIDAE",5
"44","23-08-05","PARACSHO","CON","DIPTERA","TIPULIDAE",1
"45","23-08-05","PARACSHO","SIN","LEPIDOPTERA","PYRALIDAE",3
"46","23-08-05","PARACSHO","SIN","NEUROPTERO","HEMEROBIIDAE",1
"47","23-08-05","PARACSHO","SIN","DIPTERA","SCATOPHAGIDAE",1
"48","20-09-05","PARACSHO","CON","NEUROPTERO","HEMEROBIIDAE",3
"49","20-09-05","PARACSHO","CON","LEPIDOPTERA","PYRALIDAE",4
"50","20-09-05","PARACSHO","CON","DIPTERA","TACHINIDAE",1
"51","20-09-05","PARACSHO","SIN","DIPTERA","SYRPHIDAE",1
"52","20-09-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",2
"53","20-09-05","PARACSHO","SIN","DIPTERA","TIPULIDAE",3
"54","18-10-05","PARACSHO","CON","LEPIDOPTERA","PYRALIDAE",3
"55","18-10-05","PARACSHO","CON","DIPTERA","TIPULIDAE",2
"56","18-10-05","PARACSHO","CON","LEPIDOPTERA","NOCTUIDAE",1
"57","18-10-05","PARACSHO","CON","DIPTERA","SCATOPHAGIDAE",2
"58","18-10-05","PARACSHO","CON","DIPTERA","CHNEUMONIDAE",3
"59","18-10-05","PARACSHO","CON","DIPTERA","MUSCIDAE",2
"60","18-10-05","PARACSHO","SIN","COLEOPTERA","SCATOPHAGIDAE",1
"61","18-10-05","PARACSHO","SIN","DIPTERA","TIPULIDAE",1
"62","18-10-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",6
"63","18-10-05","PARACSHO","SIN","DIPTERA","SCATOPHAGIDAE",5
"64","18-10-05","PARACSHO","SIN","DIPTERA","MUSCIDAE",6
"65","18-10-05","PARACSHO","SIN","LEPIDOPTERA","PYRALIDAE",1
"66","18-10-05","PARACSHO","SIN","DIPTERA","AGROMYZIDAE",2
"67","18-10-05","PARACSHO","SIN","DIPTERA","MYCETOPHILIIDAE",1
"68","18-10-05","PARACSHO","SIN","LEPIDOPTERA","MYCETOPHILIIDAE",1
"69","18-10-05","PARACSHO","SIN","NEUROPTERO","HEMEROBIIDAE",2
"70","18-10-05","PARACSHO","SIN","NEUROPTERO","BROCONIDAE",1
"71","17-11-05","PARACSHO","CON","LEPIDOPTERA","NOCTUIDAE",3
"72","17-11-05","PARACSHO","CON","HYMENOPTERA","CHNEUMONIDAE",3
"73","17-11-05","PARACSHO","CON","NEUROPTERO","HEMEROBIIDAE",4
"74","17-11-05","PARACSHO","CON","DIPTERA","TACHINIDAE",9
"75","17-11-05","PARACSHO","CON","DIPTERA","ANTHOCORIDAE",1
"76","17-11-05","PARACSHO","CON","DIPTERA","MYCETOPHILIDAE",1
"77","17-11-05","PARACSHO","CON","DIPTERA","SCATOPHAGIDAE",1
"78","17-11-05","PARACSHO","CON","HYMENOPTERA","PYRALIDAE",1
"79","17-11-05","PARACSHO","SIN","DIPTERA","TIPULIDAE",3
"80","17-11-05","PARACSHO","SIN","LEPIDOPTERA","NOCTUIDAE",1
"81","17-11-05","PARACSHO","SIN","NOCTUIDAE","PYRALIDAE",3
